"Name","Gross Export","Share","Code","Sector"
"Live animals","160133449","0.0487902090727243","01","Agriculture"
"Meat","5819772681","1.773195591769957","02","Agriculture"
"Fish","1830303635","0.5576654819832005","03","Agriculture"
"Diary products","2789711378","0.8499823255863166","04","Agriculture"
"Animal products","380305389","0.11587322671601075","05","Agriculture"
"Plants","230050476","0.07009285624841406","06","Agriculture"
"Vegetables","1300727534","0.3963117557688345","07","Agriculture"
"Fruits and nuts","1290223125","0.39311122324739095","08","Agriculture"
"Coffee, tea and spices","593647032","0.18087515748619298","09","Agriculture"
"Cereals","931006888","0.2836635381135544","10","Agriculture"
"Flours, starches and malts","362981764","0.11059498353243032","11","Agriculture"
"Oil seeds and oleaginous fruits","392227512","0.1195057149774778","12","Agriculture"
"Lac and other vegetable extracts","28526807","0.008691681134696943","13","Agriculture"
"Other vegetable materials","2360086","0.0007190820536789262","14","Agriculture"
"Animal or vegetable fats, oils or waxes","509046841","0.15509877514846912","15","Agriculture"
"Preparations of meat or fish","1910215248","0.5820133264214269","16","Agriculture"
"Sugar and candy","813523690","0.24786820722704941","17","Agriculture"
"Cocoa","1731129807","0.5274487356826671","18","Agriculture"
"Preparations of cereals, flour, starch or milk","2772256886","0.8446642092323862","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1599003423","0.48719185031836676","20","Agriculture"
"Miscellaneous edible preparations","2132788052","0.6498278505503768","21","Agriculture"
"Beverages","1067501556","0.3252513727016428","22","Agriculture"
"Food residues and animal feed","1447918732","0.44115865920426073","23","Agriculture"
"Tobacco","3985888568","1.2144391929839822","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","331424263","0.10097989635846515","25","Minerals"
"Ores, slag and ash","355081609","0.10818792731423241","26","Minerals"
"Mineral fuels, oils and waxes","6840265788","2.0841242101113004","27","Minerals"
"Inorganic chemicals","1146261261","0.34924824841657287","28","Chemicals"
"Organic chemicals","1873529975","0.5708358856635002","29","Chemicals"
"Pharmaceutical products","3636096456","1.1078628943839952","30","Chemicals"
"Fertilisers","767159022","0.23374160307636102","31","Chemicals"
"Dyes, paints, inks, etc.","1237403757","0.3770179708763067","32","Chemicals"
"Essential oils","3691198525","1.1246516507846","33","Chemicals"
"Soaps, waxes, and paints","2391682214","0.7287089361110066","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","280625016","0.08550214391295975","35","Chemicals"
"Explosives","92697863","0.028243618960363207","36","Chemicals"
"Photographic or cinematographic goods","48407104","0.014748903114958255","37","Chemicals"
"Miscellaneous chemical products","2275281557","0.6932434388854241","38","Chemicals"
"Plastics","12537331121","3.8199327525104576","39","Chemicals"
"Rubber","5651488276","1.7219219112559687","40","Chemicals"
"Leather and skins","324686175","0.09892690415525335","41","Agriculture"
"Articles of leather","592472719","0.1805173623025845","42","Agriculture"
"Furskins","231278507","0.07046701848379928","43","Agriculture"
"Wood","5416366579","1.6502839316470759","44","Agriculture"
"Cork","6749797","0.0020565597561596717","45","Agriculture"
"Manufactues of plaiting materials","31148216","0.009490384303671473","46","Agriculture"
"Pulp of wood","314612359","0.09585756672531917","47","Agriculture"
"Paper and paperboard","6182970974","1.883856548372013","48","Agriculture"
"Products of the printing industry","1979445225","0.6031066399859769","49","Agriculture"
"Silk","1771193","0.000539655376923442","50","Textiles"
