"Name","Gross Import","Share","Code","Sector"
"Live animals","758476829","0.23618445020750356","01","Agriculture"
"Meat","1810344530","0.5637287932288456","02","Agriculture"
"Fish","2860690052","0.8907991402143345","03","Agriculture"
"Diary products","1198688552","0.3732633427937566","04","Agriculture"
"Animal products","297638215","0.09268248611259519","05","Agriculture"
"Plants","513217040","0.15981224448126466","06","Agriculture"
"Vegetables","871456037","0.27136539589511294","07","Agriculture"
"Fruits and nuts","1950037658","0.6072282692483647","08","Agriculture"
"Coffee, tea and spices","940872204","0.2929811112492959","09","Agriculture"
"Cereals","474153369","0.1476480869151252","10","Agriculture"
"Flours, starches and malts","327990498","0.10213397757390859","11","Agriculture"
"Oil seeds and oleaginous fruits","805000898","0.25067172422570694","12","Agriculture"
"Lac and other vegetable extracts","123235080","0.03837455345135892","13","Agriculture"
"Other vegetable materials","39072992","0.01216706006121406","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1310026684","0.40793326874023594","15","Agriculture"
"Preparations of meat or fish","366467682","0.11411550713566788","16","Agriculture"
"Sugar and candy","423565411","0.13189534590772617","17","Agriculture"
"Cocoa","1327768003","0.41345779304178315","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1061152332","0.3304355130403467","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","961780861","0.29949192274584885","20","Agriculture"
"Miscellaneous edible preparations","1343352612","0.41831073273305475","21","Agriculture"
"Beverages","1160034288","0.3612266717420485","22","Agriculture"
"Food residues and animal feed","2052761180","0.639215665091341","23","Agriculture"
"Tobacco","876757484","0.2730162299049667","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","720850444","0.22446785358287438","25","Minerals"
"Ores, slag and ash","995454457","0.3099776481545674","26","Minerals"
"Mineral fuels, oils and waxes","22508188965","7.008894711884631","27","Minerals"
"Inorganic chemicals","1734427347","0.540088706356584","28","Chemicals"
"Organic chemicals","3869564683","1.204955737938209","29","Chemicals"
"Pharmaceutical products","6718053462","2.0919554859428486","30","Chemicals"
"Fertilisers","904197942","0.2815609991561472","31","Chemicals"
"Dyes, paints, inks, etc.","2080608968","0.6478872740934863","32","Chemicals"
"Essential oils","2862150918","0.8912540438051162","33","Chemicals"
"Soaps, waxes, and paints","1458641400","0.4542108656939648","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","693036030","0.2158066370140108","35","Chemicals"
"Explosives","101328621","0.03155303329796183","36","Chemicals"
"Photographic or cinematographic goods","166685310","0.05190465521790818","37","Chemicals"
"Miscellaneous chemical products","3611779430","1.1246831891621578","38","Chemicals"
"Plastics","15980152376","4.976109168863867","39","Chemicals"
"Rubber","4161778964","1.2959492484344486","40","Chemicals"
"Leather and skins","497470684","0.15490893789042928","41","Agriculture"
"Articles of leather","1018025617","0.3170061516121801","42","Agriculture"
"Furskins","75522508","0.023517187800962853","43","Agriculture"
"Wood","2122161506","0.6608264476674446","44","Agriculture"
"Cork","15185075","0.004728527560905499","45","Agriculture"
"Manufactues of plaiting materials","51198611","0.015942894137406596","46","Agriculture"
"Pulp of wood","886682517","0.2761068166872774","47","Agriculture"
"Paper and paperboard","5646524623","1.7582888002322696","48","Agriculture"
"Products of the printing industry","781222044","0.24326715319094103","49","Agriculture"
"Silk","13430347","0.004182117371302051","50","Textiles"
"Wool","277338312","0.08636123641055499","51","Textiles"
"Cotton","392471563","0.12221293622304526","52","Textiles"
"Other vegetable textile fibres","53147564","0.016549784651639123","53","Textiles"
"Man-made filaments","863892339","0.2690101125359352","54","Textiles"
"Man-made staple fibres","570971588","0.1777966121571332","55","Textiles"
"Wadding, felt and nonwovens","815981245","0.2540909285047642","56","Textiles"
"Carpets","321942045","0.10025053105083633","57","Textiles"
"Special woven fabrics","278680607","0.08677921781020995","58","Textiles"
"Impregnated, coated or laminated textile fabrics","705073044","0.21955488010467747","59","Textiles"
"Knitted fabrics","351725772","0.10952497809742551","60","Textiles"
"Apparel, knit","4581908883","1.426774805842133","61","Textiles"
"Apparel, not knit","4995068998","1.5554300143837034","62","Textiles"
"Other made up textile articles","1187904894","0.36990538611192403","63","Textiles"
"Footwear","3030426658","0.9436539479492687","64","Textiles"
"Headgear","185266255","0.057690633261491715","65","Textiles"
"Umbrellas and walking-sticks","44061648","0.01372049311227746","66","Textiles"
"Feathers and down","162260662","0.0505268503657553","67","Textiles"
"Articles of stone, plaster, cement, etc.","1004286717","0.3127279529660407","68","Stone"
"Ceramic products","993584332","0.30939530413553307","69","Stone"
"Glass and glassware","1635588735","0.5093110446773599","70","Stone"
"Precious metals and stones","879140970","0.2737584309966329","71","Stone"
"Iron and steel","10288046910","3.2036268086804744","72","Metals"
"Articles of iron or steel","6527070659","2.032484759084767","73","Metals"
"Copper","2009018442","0.6255944783522258","74","Metals"
"Nickel","126353154","0.03934550017674176","75","Metals"
"Aluminium","5030747188","1.566539956530069","76","Metals"
"Lead","243506522","0.07582625048195292","78","Metals"
"Zinc","410181685","0.1277277459940868","79","Metals"
"Tin","82059665","0.02555281337702793","80","Metals"
"Other base metals","120506125","0.03752477569721738","81","Metals"
"Metal tools and tableware","1608916688","0.5010055533086794","82","Metals"
"Miscellaneous articles of base metal","2041948872","0.6358487869972256","83","Metals"
"Industrial Machinery","34954760749","10.884671270079616","84","Machinery"
"Electrical machinery and equipment","30519737287","9.503635570662293","85","Electronics"
"Trains","732783985","0.2281838758954211","86","Vehicles"
"Vehicles","26826418360","8.353561544848564","87","Vehicles"
"Aircraft","1234339874","0.3843649184303417","88","Vehicles"
"Ships","1778218881","0.5537250878333518","89","Vehicles"
"Apparatuses (optical, medical, etc.)","7979860709","2.484873554769627","90","Machinery"
"Clocks","256142270","0.07976093520828167","91","Machinery"
"Musical instruments","71376920","0.02222628030698215","92","Machinery"
"Arms and ammunition","195368338","0.0608363521919583","93","Machinery"
"Furniture","4174453860","1.2998961235778121","94","Textiles"
"Toys","3486601650","1.0857036923376135","95","Machinery"
"Miscellaneous manufactured articles","635404946","0.19786071517570183","96","Machinery"
"Art","35307067","0.010994377005331684","97","Textiles"
"Other","9384776704","2.9223547001123054","99","Other"
"Unspecified","15320002560","4.770543071937597","unspecified","Services"
"Travel and tourism","9719000064","3.026429547899257","travel","Services"
"Transport","10254999552","3.1933360894632092","transport","Services"
"ICT","6368999936","1.9832626268083207","ict","Services"
"Insurance and finance","1861000064","0.5795025769362941","financial","Services"
