"Name","Gross Export","Share","Code","Sector"
"Live animals","234052950","0.22163401265926963","01","Agriculture"
"Meat","219402899","0.20776129886184497","02","Agriculture"
"Fish","730107651","0.6913678651107094","03","Agriculture"
"Diary products","389363394","0.3687036262300996","04","Agriculture"
"Animal products","117823206","0.11157146248385134","05","Agriculture"
"Plants","102280221","0.0968531940994843","06","Agriculture"
"Vegetables","339265262","0.32126371991021013","07","Agriculture"
"Fruits and nuts","772925408","0.7319136958596042","08","Agriculture"
"Coffee, tea and spices","95471806","0.09040603615381619","09","Agriculture"
"Cereals","120129537","0.1137554186956849","10","Agriculture"
"Flours, starches and malts","80852001","0.0765619634922836","11","Agriculture"
"Oil seeds and oleaginous fruits","88523271","0.08382619302791935","12","Agriculture"
"Lac and other vegetable extracts","5333127","0.005050149280457659","13","Agriculture"
"Other vegetable materials","4315776","0.004086779306214991","14","Agriculture"
"Animal or vegetable fats, oils or waxes","991630204","0.9390139333285487","15","Agriculture"
"Preparations of meat or fish","454381940","0.43027226378519684","16","Agriculture"
"Sugar and candy","140441666","0.13298977851008892","17","Agriculture"
"Cocoa","30065199","0.028469928260974536","18","Agriculture"
"Preparations of cereals, flour, starch or milk","392238369","0.37142605397794504","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","520931249","0.49329044148119106","20","Agriculture"
"Miscellaneous edible preparations","237562465","0.22495731147664363","21","Agriculture"
"Beverages","1211705087","1.1474115604672337","22","Agriculture"
"Food residues and animal feed","149119800","0.14120744746412192","23","Agriculture"
"Tobacco","708619963","0.6710203218979003","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","360579578","0.3414470903063862","25","Minerals"
"Ores, slag and ash","654803180","0.6200590775952621","26","Minerals"
"Mineral fuels, oils and waxes","4793424351","4.5390834565032625","27","Minerals"
"Inorganic chemicals","102192523","0.0967701493882675","28","Chemicals"
"Organic chemicals","918390171","0.86966004395827","29","Chemicals"
"Pharmaceutical products","1120426625","1.0609763679074873","30","Chemicals"
