"Name","Gross Import","Share","Code","Sector"
"Live animals","195512026","0.1891083320865032","01","Agriculture"
"Meat","1165434307","1.1272623094456589","02","Agriculture"
"Fish","2024016667","1.957723132650947","03","Agriculture"
"Diary products","553546664","0.5354160994735332","04","Agriculture"
"Animal products","98553658","0.0953256854154008","05","Agriculture"
"Plants","132008927","0.12768517884162767","06","Agriculture"
"Vegetables","399527643","0.3864417332066412","07","Agriculture"
"Fruits and nuts","765929842","0.740842995079489","08","Agriculture"
"Coffee, tea and spices","313838392","0.30355910104389267","09","Agriculture"
"Cereals","728116769","0.7042684307808449","10","Agriculture"
"Flours, starches and malts","97026621","0.0938486641496891","11","Agriculture"
"Oil seeds and oleaginous fruits","692351228","0.6696743347395024","12","Agriculture"
"Lac and other vegetable extracts","40198356","0.03888172104451252","13","Agriculture"
"Other vegetable materials","7116067","0.006882991235463984","14","Agriculture"
"Animal or vegetable fats, oils or waxes","710784433","0.6875037886297638","15","Agriculture"
"Preparations of meat or fish","616372702","0.5961843678039083","16","Agriculture"
"Sugar and candy","231443897","0.2238633102460431","17","Agriculture"
"Cocoa","252477306","0.24420780247734575","18","Agriculture"
"Preparations of cereals, flour, starch or milk","650321525","0.6290212496324967","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","405866950","0.39257340601409446","20","Agriculture"
"Miscellaneous edible preparations","494344296","0.47815281343888605","21","Agriculture"
"Beverages","563758519","0.5452934809628909","22","Agriculture"
"Food residues and animal feed","406597701","0.39328022239571464","23","Agriculture"
"Tobacco","255329296","0.2469663799575228","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","190633291","0.18438939250300135","25","Minerals"
"Ores, slag and ash","249215150","0.24105249334988582","26","Minerals"
"Mineral fuels, oils and waxes","10087210170","9.756819207912624","27","Minerals"
"Inorganic chemicals","464888745","0.44966203343797223","28","Chemicals"
"Organic chemicals","1663542383","1.6090556260940025","29","Chemicals"
"Pharmaceutical products","2829465273","2.736790515759437","30","Chemicals"
"Fertilisers","194132105","0.18777360826383083","31","Chemicals"
"Dyes, paints, inks, etc.","630808867","0.6101476985551101","32","Chemicals"
"Essential oils","694503875","0.671756475117614","33","Chemicals"
"Soaps, waxes, and paints","470749183","0.45533052185860967","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","121597921","0.11761516923514659","35","Chemicals"
"Explosives","17126823","0.016565860411424313","36","Chemicals"
"Photographic or cinematographic goods","43151393","0.04173803588654546","37","Chemicals"
"Miscellaneous chemical products","1253616804","1.2125565251932524","38","Chemicals"
"Plastics","4129108446","3.9938658874485458","39","Chemicals"
"Rubber","1075453081","1.0402282792834494","40","Chemicals"
"Leather and skins","493464879","0.4773022003820784","41","Agriculture"
"Articles of leather","428624086","0.4145851672344795","42","Agriculture"
"Furskins","13920495","0.013464550724202036","43","Agriculture"
"Wood","810942617","0.7843814462785731","44","Agriculture"
"Cork","193635023","0.1872928074156507","45","Agriculture"
"Manufactues of plaiting materials","11818372","0.011431279510641617","46","Agriculture"
"Pulp of wood","153656311","0.1486235362717535","47","Agriculture"
"Paper and paperboard","1327764224","1.2842753611727713","48","Agriculture"
"Products of the printing industry","167357357","0.16187582570841688","49","Agriculture"
"Silk","11455406","0.011080201900387044","50","Textiles"
"Wool","162905882","0.1575701518846759","51","Textiles"
"Cotton","665046787","0.6432642084587572","52","Textiles"
"Other vegetable textile fibres","74439021","0.07200088603993182","53","Textiles"
"Man-made filaments","480728182","0.46498267418597033","54","Textiles"
