"Name","Gross Export","Share","Code","Sector"
"Live animals","2780548","0.0028103047648835146","01","Agriculture"
"Meat","2473581","0.002500052676891508","02","Agriculture"
"Fish","207968","0.00021019362418605786","03","Agriculture"
"Diary products","1501970","0.0015180437265287607","04","Agriculture"
"Animal products","986710","0.0009972695362778176","05","Agriculture"
"Plants","348476","0.0003522053074600933","06","Agriculture"
"Vegetables","1066720","0.001078135784311777","07","Agriculture"
"Fruits and nuts","2609364","0.0026372887943367667","08","Agriculture"
"Coffee, tea and spices","1209242","0.0012221830209358986","09","Agriculture"
"Cereals","128795","0.00013017333352748173","10","Agriculture"
"Flours, starches and malts","125613","0.0001269572805185571","11","Agriculture"
"Oil seeds and oleaginous fruits","64620","0.00006531154790594254","12","Agriculture"
"Lac and other vegetable extracts","5839","0.000005901487592429565","13","Agriculture"
"Other vegetable materials","1139","0.0000011511893077200332","14","Agriculture"
"Animal or vegetable fats, oils or waxes","3297912","0.0033332054716431877","15","Agriculture"
"Preparations of meat or fish","189433","0.00019146026701433633","16","Agriculture"
"Sugar and candy","41056","0.00004149537156958181","17","Agriculture"
"Cocoa","342122","0.00034578330845987115","18","Agriculture"
"Preparations of cereals, flour, starch or milk","383844","0.00038795180740341397","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","144974","0.00014652547734627226","20","Agriculture"
"Miscellaneous edible preparations","478098","0.0004832144913453314","21","Agriculture"
"Beverages","384025","0.0003881347444224634","22","Agriculture"
"Food residues and animal feed","50081","0.00005061695497798682","23","Agriculture"
"Tobacco","653751","0.0006607472880696045","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","293482859","0.2966236429147552","25","Minerals"
"Ores, slag and ash","50318753","0.05085725235417502","26","Minerals"
"Mineral fuels, oils and waxes","68411797635","69.14392445945448","27","Minerals"
"Inorganic chemicals","842076986","0.8510886940828025","28","Chemicals"
"Organic chemicals","1285071051","1.2988235764457818","29","Chemicals"
"Pharmaceutical products","43895172","0.0443649277146021","30","Chemicals"
"Fertilisers","1054191914","1.0654736257082675","31","Chemicals"
"Dyes, paints, inks, etc.","1528059","0.0015444119248159494","32","Chemicals"
"Essential oils","2914874","0.002946068289860513","33","Chemicals"
"Soaps, waxes, and paints","7370121","0.007448994286042915","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","386028","0.0003901591800531598","35","Chemicals"
"Explosives","3314","0.0000033494656416015718","36","Chemicals"
"Photographic or cinematographic goods","98590","0.00009964508678500271","37","Chemicals"
"Miscellaneous chemical products","164779045","0.1665424712382074","38","Chemicals"
"Plastics","2070015436","2.0921682499900114","39","Chemicals"
"Rubber","6548997","0.006619082811844227","40","Chemicals"
"Leather and skins","2279791","0.0023041887822970696","41","Agriculture"
"Articles of leather","2796465","0.0028263921048404766","42","Agriculture"
"Furskins","130776","0.00013217553371939867","43","Agriculture"
"Wood","1508314","0.0015244556185113557","44","Agriculture"
"Cork","17040","0.000017222358036478814","45","Agriculture"
"Manufactues of plaiting materials","8183","0.000008270572524208107","46","Agriculture"
"Pulp of wood","4133338","0.004177572002452069","47","Agriculture"
"Paper and paperboard","9127987","0.009225672550840619","48","Agriculture"
"Products of the printing industry","1173746","0.001186307151166952","49","Agriculture"
"Silk","5502","0.000005560881098398265","50","Textiles"
"Wool","42266","0.000042718320702453844","51","Textiles"
"Cotton","38277","0.00003868663137102697","52","Textiles"
"Man-made filaments","214662","0.00021695926178559946","54","Textiles"
"Man-made staple fibres","121514","0.00012281441399323277","55","Textiles"
"Wadding, felt and nonwovens","71353","0.00007211660287422962","56","Textiles"
"Carpets","300030","0.00030324084986412783","57","Textiles"
"Special woven fabrics","62844","0.00006351654157537995","58","Textiles"
"Impregnated, coated or laminated textile fabrics","630879","0.000637630517353035","59","Textiles"
"Knitted fabrics","21432","0.000021661360178275464","60","Textiles"
"Apparel, knit","1156642","0.00116902010821766","61","Textiles"
"Apparel, not knit","2411019","0.002436821153213211","62","Textiles"
"Other made up textile articles","1209267","0.001222208288479966","63","Textiles"
"Footwear","2990396","0.0030223985083834564","64","Textiles"
"Headgear","155167","0.00015682756041351573","65","Textiles"
"Umbrellas and walking-sticks","16437","0.000016612904873568205","66","Textiles"
"Feathers and down","5555","0.000005614448291821585","67","Textiles"
"Articles of stone, plaster, cement, etc.","1051325","0.0010625760306749465","68","Stone"
"Ceramic products","538284","0.0005440445876354437","69","Stone"
"Glass and glassware","1160420","0.0011728385394771564","70","Stone"
"Precious metals and stones","184095350","0.18606549475063847","71","Stone"
"Iron and steel","551648431","0.5575520416046819","72","Metals"
"Articles of iron or steel","31945370","0.032287241769236454","73","Metals"
"Copper","100648681","0.10172579930054827","74","Metals"
"Nickel","4873359","0.004925512531590162","75","Metals"
"Aluminium","1059443502","1.0707814149568637","76","Metals"
"Lead","2247374","0.0022714248632554894","78","Metals"
"Zinc","1310283","0.0013243053377412892","79","Metals"
"Tin","13244","0.000013385734145253839","80","Metals"
"Other base metals","751937","0.0007599840513424747","81","Metals"
"Metal tools and tableware","8390151","0.008479940405054034","82","Metals"
"Miscellaneous articles of base metal","1102895","0.0011146979205775998","83","Metals"
"Industrial Machinery","122305614","0.12361449965841405","84","Machinery"
"Electrical machinery and equipment","46754146","0.047254497775927454","85","Electronics"
"Trains","5633765","0.005694056216160977","86","Vehicles"
"Vehicles","24251277","0.02451080841172675","87","Vehicles"
"Aircraft","60438135","0.06108492957905173","88","Vehicles"
"Ships","282885164","0.28591253389765414","89","Vehicles"
"Apparatuses (optical, medical, etc.)","33481300","0.03383960892762665","90","Machinery"
"Clocks","25541454","0.025814792579827106","91","Machinery"
"Musical instruments","78580","0.00007942094451329255","92","Machinery"
"Arms and ammunition","89733","0.000090693301272732","93","Machinery"
"Furniture","8097037","0.008183689568580768","94","Textiles"
"Toys","684475","0.0006918000890269269","95","Machinery"
"Miscellaneous manufactured articles","3250489","0.0032852749619504684","96","Machinery"
"Art","615127","0.0006217099431869192","97","Textiles"
"Other","3820716032","3.8616044283344273","99","Other"
