"Name","Gross Import","Share","Code","Sector"
"Live animals","246304706","0.38663797333645605","01","Agriculture"
"Meat","361679750","0.5677484925393025","02","Agriculture"
"Fish","86430081","0.13567402708556342","03","Agriculture"
"Diary products","249244633","0.3912529376036721","04","Agriculture"
"Animal products","1324594","0.0020792876757037265","05","Agriculture"
"Plants","34009669","0.053386838236065604","06","Agriculture"
"Vegetables","248833099","0.39060693016717973","07","Agriculture"
"Fruits and nuts","229344642","0.3600148329218487","08","Agriculture"
"Coffee, tea and spices","75290722","0.11818796578380653","09","Agriculture"
"Cereals","203948764","0.32014953371388355","10","Agriculture"
"Flours, starches and malts","28750568","0.04513133964964505","11","Agriculture"
"Oil seeds and oleaginous fruits","48066439","0.07545251920789688","12","Agriculture"
"Lac and other vegetable extracts","3295956","0.005173842468304817","13","Agriculture"
"Other vegetable materials","1171837","0.0018394966548494313","14","Agriculture"
"Animal or vegetable fats, oils or waxes","110498474","0.17345550045694655","15","Agriculture"
"Preparations of meat or fish","61501032","0.096541534901004","16","Agriculture"
"Sugar and candy","52046724","0.08170059034991353","17","Agriculture"
"Cocoa","84596938","0.13279644221978376","18","Agriculture"
"Preparations of cereals, flour, starch or milk","166145862","0.260808250094574","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","90016414","0.14130369021847025","20","Agriculture"
"Miscellaneous edible preparations","134041555","0.21041236283998208","21","Agriculture"
"Beverages","127577118","0.2002647823855461","22","Agriculture"
"Food residues and animal feed","107683451","0.16903660483253444","23","Agriculture"
"Tobacco","47744247","0.07494675679706735","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","285588624","0.44830408880335065","25","Minerals"
"Ores, slag and ash","361609775","0.5676386489531867","26","Minerals"
"Mineral fuels, oils and waxes","688317043","1.080488923010924","27","Minerals"
"Inorganic chemicals","362631207","0.5692420466502693","28","Chemicals"
"Organic chemicals","211644010","0.33222918239816596","29","Chemicals"
"Pharmaceutical products","582821424","0.9148866777739413","30","Chemicals"
"Fertilisers","6647966","0.010435675967351054","31","Chemicals"
"Dyes, paints, inks, etc.","152744107","0.23977078200676685","32","Chemicals"
"Essential oils","281511075","0.44190333703882656","33","Chemicals"
"Soaps, waxes, and paints","120538414","0.18921574360073617","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","24405316","0.03831035983890533","35","Chemicals"
"Explosives","11719492","0.01839672781328348","36","Chemicals"
"Photographic or cinematographic goods","6653675","0.01044463769701357","37","Chemicals"
"Miscellaneous chemical products","386238152","0.6062991598483631","38","Chemicals"
"Plastics","629116394","0.987558425168293","39","Chemicals"
"Rubber","258137308","0.4052122561054459","40","Chemicals"
"Leather and skins","2077211","0.00326071175932868","41","Agriculture"
"Articles of leather","115472403","0.18126334895205173","42","Agriculture"
"Furskins","2443933","0.0038363753475749063","43","Agriculture"
"Wood","211518363","0.33203194742760955","44","Agriculture"
"Cork","7897571","0.012397249306802806","45","Agriculture"
"Manufactues of plaiting materials","3108474","0.0048795417150051005","46","Agriculture"
"Pulp of wood","760770","0.0011942222938086115","47","Agriculture"
"Paper and paperboard","224766514","0.35282829491231965","48","Agriculture"
"Products of the printing industry","49775787","0.0781357762888506","49","Agriculture"
"Silk","1998134","0.003136580265805665","50","Textiles"
"Wool","3894336","0.00611315229409868","51","Textiles"
"Cotton","8804123","0.013820313582335207","52","Textiles"
"Other vegetable textile fibres","4145381","0.006507231366287625","53","Textiles"
"Man-made filaments","37575515","0.058984341804145655","54","Textiles"
"Man-made staple fibres","25704563","0.040349858941872006","55","Textiles"
"Wadding, felt and nonwovens","30306206","0.04757330973350199","56","Textiles"
"Carpets","61518469","0.09656890671395292","57","Textiles"
"Special woven fabrics","11593287","0.018198616919596667","58","Textiles"
"Impregnated, coated or laminated textile fabrics","13252015","0.020802413016925127","59","Textiles"
"Knitted fabrics","7992969","0.012547000767013846","60","Textiles"
"Apparel, knit","217339276","0.34116935304944057","61","Textiles"
"Apparel, not knit","426007449","0.6687272012886091","62","Textiles"
"Other made up textile articles","95364126","0.14969828633985757","63","Textiles"
"Footwear","164469436","0.2581766724783162","64","Textiles"
"Headgear","11635831","0.018265400564151255","65","Textiles"
"Umbrellas and walking-sticks","4334790","0.006804557036921318","66","Textiles"
"Feathers and down","4989790","0.007832746374624751","67","Textiles"
"Articles of stone, plaster, cement, etc.","254730255","0.3998640185976741","68","Stone"
"Ceramic products","193904351","0.30438226905725796","69","Stone"
"Glass and glassware","138619278","0.21759826509885194","70","Stone"
"Precious metals and stones","1796378402","2.8198734647589787","71","Stone"
"Iron and steel","396554204","0.6224928311057588","72","Metals"
"Articles of iron or steel","1110730210","1.743573983186404","73","Metals"
"Copper","363413957","0.5704707721526928","74","Metals"
"Nickel","10544571","0.016552390034895916","75","Metals"
"Aluminium","144087985","0.22618279369186592","76","Metals"
"Lead","6371274","0.010001337396010841","78","Metals"
"Zinc","19942224","0.031304400132661836","79","Metals"
"Tin","1671358","0.002623622099366922","80","Metals"
"Other base metals","9050176","0.014206556438991607","81","Metals"
"Metal tools and tableware","77171788","0.12114077800474768","82","Metals"
"Miscellaneous articles of base metal","89715391","0.14083115794518247","83","Metals"
"Industrial Machinery","4069614611","6.38829671998825","84","Machinery"
"Electrical machinery and equipment","2767494646","4.344287766669521","85","Electronics"
"Trains","312688044","0.4908435310963998","86","Vehicles"
"Vehicles","2022168901","3.1743091649521658","87","Vehicles"
"Aircraft","3846242969","6.037658031973427","88","Vehicles"
"Ships","571163686","0.8965868885932694","89","Vehicles"
"Apparatuses (optical, medical, etc.)","638403176","1.0021363949911573","90","Machinery"
"Clocks","287287540","0.4509709702031274","91","Machinery"
"Musical instruments","4068461","0.006386485833682818","92","Machinery"
"Arms and ammunition","251701689","0.3951099128423594","93","Machinery"
"Furniture","711739346","1.1172561935591059","94","Textiles"
"Toys","82948270","0.13020843785487868","95","Machinery"
"Miscellaneous manufactured articles","50799464","0.07974269808526623","96","Machinery"
"Art","42419953","0.06658892119157366","97","Textiles"
"Other","2010127360","3.1554068992029767","99","Other"
"Travel and tourism","11047713792","17.34220080447872","travel","Services"
"Transport","13642209280","21.414922327350876","transport","Services"
"ICT","4045591296","6.350586008019866","ict","Services"
"Insurance and finance","3768334336","5.915360588056405","financial","Services"
