"Name","Gross Export","Share","Code","Sector"
"Live animals","26858","0.00022885562326308372","01","Agriculture"
"Meat","37379","0.0003185045179071713","02","Agriculture"
"Fish","6462440","0.055066115645255896","03","Agriculture"
"Animal products","8942","0.00007619431764161497","05","Agriculture"
"Vegetables","138477","0.0011799553258843565","07","Agriculture"
"Fruits and nuts","161379","0.0013751020785826638","08","Agriculture"
"Coffee, tea and spices","9131721","0.07781092043039654","09","Agriculture"
"Cereals","190027","0.0016192101988909823","10","Agriculture"
"Flours, starches and malts","52376","0.0004462931761124161","11","Agriculture"
"Oil seeds and oleaginous fruits","120986","0.0010309154231926223","12","Agriculture"
"Lac and other vegetable extracts","1351822","0.0115188050618344","13","Agriculture"
"Other vegetable materials","6244","0.000053204799748853026","14","Agriculture"
"Animal or vegetable fats, oils or waxes","405486","0.0034551251490972804","15","Agriculture"
"Preparations of meat or fish","204752","0.0017446811592211973","16","Agriculture"
"Sugar and candy","5784243","0.04928723422705075","17","Agriculture"
"Cocoa","4258353","0.036285204776573925","18","Agriculture"
"Preparations of cereals, flour, starch or milk","22924","0.0001953342135558467","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","87808","0.0007482074081273681","20","Agriculture"
"Miscellaneous edible preparations","513519","0.0043756687319396635","21","Agriculture"
"Beverages","2168955","0.01848155292108801","22","Agriculture"
"Food residues and animal feed","4411147","0.03758715451597595","23","Agriculture"
"Tobacco","1329606","0.011329503679512088","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","3616687","0.030817602112312627","25","Minerals"
"Ores, slag and ash","152899177","1.3028459471571805","26","Minerals"
"Mineral fuels, oils and waxes","8134755944","69.31583296065213","27","Minerals"
"Inorganic chemicals","4045493","0.03447143577040145","28","Chemicals"
"Organic chemicals","287596","0.0024505905811292657","29","Chemicals"
"Pharmaceutical products","29017","0.00024725235014613523","30","Chemicals"
"Fertilisers","6598","0.00005622121536562016","31","Chemicals"
"Dyes, paints, inks, etc.","24675","0.00021025439362635305","32","Chemicals"
"Essential oils","1710220","0.014572695808213234","33","Chemicals"
"Soaps, waxes, and paints","266545","0.002271216103308461","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","260491","0.002219630283692901","35","Chemicals"
"Explosives","116868","0.0009958261590405119","36","Chemicals"
"Miscellaneous chemical products","1621053","0.013812908431658786","38","Chemicals"
"Plastics","632005","0.0053852817849573765","39","Chemicals"
"Rubber","2237614","0.019066592694623644","40","Chemicals"
"Articles of leather","91325","0.0007781755824894304","42","Agriculture"
"Wood","414262181","3.5299065316508824","44","Agriculture"
"Pulp of wood","4200","0.000035787981893847325","47","Agriculture"
"Paper and paperboard","20819","0.00017739761786857324","48","Agriculture"
"Products of the printing industry","153945","0.001311757350630554","49","Agriculture"
"Cotton","2871","0.000024463641908865637","52","Textiles"
"Man-made filaments","554","0.000004720605230759862","54","Textiles"
"Wadding, felt and nonwovens","659135","0.00561645510609549","56","Textiles"
"Carpets","2536","0.000021609124305427818","57","Textiles"
"Special woven fabrics","775","0.000006603734754221829","58","Textiles"
"Impregnated, coated or laminated textile fabrics","4340","0.000036980914623642246","59","Textiles"
"Apparel, knit","29687","0.0002529613853530109","61","Textiles"
"Apparel, not knit","62450","0.00053213320696923","62","Textiles"
"Other made up textile articles","204805","0.0017451327694689054","63","Textiles"
"Footwear","5316","0.000045297359939926765","64","Textiles"
"Feathers and down","453","0.000003859989475693534","67","Textiles"
"Articles of stone, plaster, cement, etc.","5033","0.00004288593163612705","68","Stone"
"Ceramic products","61780","0.0005264241717623543","69","Stone"
"Glass and glassware","439713","0.0037467716386879266","70","Stone"
"Precious metals and stones","73104663","0.6229210370951931","71","Stone"
"Iron and steel","25280404","0.21541300967170135","72","Metals"
"Articles of iron or steel","13702068","0.1167546098791107","73","Metals"
"Copper","1806392090","15.392173192883105","74","Metals"
"Nickel","9005","0.00007673113737002267","75","Metals"
"Aluminium","4985477","0.042480990620998166","76","Metals"
"Lead","2242837","0.019111097606393065","78","Metals"
"Zinc","3251","0.000027701602175451824","79","Metals"
"Tin","49628","0.000422877610816156","80","Metals"
"Other base metals","3234675","0.02756249769820967","81","Metals"
"Metal tools and tableware","966722","0.008237387960091401","82","Metals"
"Miscellaneous articles of base metal","392857","0.0033475140959217096","83","Metals"
"Industrial Machinery","53209262","0.4533933583430902","84","Machinery"
"Electrical machinery and equipment","8622389","0.07347092890802581","85","Electronics"
"Trains","1271371","0.010833286268657757","86","Vehicles"
"Vehicles","18166370","0.15479469538974555","87","Vehicles"
"Aircraft","9913718","0.0844742762582639","88","Vehicles"
"Ships","931570875","7.9378670493655985","89","Vehicles"
"Apparatuses (optical, medical, etc.)","16092219","0.13712096242948238","90","Machinery"
"Clocks","427912","0.0036462159305142854","91","Machinery"
"Arms and ammunition","48660","0.0004146293330844312","93","Machinery"
"Furniture","1099839","0.00937167100432075","94","Textiles"
"Toys","22717","0.00019357037730536426","95","Machinery"
"Miscellaneous manufactured articles","15625","0.00013313981359318203","96","Machinery"
"Art","1208063","0.010293842088244496","97","Textiles"
"Other","8353251","0.07117761798637193","99","Other"
