"Name","Gross Import","Share","Code","Sector"
"Live animals","500280","0.015297637442633906","01","Agriculture"
"Meat","141093260","4.314371026383786","02","Agriculture"
"Fish","71015313","2.1715169727935684","03","Agriculture"
"Diary products","18005658","0.550579731350565","04","Agriculture"
"Animal products","5447456","0.16657313279103847","05","Agriculture"
"Plants","488895","0.014949505192125416","06","Agriculture"
"Vegetables","9367524","0.28644156449822444","07","Agriculture"
"Fruits and nuts","1867082","0.05709191555062724","08","Agriculture"
"Coffee, tea and spices","2015421","0.0616278479097119","09","Agriculture"
"Cereals","91016701","2.7831224376801287","10","Agriculture"
"Flours, starches and malts","17500272","0.5351259618683092","11","Agriculture"
"Oil seeds and oleaginous fruits","1675243","0.05122583361779474","12","Agriculture"
"Lac and other vegetable extracts","1812281","0.05541620229106503","13","Agriculture"
"Other vegetable materials","91032","0.0027835902528141237","14","Agriculture"
"Animal or vegetable fats, oils or waxes","60470440","1.8490742526516093","15","Agriculture"
"Preparations of meat or fish","16190538","0.49507671768846856","16","Agriculture"
"Sugar and candy","6773283","0.20711447115686357","17","Agriculture"
"Cocoa","3266513","0.09988392815153595","18","Agriculture"
"Preparations of cereals, flour, starch or milk","49203858","1.5045630056425239","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","9897797","0.30265633242741974","20","Agriculture"
"Miscellaneous edible preparations","26143564","0.7994218508241302","21","Agriculture"
"Beverages","25072155","0.7666601445101161","22","Agriculture"
"Food residues and animal feed","2605556","0.07967308512129094","23","Agriculture"
"Tobacco","16616441","0.5081000439852027","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","12325345","0.3768862620240277","25","Minerals"
"Ores, slag and ash","284538","0.008700645963564737","26","Minerals"
"Mineral fuels, oils and waxes","165353227","5.056195963491532","27","Minerals"
"Inorganic chemicals","15600604","0.47703762668526484","28","Chemicals"
"Organic chemicals","13387218","0.40935637508895534","29","Chemicals"
"Pharmaceutical products","63698235","1.9477742559480562","30","Chemicals"
"Fertilisers","7213732","0.22058258723979843","31","Chemicals"
"Dyes, paints, inks, etc.","16605968","0.5077797990085162","32","Chemicals"
"Essential oils","18868290","0.5769574230080653","33","Chemicals"
"Soaps, waxes, and paints","32085005","0.9811001315964981","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2539826","0.07766318324813125","35","Chemicals"
"Explosives","2926829","0.08949701946627239","36","Chemicals"
"Photographic or cinematographic goods","722762","0.02210072566025619","37","Chemicals"
"Miscellaneous chemical products","35803338","1.0947998799873617","38","Chemicals"
"Plastics","76146939","2.328432608116175","39","Chemicals"
"Rubber","22789269","0.6968537114109221","40","Chemicals"
"Leather and skins","23448","0.0007169964874767726","41","Agriculture"
"Articles of leather","6664598","0.20379108480231678","42","Agriculture"
"Furskins","19292","0.0005899136914193918","43","Agriculture"
"Wood","2854349","0.08728071507304838","44","Agriculture"
"Cork","21550","0.0006589591566497975","45","Agriculture"
"Manufactues of plaiting materials","98919","0.0030247601307026133","46","Agriculture"
"Pulp of wood","784149","0.023977826623098934","47","Agriculture"
"Paper and paperboard","56203999","1.7186143750063136","48","Agriculture"
"Products of the printing industry","7007199","0.21426718995439928","49","Agriculture"
"Silk","38400","0.0011742010030325858","50","Textiles"
"Wool","40131","0.001227131782622414","51","Textiles"
"Cotton","42807061","1.3089607802884655","52","Textiles"
"Other vegetable textile fibres","107950","0.0033009114134731157","53","Textiles"
"Man-made filaments","11660217","0.3565478775254585","54","Textiles"
"Man-made staple fibres","6755099","0.20655843805688587","55","Textiles"
"Wadding, felt and nonwovens","2765713","0.08457039007031932","56","Textiles"
"Carpets","1736764","0.053107032052887644","57","Textiles"
"Special woven fabrics","422712","0.012925751416508082","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1714298","0.052420063309811346","59","Textiles"
"Knitted fabrics","308340","0.009428467116538214","60","Textiles"
"Apparel, knit","7559037","0.23114137571251114","61","Textiles"
"Apparel, not knit","32636906","0.9979762437781305","62","Textiles"
"Other made up textile articles","38952661","1.19110035460907","63","Textiles"
"Footwear","16274536","0.49764522122630017","64","Textiles"
"Headgear","657748","0.020112717743298886","65","Textiles"
"Umbrellas and walking-sticks","903216","0.027618675342580203","66","Textiles"
"Feathers and down","1247084","0.03813352301213253","67","Textiles"
"Articles of stone, plaster, cement, etc.","14736644","0.4506193272430765","68","Stone"
"Ceramic products","30032678","0.9183437664415279","69","Stone"
"Glass and glassware","13609120","0.4161417279789277","70","Stone"
"Precious metals and stones","3731915","0.11411506083938416","71","Stone"
"Iron and steel","26026443","0.7958405071867297","72","Metals"
"Articles of iron or steel","115751712","3.5394733420088276","73","Metals"
"Copper","2137821","0.06537061360687826","74","Metals"
"Nickel","1167346","0.035695282398074915","75","Metals"
"Aluminium","28944495","0.8850691422206162","76","Metals"
"Lead","618397","0.01890943691855057","78","Metals"
"Zinc","61286","0.0018740125695795586","79","Metals"
"Tin","128356","0.0039248891652409","80","Metals"
"Other base metals","394645","0.012067514449005072","81","Metals"
"Metal tools and tableware","13522681","0.4134985831742106","82","Metals"
"Miscellaneous articles of base metal","12979409","0.3968863298585982","83","Metals"
"Industrial Machinery","399520832","12.216608376739927","84","Machinery"
"Electrical machinery and equipment","164105194","5.018033421813986","85","Electronics"
"Trains","9034933","0.2762715466388596","86","Vehicles"
"Vehicles","150844003","4.612530719376311","87","Vehicles"
"Aircraft","17863077","0.5462198679856332","88","Vehicles"
"Ships","811185684","24.80455843225193","89","Vehicles"
