"Name","Gross Export","Share","Code","Sector"
"Live animals","471815564","0.44155721226557915","01","Agriculture"
"Meat","304770500","0.28522503840247776","02","Agriculture"
"Fish","20736820","0.019406931710402642","03","Agriculture"
"Diary products","224759741","0.2103455083679554","04","Agriculture"
"Animal products","39176950","0.0366644641402037","05","Agriculture"
"Plants","4345082","0.004066424343274414","06","Agriculture"
"Vegetables","116694317","0.10921050773508562","07","Agriculture"
"Fruits and nuts","80317103","0.07516622766163641","08","Agriculture"
"Coffee, tea and spices","24999973","0.023396681302770138","09","Agriculture"
"Cereals","2597008129","2.4304574862907393","10","Agriculture"
"Flours, starches and malts","18602196","0.017409204855687862","11","Agriculture"
"Oil seeds and oleaginous fruits","1426262467","1.334793777357348","12","Agriculture"
"Lac and other vegetable extracts","1224340","0.0011458209489359685","13","Agriculture"
"Other vegetable materials","1399820","0.0013100471117006283","14","Agriculture"
"Animal or vegetable fats, oils or waxes","261939754","0.24514110254695112","15","Agriculture"
"Preparations of meat or fish","168902813","0.15807078219254","16","Agriculture"
"Sugar and candy","53151502","0.049742803844530135","17","Agriculture"
"Cocoa","98056877","0.09176831913834192","18","Agriculture"
"Preparations of cereals, flour, starch or milk","197513577","0.18484668819598926","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","65705028","0.06149125041477398","20","Agriculture"
"Miscellaneous edible preparations","179412217","0.1679061998575934","21","Agriculture"
"Beverages","163566608","0.15307679728898638","22","Agriculture"
"Food residues and animal feed","247995606","0.23209121698128835","23","Agriculture"
"Tobacco","859105725","0.8040097824589764","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","74114586","0.06936148885155793","25","Minerals"
"Ores, slag and ash","99767494","0.09336923129853109","26","Minerals"
"Mineral fuels, oils and waxes","3089836071","2.8916795162534954","27","Minerals"
"Inorganic chemicals","308449230","0.2886678450570665","28","Chemicals"
"Organic chemicals","246382992","0.2305820227184631","29","Chemicals"
"Pharmaceutical products","871255969","0.8153808102044422","30","Chemicals"
"Fertilisers","145835965","0.13648325122538893","31","Chemicals"
"Dyes, paints, inks, etc.","89706591","0.08395355148523352","32","Chemicals"
"Essential oils","396799389","0.3713519548827879","33","Chemicals"
"Soaps, waxes, and paints","224805209","0.21038806042613056","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","23820068","0.02229244566009384","35","Chemicals"
"Explosives","5671614","0.005307883541727399","36","Chemicals"
"Photographic or cinematographic goods","7463288","0.006984654375698275","37","Chemicals"
"Miscellaneous chemical products","288568985","0.2700625547039133","38","Chemicals"
"Plastics","1619078744","1.515244411562259","39","Chemicals"
"Rubber","2627259375","2.458768667333763","40","Chemicals"
"Leather and skins","108124175","0.10118998382918039","41","Agriculture"
"Articles of leather","368619615","0.3449793987419437","42","Agriculture"
"Furskins","8595200","0.00804397489283568","43","Agriculture"
"Wood","1749391453","1.637199940161175","44","Agriculture"
"Cork","1079282","0.0010100657704636864","45","Agriculture"
"Manufactues of plaiting materials","304563","0.0002850308457379367","46","Agriculture"
"Pulp of wood","31231970","0.02922900950923738","47","Agriculture"
"Paper and paperboard","512273655","0.47942065560791686","48","Agriculture"
"Products of the printing industry","91620487","0.08574470601002626","49","Agriculture"
"Silk","96886697","0.09067318481452183","50","Textiles"
"Wool","230026346","0.21527435684041474","51","Textiles"
"Cotton","93325258","0.08734014708435081","52","Textiles"
"Other vegetable textile fibres","5379521","0.005034522973227183","53","Textiles"
"Man-made filaments","192816370","0.18045072124065928","54","Textiles"
"Man-made staple fibres","267941953","0.25075837009835233","55","Textiles"
"Wadding, felt and nonwovens","88192254","0.08253633154767626","56","Textiles"
"Carpets","27370676","0.025615347001109935","57","Textiles"
"Special woven fabrics","73946887","0.0692045446797465","58","Textiles"
"Impregnated, coated or laminated textile fabrics","142681633","0.1335312120161014","59","Textiles"
"Knitted fabrics","45052802","0.04216348754419875","60","Textiles"
"Apparel, knit","920741861","0.8616930859859921","61","Textiles"
"Apparel, not knit","2352052321","2.201211119783122","62","Textiles"
"Other made up textile articles","521341968","0.4879074019421936","63","Textiles"
"Footwear","1664369624","1.55763070875074","64","Textiles"
"Headgear","20652647","0.019328156871113892","65","Textiles"
"Umbrellas and walking-sticks","2260517","0.002115546117929569","66","Textiles"
"Feathers and down","3963612","0.0037094186770455853","67","Textiles"
"Articles of stone, plaster, cement, etc.","81319850","0.07610466675460299","68","Stone"
"Ceramic products","193421139","0.18101670535411393","69","Stone"
"Glass and glassware","216482313","0.2025989262047416","70","Stone"
"Precious metals and stones","185590835","0.17368857235205806","71","Stone"
"Iron and steel","2263444321","2.118285704748639","72","Metals"
"Articles of iron or steel","2059721846","1.9276283059671864","73","Metals"
"Copper","211684480","0.19810878656959427","74","Metals"
"Nickel","5321205","0.004979946879610908","75","Metals"
"Aluminium","1190331395","1.1139933748527167","76","Metals"
"Lead","47661716","0.04460508735729996","78","Metals"
"Zinc","5219290","0.004884567865602701","79","Metals"
"Tin","4930464","0.004614264778717211","80","Metals"
"Other base metals","34721373","0.032494631033225835","81","Metals"
"Metal tools and tableware","116258314","0.10880246636487886","82","Metals"
"Miscellaneous articles of base metal","574787260","0.5379251545236661","83","Metals"
"Industrial Machinery","8462722383","7.9199932955475765","84","Machinery"
"Electrical machinery and equipment","14796499400","13.847574189717307","85","Electronics"
"Trains","186211864","0.1742697736834666","86","Vehicles"
"Vehicles","13653441643","12.77782271233818","87","Vehicles"
"Aircraft","259317931","0.2426874216104448","88","Vehicles"
"Ships","940457607","0.880144426945775","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2583095886","2.417437459602003","90","Machinery"
"Clocks","18135243","0.016972198362745952","91","Machinery"
"Musical instruments","15889802","0.014870761394747089","92","Machinery"
"Arms and ammunition","18280758","0.017108381233014357","93","Machinery"
"Furniture","2767083308","2.5896254486151222","94","Textiles"
"Toys","227840380","0.2132285806373488","95","Machinery"
"Miscellaneous manufactured articles","82387946","0.07710426390267845","96","Machinery"
"Art","9916696","0.00928072105871696","97","Textiles"
"Other","1572400000","1.4715592565030275","99","Other"
"Unspecified","11126423552","10.412866681327204","unspecified","Services"
"Travel and tourism","2770286848","2.592623540029888","travel","Services"
"Transport","7905818624","7.398804742038431","transport","Services"
"ICT","4470416896","4.183721294668235","ict","Services"
"Insurance and finance","428601600","0.4011146348461002","financial","Services"
