"Name","Gross Import","Share","Code","Sector"
"Live animals","184501172","0.1671155194055952","01","Agriculture"
"Meat","877616117","0.7949178405824794","02","Agriculture"
"Fish","223219256","0.20218517586311335","03","Agriculture"
"Diary products","560320809","0.5075214537379649","04","Agriculture"
"Animal products","79059003","0.07160922723045635","05","Agriculture"
"Plants","155669583","0.1410007477822277","06","Agriculture"
"Vegetables","426213125","0.38605081468998403","07","Agriculture"
"Fruits and nuts","624912163","0.5660263269363892","08","Agriculture"
"Coffee, tea and spices","259243514","0.23481484710916467","09","Agriculture"
"Cereals","424913277","0.3848734521219656","10","Agriculture"
"Flours, starches and malts","117442384","0.10637571994605738","11","Agriculture"
"Oil seeds and oleaginous fruits","469273948","0.42505399132930316","12","Agriculture"
"Lac and other vegetable extracts","28738054","0.026030050480741893","13","Agriculture"
"Other vegetable materials","1262835","0.00114383732450526","14","Agriculture"
"Animal or vegetable fats, oils or waxes","199508818","0.1807089862066912","15","Agriculture"
"Preparations of meat or fish","246074111","0.22288640460254142","16","Agriculture"
"Sugar and candy","295289642","0.26746432753241406","17","Agriculture"
"Cocoa","342541953","0.3102640258231096","18","Agriculture"
"Preparations of cereals, flour, starch or milk","551463273","0.4994985684996328","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","390435725","0.3536447398712195","20","Agriculture"
"Miscellaneous edible preparations","545257755","0.49387780006488935","21","Agriculture"
"Beverages","476896079","0.4319578844982988","22","Agriculture"
"Food residues and animal feed","544180595","0.4929021414772955","23","Agriculture"
"Tobacco","406192736","0.36791695857314016","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","165327914","0.14974896864261422","25","Minerals"
"Ores, slag and ash","331099752","0.29990003006888083","26","Minerals"
"Mineral fuels, oils and waxes","6588662685","5.9678091735484395","27","Minerals"
"Inorganic chemicals","353365529","0.3200676899703808","28","Chemicals"
"Organic chemicals","777885849","0.7045852136586829","29","Chemicals"
"Pharmaceutical products","3285201404","2.975634967681672","30","Chemicals"
"Fertilisers","517921652","0.4691175939271753","31","Chemicals"
"Dyes, paints, inks, etc.","507158130","0.45936832485660506","32","Chemicals"
"Essential oils","873001453","0.7907380190513603","33","Chemicals"
"Soaps, waxes, and paints","589795044","0.5342183144555086","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","166517440","0.15082640491676677","35","Chemicals"
"Explosives","83520501","0.07565031568271302","36","Chemicals"
"Photographic or cinematographic goods","39751088","0.036005319890637454","37","Chemicals"
"Miscellaneous chemical products","1158706999","1.0495213655162225","38","Chemicals"
"Plastics","4752873701","4.305007651722715","39","Chemicals"
"Rubber","1677461255","1.519393106684908","40","Chemicals"
"Leather and skins","473702117","0.4290648913925871","41","Agriculture"
"Articles of leather","562190801","0.509215235305728","42","Agriculture"
"Furskins","14741028","0.013351972370085662","43","Agriculture"
"Wood","867645706","0.7858869472017465","44","Agriculture"
"Cork","8822199","0.00799087806436548","45","Agriculture"
"Manufactues of plaiting materials","5398981","0.004890231884683853","46","Agriculture"
"Pulp of wood","149420801","0.13534079213933164","47","Agriculture"
"Paper and paperboard","1311296834","1.1877325717411842","48","Agriculture"
"Products of the printing industry","117554405","0.10647718514216645","49","Agriculture"
"Silk","118795716","0.10760152668569267","50","Textiles"
"Wool","368864446","0.3341061350198205","51","Textiles"
"Cotton","337783022","0.3059535316551897","52","Textiles"
"Other vegetable textile fibres","24687148","0.02236086370585657","53","Textiles"
"Man-made filaments","645031596","0.584249894079589","54","Textiles"
"Man-made staple fibres","439998562","0.39853724195499957","55","Textiles"
"Wadding, felt and nonwovens","301641443","0.2732175946351075","56","Textiles"
"Carpets","98902035","0.08958243880041779","57","Textiles"
"Special woven fabrics","193315647","0.17509940130696672","58","Textiles"
"Impregnated, coated or laminated textile fabrics","518197391","0.4693673498810582","59","Textiles"
"Knitted fabrics","254452248","0.23047506488707464","60","Textiles"
