"Name","Gross Export","Share","Code","Sector"
"Live animals","46662358","0.00909443779920123","01","Agriculture"
"Meat","366183351","0.07136869741500358","02","Agriculture"
"Fish","4914898187","0.9579077819230308","03","Agriculture"
"Diary products","236675162","0.04612770617860491","04","Agriculture"
"Animal products","124014803","0.02417033687118199","05","Agriculture"
"Plants","3653460","0.0007120549870597993","06","Agriculture"
"Vegetables","412851892","0.08046434027351433","07","Agriculture"
"Fruits and nuts","127166157","0.024784531999003524","08","Agriculture"
"Coffee, tea and spices","149696488","0.029175666580648865","09","Agriculture"
"Cereals","10809942683","2.106844907912154","10","Agriculture"
"Flours, starches and malts","260426921","0.05075689561749092","11","Agriculture"
"Oil seeds and oleaginous fruits","811619915","0.15818375131322102","12","Agriculture"
"Lac and other vegetable extracts","12346726","0.0024063621394954065","13","Agriculture"
"Other vegetable materials","14942080","0.002912193531897567","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2540679695","0.49517543570925093","15","Agriculture"
"Preparations of meat or fish","772347322","0.15052956987961566","16","Agriculture"
"Sugar and candy","482740956","0.0940856353094916","17","Agriculture"
"Cocoa","624069296","0.12163035984729491","18","Agriculture"
"Preparations of cereals, flour, starch or milk","528815782","0.1030655638241633","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","276845471","0.05395685138758029","20","Agriculture"
"Miscellaneous edible preparations","630760441","0.12293445600994354","21","Agriculture"
"Beverages","611984254","0.11927499960661153","22","Agriculture"
"Food residues and animal feed","1235629258","0.24082266545025796","23","Agriculture"
"Tobacco","485775220","0.09467700973626951","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1139867537","0.22215882049028052","25","Minerals"
"Ores, slag and ash","3900184290","0.760141256273993","26","Minerals"
"Mineral fuels, oils and waxes","257028159023","50.0944809706761","27","Minerals"
"Inorganic chemicals","5024844265","0.9793361411079038","28","Chemicals"
"Organic chemicals","4383196097","0.8542796801196394","29","Chemicals"
"Pharmaceutical products","733657158","0.1429889031619394","30","Chemicals"
"Fertilisers","7928953454","1.545343550794513","31","Chemicals"
"Dyes, paints, inks, etc.","294616923","0.05742048614036088","32","Chemicals"
"Essential oils","641015600","0.12493317424116578","33","Chemicals"
"Soaps, waxes, and paints","489173655","0.09533936065565786","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","43826446","0.008541721940135378","35","Chemicals"
"Explosives","126841822","0.02472131949517755","36","Chemicals"
"Photographic or cinematographic goods","10123676","0.0019730923516824055","37","Chemicals"
"Miscellaneous chemical products","816742554","0.15918214753128745","38","Chemicals"
"Plastics","2993869164","0.583501521525007","39","Chemicals"
"Rubber","3133047639","0.6106272399440201","40","Chemicals"
"Leather and skins","132929290","0.025907759732094592","41","Agriculture"
"Articles of leather","37621976","0.0073324781532695255","42","Agriculture"
"Furskins","62718468","0.012223754446511099","43","Agriculture"
"Wood","9664839406","1.8836656479540952","44","Agriculture"
"Cork","1262461","0.0002460521398943744","45","Agriculture"
"Manufactues of plaiting materials","419231","0.00008170762079783733","46","Agriculture"
"Pulp of wood","1701422632","0.3316052372852063","47","Agriculture"
"Paper and paperboard","2866349912","0.5586481717325541","48","Agriculture"
"Products of the printing industry","503195517","0.09807220479928179","49","Agriculture"
"Silk","77011","0.000015009351849606182","50","Textiles"
"Wool","34334484","0.006691749891972236","51","Textiles"
"Cotton","53500216","0.01042712815018543","52","Textiles"
"Other vegetable textile fibres","13527679","0.002636528467615389","53","Textiles"
"Man-made filaments","63469314","0.012370093434433207","54","Textiles"
"Man-made staple fibres","61815447","0.012047756732982081","55","Textiles"
"Wadding, felt and nonwovens","151579110","0.02954258735817168","56","Textiles"
"Carpets","9654274","0.0018816064629534077","57","Textiles"
"Special woven fabrics","10858192","0.0021162486421235803","58","Textiles"
"Impregnated, coated or laminated textile fabrics","61401833","0.011967143858770304","59","Textiles"
"Knitted fabrics","17995895","0.0035073784252063816","60","Textiles"
"Apparel, knit","160307061","0.03124365457564869","61","Textiles"
"Apparel, not knit","193832770","0.03777777518684071","62","Textiles"
"Other made up textile articles","88542046","0.01725673893207484","63","Textiles"
"Footwear","212417329","0.04139988352202354","64","Textiles"
"Headgear","12993887","0.0025324930448510437","65","Textiles"
"Umbrellas and walking-sticks","1326585","0.0002585498308476688","66","Textiles"
