"Name","Gross Import","Share","Code","Sector"
"Live animals","239238020","0.0748510055252334","01","Agriculture"
"Meat","1880675551","0.5884117251057016","02","Agriculture"
"Fish","1664524015","0.5207838463286424","03","Agriculture"
"Diary products","2213976135","0.6926923233757739","04","Agriculture"
"Animal products","87323086","0.027320995185741923","05","Agriculture"
"Plants","747115440","0.23375190083677827","06","Agriculture"
"Vegetables","1614586551","0.5051597854298766","07","Agriculture"
"Fruits and nuts","4182465557","1.3085785968137729","08","Agriculture"
"Coffee, tea and spices","983695951","0.30777144478729057","09","Agriculture"
"Cereals","298677495","0.09344798468281867","10","Agriculture"
"Flours, starches and malts","115440891","0.0361182840841053","11","Agriculture"
"Oil seeds and oleaginous fruits","1512574070","0.47324288200886616","12","Agriculture"
"Lac and other vegetable extracts","243212657","0.07609456027479952","13","Agriculture"
"Other vegetable materials","3775208","0.0011811588930008086","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1127487085","0.3527597412357964","15","Agriculture"
"Preparations of meat or fish","720606744","0.22545805794858378","16","Agriculture"
"Sugar and candy","451474876","0.14125408845124224","17","Agriculture"
"Cocoa","1064884995","0.3331732667093764","18","Agriculture"
"Preparations of cereals, flour, starch or milk","883974184","0.27657124285992535","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1235391728","0.3865201403119605","20","Agriculture"
"Miscellaneous edible preparations","1288459898","0.40312371312987644","21","Agriculture"
"Beverages","2038198469","0.637696319609405","22","Agriculture"
"Food residues and animal feed","886351700","0.27731510231525913","23","Agriculture"
"Tobacco","654696552","0.20483656916698798","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","708990402","0.22182362359226782","25","Minerals"
"Ores, slag and ash","1682491525","0.5264053867104124","26","Minerals"
"Mineral fuels, oils and waxes","3036784219","0.95012637353925","27","Minerals"
"Inorganic chemicals","2954307654","0.9243217216594306","28","Chemicals"
"Organic chemicals","3544832526","1.1090807346994973","29","Chemicals"
"Pharmaceutical products","9648946416","3.018890314744692","30","Chemicals"
"Fertilisers","119163134","0.03728287168334751","31","Chemicals"
"Dyes, paints, inks, etc.","1834198366","0.5738702904657046","32","Chemicals"
"Essential oils","3057883390","0.95672772463344","33","Chemicals"
"Soaps, waxes, and paints","1238809624","0.38758950609412457","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","636251136","0.19906550512402676","35","Chemicals"
"Explosives","46846845","0.01465709110088251","36","Chemicals"
"Photographic or cinematographic goods","214776751","0.06719774631052654","37","Chemicals"
"Miscellaneous chemical products","2901994341","0.9079543228638451","38","Chemicals"
"Plastics","8330355789","2.606339524084002","39","Chemicals"
"Rubber","3261341046","1.0203840370097381","40","Chemicals"
"Leather and skins","66831312","0.020909681930031843","41","Agriculture"
"Articles of leather","947903211","0.29657287952787553","42","Agriculture"
"Furskins","3293104850","1.0303220588538682","43","Agriculture"
"Wood","734951046","0.22994599606250737","44","Agriculture"
"Cork","38745470","0.012122393376469863","45","Agriculture"
"Manufactues of plaiting materials","20740845","0.006489240730603811","46","Agriculture"
"Pulp of wood","114159239","0.03571729037527329","47","Agriculture"
"Paper and paperboard","3034237525","0.9493295829343742","48","Agriculture"
"Products of the printing industry","270493798","0.08463007998745084","49","Agriculture"
"Silk","8584655","0.002685902762601122","50","Textiles"
"Wool","93301308","0.02919141665116398","51","Textiles"
"Cotton","544777221","0.1704458295512239","52","Textiles"
"Other vegetable textile fibres","40611675","0.012706277663617106","53","Textiles"
"Man-made filaments","633485187","0.19820011565172838","54","Textiles"
"Man-made staple fibres","640534567","0.20040567303482942","55","Textiles"
"Wadding, felt and nonwovens","466716420","0.14602274894323716","56","Textiles"
"Carpets","223478272","0.0699202132346757","57","Textiles"
"Special woven fabrics","146297117","0.045772349699653575","58","Textiles"
"Impregnated, coated or laminated textile fabrics","529365962","0.16562406989713627","59","Textiles"
"Knitted fabrics","405467104","0.12685952024600597","60","Textiles"
"Apparel, knit","4050805484","1.2673857761593652","61","Textiles"
"Apparel, not knit","5064893905","1.5846661900473675","62","Textiles"
"Other made up textile articles","914914834","0.2862517224262765","63","Textiles"
"Footwear","3627183640","1.134846136407065","64","Textiles"
"Headgear","176722811","0.0552917136774321","65","Textiles"
"Umbrellas and walking-sticks","39647984","0.01240476521853995","66","Textiles"
"Feathers and down","100716167","0.031511322375086234","67","Textiles"
"Articles of stone, plaster, cement, etc.","947882854","0.2965665103817027","68","Stone"
"Ceramic products","984624808","0.30806205863052144","69","Stone"
"Glass and glassware","806438373","0.2523124172035165","70","Stone"
"Precious metals and stones","727905491","0.22774163541684853","71","Stone"
"Iron and steel","4368383102","1.366747090216422","72","Metals"
"Articles of iron or steel","4539902565","1.4204108192202738","73","Metals"
"Copper","711640868","0.22265288160573257","74","Metals"
"Nickel","68094330","0.021304845572066956","75","Metals"
"Aluminium","1121891496","0.35100903512664233","76","Metals"
"Lead","14847320","0.004645318630186407","78","Metals"
"Zinc","59964503","0.018761245998319475","79","Metals"
"Tin","21048273","0.00658542650795898","80","Metals"
"Other base metals","344642803","0.10782926706877495","81","Metals"
"Metal tools and tableware","1381340351","0.4321834558107813","82","Metals"
"Miscellaneous articles of base metal","1471621017","0.46042979654536753","83","Metals"
"Industrial Machinery","38597703022","12.076161147634643","84","Machinery"
"Electrical machinery and equipment","24222321037","7.578498960050179","85","Electronics"
"Trains","501632565","0.15694705170378856","86","Vehicles"
"Vehicles","23730598331","7.4246524310424205","87","Vehicles"
"Aircraft","4514061601","1.4123258913348926","88","Vehicles"
"Ships","1867098644","0.5841638838099386","89","Vehicles"
"Apparatuses (optical, medical, etc.)","7096696055","2.22036127712354","90","Machinery"
"Clocks","301959622","0.09447487207392614","91","Machinery"
"Musical instruments","70710545","0.022123387388372735","92","Machinery"
