"Name","Gross Export","Share","Code","Sector"
"Horses","592082","0.00023371351882340744","0101","Agriculture"
"Bovine","275788","0.00010886225882440252","0102","Agriculture"
"Sheep","15399014","0.0060784785694395615","0104","Agriculture"
"Fowl","6781840","0.002677007053917088","0105","Agriculture"
"Other live animals","55851736","0.02204644922993096","0106","Agriculture"
"Beef","22425","0.000008851857782562064","0201","Agriculture"
"Beef (frozen)","19440806","0.007673901890317916","0202","Agriculture"
"Lamb","3808234","0.0015032305806340004","0204","Agriculture"
"Horse meat","4529","0.000001787739750154898","0205","Agriculture"
"Edible offal","470776","0.0001858301984144231","0206","Agriculture"
"Poultry","100386608","0.03962577379218761","0207","Agriculture"
"Other meat","695674","0.0002746045623645967","0208","Agriculture"
"Preserved meat","19307","0.000007621084423987771","0210","Agriculture"
"Live Fish","27590","0.000010890646877185612","0301","Agriculture"
"Fish, excluding fillets","13777112","0.005438262478413788","0302","Agriculture"
"Frozen fish, excluding fillets","2434714","0.000961058732183403","0303","Agriculture"
"Fish fillets","12326475","0.00486565010748302","0304","Agriculture"
"Preserved fish","733839","0.00028966949669108414","0305","Agriculture"
"Crustaceans","66775456","0.02635838750848297","0306","Agriculture"
"Molluscs","2793612","0.001102727140408418","0307","Agriculture"
"Milk","150777360","0.05951659966778872","0401","Agriculture"
"Milk, concentrated","272005888","0.10736933942454872","0402","Agriculture"
"Fermented milk products","208715520","0.08238662653527261","0403","Agriculture"
"Whey","750214","0.0002961332278478045","0404","Agriculture"
"Butter","16236627","0.006409110950836448","0405","Agriculture"
"Cheese","254019872","0.10026968922580241","0406","Agriculture"
"Eggs, in shell","6538380","0.0025809056806398284","0407","Agriculture"
"Egg yolks","327599","0.00012931370157010256","0408","Agriculture"
"Honey","13710102","0.00541181150895963","0409","Agriculture"
"Brushmaking hair","13024","0.000005140985318175621","0502","Agriculture"
"Animal guts, except fish","1404662","0.00055446458223274","0504","Agriculture"
"Feathers and down","416914","0.00016456916100597907","0505","Agriculture"
"Coral and shells","1519","5.995974123394325e-7","0508","Agriculture"
"Animal products n.e.c.","357798","0.00014123420338395278","0511","Agriculture"
"Flower bulbs","15143","0.000005977421734730762","0601","Agriculture"
"Other live plants","2628673","0.0010376204928811937","0602","Agriculture"
"Cut flowers","207947","0.00008208326734940617","0603","Agriculture"
"Other parts of plants","191685","0.00007566414087181312","0604","Agriculture"
"Potatoes","182318","0.00007196668928433223","0701","Agriculture"
"Tomatoes","1948816","0.0007692594013993967","0702","Agriculture"
"Onions, shallots, garlic","875509","0.0003455911329031496","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","5846977","0.0023079870172535736","0704","Agriculture"
"Lettuce","1587882","0.0006267873194867432","0705","Agriculture"
"Carrots & turnips","3284462","0.0012964811824405513","0706","Agriculture"
"Cucumbers","1291224","0.0005096870106323708","0707","Agriculture"
"Legumes","3104033","0.0012252601412878247","0708","Agriculture"
"Other vegetables","11090588","0.004377806363477789","0709","Agriculture"
"Frozen vegetables","3341641","0.0013190515448106344","0710","Agriculture"
"Vegetables, provisionally preserved","201585","0.0000795719844413723","0711","Agriculture"
"Vegetables, dried","252666","0.00009973527306527653","0712","Agriculture"
"Legumes, dried","1741144","0.000687284685260256","0713","Agriculture"
"Tubers","347603","0.00013720991397065424","0714","Agriculture"
"Cashew nuts & coconuts","797534","0.00031481193064695","0801","Agriculture"
"Other nuts","1909235","0.0007536355270229602","0802","Agriculture"
"Bananas and plantains","3776200","0.0014905857461989236","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","183473472","0.07242279068079746","0804","Agriculture"
"Citrus fruit","9871029","0.0038964077982406166","0805","Agriculture"
"Grapes","3962354","0.0015640666261835419","0806","Agriculture"
"Melons and papayas","198540","0.00007837002649497757","0807","Agriculture"
"Apples & pears","1448402","0.000571730145640065","0808","Agriculture"
"Peaches & cherries","726667","0.00028683848112735907","0809","Agriculture"
"Other fresh fruit","11322538","0.004469364375190845","0810","Agriculture"
"Fruits and nuts, frozen","292487","0.00011545388304339934","0811","Agriculture"
"Fruits and nuts, provisionally preserved","4194","0.0000016555046394677946","0812","Agriculture"
"Fruits, dried","1520118","0.0006000387223506212","0813","Agriculture"
"Coffee","7976332","0.0031485108802898026","0901","Agriculture"
"Tea","17351338","0.006849122689550273","0902","Agriculture"
"Mate","4426","0.0000017470823877645348","0903","Agriculture"
"Pepper","908734","0.0003587060927615944","0904","Agriculture"
"Vanilla","394798","0.00015583927531058808","0905","Agriculture"
"Cinnamon","336056","0.00013265194733452293","0906","Agriculture"
"Cloves","280610","0.00011076565495494942","0907","Agriculture"
"Nutmeg","4220442","0.001665942134383581","0908","Agriculture"
"Anise, fennel, etc.","1255797","0.0004957028516284545","0909","Agriculture"
"Spices","2562045","0.0010113203109263866","0910","Agriculture"
"Wheat and meslin","18505","0.000007304509621686109","1001","Agriculture"
"Barley","2039","8.048578826597124e-7","1003","Agriculture"
"Oats","7303","0.000002882725412978852","1004","Agriculture"
"Corn","147978","0.00005841160360971991","1005","Agriculture"
"Rice","9411620","0.0037150645147610603","1006","Agriculture"
"Wheat or meslin flour","112039","0.00004422534198887273","1101","Agriculture"
"Cereal flours","400036","0.0001579068798173912","1102","Agriculture"
"Cereal meals","1155164","0.0004559798191097223","1103","Agriculture"
"Worked cereal grains","797232","0.0003146927216814947","1104","Agriculture"
"Potato flour","4134955","0.0016321977077946007","1105","Agriculture"
"Flour of dried legumes","2157975","0.0008518210835373187","1106","Agriculture"
"Malt","16489","0.000006508730567521332","1107","Agriculture"
"Starches","3282996","0.0012959025058069174","1108","Agriculture"
"Wheat gluten","2587","0.0000010211708398433918","1109","Agriculture"
"Soya beans","22624","0.00000893040938562694","1201","Agriculture"
"Peanuts","334438","0.0001320132714864879","1202","Agriculture"
"Copra","8973","0.0000035419273080459044","1203","Agriculture"
"Rape or colza seeds","1757","6.935435506783298e-7","1205","Agriculture"
"Sunflower seeds","74396","0.000029366457596052945","1206","Agriculture"
"Other oil seeds","240128","0.00009478612734051564","1207","Agriculture"
"Flours of oil seeds","19374","0.000007647531446125191","1208","Agriculture"
"Seeds used for sowing","1193553","0.00047113317333111703","1209","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","1417694","0.0005596087254043052","1211","Agriculture"
"Seaweeds & edible vegetable products","474811","0.00018742294071777375","1212","Agriculture"
"Cereal straw and husks","12519","0.000004941645822960735","1213","Agriculture"
"Forage products","46710","0.00001843791647819282","1214","Agriculture"
"Lac","118098","0.00004661702119977768","1301","Agriculture"
"Vegetable saps and extracts","3390478","0.001338329055558772","1302","Agriculture"
"Vegetable products n.e.c.","171854","0.0000678362170508103","1404","Agriculture"
"Pig and poultry fat, rendered","313157","0.00012361298673863047","1501","Agriculture"
"Bovine, sheep and goat fats","944364","0.0003727703822952705","1502","Agriculture"
"Wool grease","3229","0.0000012745885743541986","1505","Agriculture"
"Other animal fats and oils","956861","0.00037770334402140995","1506","Agriculture"
"Soybean oil","38079044","0.015031004770743513","1507","Agriculture"
"Peanut oil","5928049","0.0023399887035032","1508","Agriculture"
"Olive oil","1588303","0.0006269535015213678","1509","Agriculture"
"Olive oil, blended","5325","0.0000021019461624144034","1510","Agriculture"
"Palm oil","11715018","0.004624288662481813","1511","Agriculture"
"Sunflower seed oil","30251394","0.011941183385161709","1512","Agriculture"
"Coconut & palm kernel oil","143402","0.00005660531147090145","1513","Agriculture"
"Rapeseed, colza or mustard oil,","56779","0.00002241246970060608","1514","Agriculture"
"Other vegetable fats and oils","44434908","0.017539865605227616","1515","Agriculture"
"Vegetable fats, hydrogenated","32826588","0.01295769402286548","1516","Agriculture"
"Margarine","2322803","0.000916883915848763","1517","Agriculture"
"Animal or vegetable fats and oils, processed","18409768","0.007266918534936992","1518","Agriculture"
"Stearic acid","42486548","0.016770786201471422","1519","Agriculture"
"Glycerol","1520659","0.000600252272186089","1520","Agriculture"
"Degras and wax residues","303544","0.00011981843115942114","1522","Agriculture"
"Sausages","10442214","0.004121872609278865","1601","Agriculture"
"Other prepared or preserved meat","45421352","0.017929246296351883","1602","Agriculture"
"Prepared or preserved fish","6976561","0.002753869600150233","1604","Agriculture"
"Prepared aquatic invertibrates","4765113","0.001880941029825537","1605","Agriculture"
"Sugarcane & sucrose","168333808","0.06644668577093013","1701","Agriculture"
"Other sugars","11980879","0.004729232419981466","1702","Agriculture"
"Molasses","2678973","0.0010574754960679437","1703","Agriculture"
"Confectionery sugar","53765164","0.02122281317209033","1704","Agriculture"
"Cocoa beans","105130","0.00004149814085532887","1801","Agriculture"
"Cocoa butter","47085","0.000018585940855827637","1804","Agriculture"
"Cocoa powder","313844","0.00012388416739845745","1805","Agriculture"
"Chocolates","58450000","0.02307206632734683","1806","Agriculture"
