"Name","Gross Import","Share","Code","Sector"
"Live animals","644479705","0.3119881837354539","01","Agriculture"
"Meat","1591150331","0.7702649097674166","02","Agriculture"
"Fish","400285941","0.1937756654531535","03","Agriculture"
"Diary products","1555609021","0.7530596065306316","04","Agriculture"
"Animal products","12375029","0.005990666255942955","05","Agriculture"
"Plants","81015596","0.039219091701708904","06","Agriculture"
"Vegetables","532413850","0.2577378756358206","07","Agriculture"
"Fruits and nuts","1351502224","0.6542529127122576","08","Agriculture"
"Coffee, tea and spices","721737604","0.3493882002157667","09","Agriculture"
"Cereals","3885202382","1.880799698114371","10","Agriculture"
"Flours, starches and malts","173217378","0.08385333895601502","11","Agriculture"
"Oil seeds and oleaginous fruits","691595755","0.3347967388385022","12","Agriculture"
"Lac and other vegetable extracts","42873276","0.020754657448877813","13","Agriculture"
"Other vegetable materials","10349263","0.005010006895982139","14","Agriculture"
"Animal or vegetable fats, oils or waxes","938260790","0.4542055823810497","15","Agriculture"
"Preparations of meat or fish","386693712","0.18719576106558808","16","Agriculture"
"Sugar and candy","719303187","0.3482097157229389","17","Agriculture"
"Cocoa","474613924","0.2297573297894877","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1249752685","0.604996662092962","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","770215840","0.37285618017386124","20","Agriculture"
"Miscellaneous edible preparations","910448092","0.4407416469514574","21","Agriculture"
"Beverages","182482547","0.08833854341766992","22","Agriculture"
"Food residues and animal feed","627476167","0.303756888170147","23","Agriculture"
"Tobacco","148438696","0.07185814976299243","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","294963426","0.14278976177555033","25","Minerals"
"Ores, slag and ash","1001214667","0.48468112038784417","26","Minerals"
"Mineral fuels, oils and waxes","4596604405","2.225184514796066","27","Minerals"
"Inorganic chemicals","684560736","0.33139113462268843","28","Chemicals"
"Organic chemicals","1913354539","0.9262417463783389","29","Chemicals"
"Pharmaceutical products","4678781605","2.264965930988939","30","Chemicals"
"Fertilisers","99415241","0.04812623304439421","31","Chemicals"
"Dyes, paints, inks, etc.","452442628","0.2190243581901708","32","Chemicals"
"Essential oils","1490628208","0.7216028427749395","33","Chemicals"
"Soaps, waxes, and paints","606700843","0.2936996969956389","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","134930803","0.06531907185182244","35","Chemicals"
"Explosives","26876999","0.013010969992095577","36","Chemicals"
"Photographic or cinematographic goods","28918890","0.013999435353430378","37","Chemicals"
"Miscellaneous chemical products","1584257986","0.7669283730517599","38","Chemicals"
"Plastics","2902771111","1.4052114902836788","39","Chemicals"
"Rubber","1350905286","0.6539639391402773","40","Chemicals"
"Leather and skins","4689300","0.002270057813520542","41","Agriculture"
"Articles of leather","488926215","0.23668581122891996","42","Agriculture"
"Furskins","3860084","0.0018686400624924034","43","Agriculture"
"Wood","1209172653","0.5853521482605107","44","Agriculture"
"Cork","6844687","0.0033134658062935786","45","Agriculture"
"Manufactues of plaiting materials","11234382","0.005438486904052744","46","Agriculture"
"Pulp of wood","165021883","0.07988595630606331","47","Agriculture"
"Paper and paperboard","1728780873","0.8368909066637907","48","Agriculture"
"Products of the printing industry","191001799","0.09246265460013862","49","Agriculture"
"Silk","6667359","0.003227622543555863","50","Textiles"
"Wool","18547104","0.008978525228366301","51","Textiles"
"Cotton","59947691","0.029020264081433277","52","Textiles"
"Other vegetable textile fibres","24553838","0.01188634376214309","53","Textiles"
"Man-made filaments","437293748","0.21169088978122166","54","Textiles"
"Man-made staple fibres","218618624","0.10583176926029673","55","Textiles"
"Wadding, felt and nonwovens","144010952","0.06971470940654932","56","Textiles"
"Carpets","484602748","0.23459285064954816","57","Textiles"
"Special woven fabrics","79172936","0.03832707269446651","58","Textiles"
"Impregnated, coated or laminated textile fabrics","102040271","0.04939699197690563","59","Textiles"
"Knitted fabrics","138557428","0.06707469602130593","60","Textiles"
"Apparel, knit","1666701950","0.8068389278586193","61","Textiles"
"Apparel, not knit","1751253670","0.8477698328194027","62","Textiles"
"Other made up textile articles","456547935","0.2210117090170001","63","Textiles"
"Footwear","667800804","0.3232777670431621","64","Textiles"
"Headgear","74115275","0.03587869385941904","65","Textiles"
"Umbrellas and walking-sticks","9808330","0.004748144958541347","66","Textiles"
"Feathers and down","45033909","0.02180060499409785","67","Textiles"
"Articles of stone, plaster, cement, etc.","595705228","0.2883767955508148","68","Stone"
"Ceramic products","1266781769","0.6132403243008177","69","Stone"
"Glass and glassware","439604538","0.21280952729532937","70","Stone"
"Precious metals and stones","3871516627","1.8741745184347438","71","Stone"
"Iron and steel","3218748783","1.5581741037273975","72","Metals"
"Articles of iron or steel","3270012307","1.58299042241138","73","Metals"
