"Name","Gross Export","Share","Code","Sector"
"Live animals","210264","0.0053982794557012985","01","Agriculture"
"Meat","2510920","0.0644649005579153","02","Agriculture"
"Fish","443761440","11.393049998023553","03","Agriculture"
"Diary products","9040164","0.23209551610057105","04","Agriculture"
"Animal products","870781","0.02235627203284933","05","Agriculture"
"Plants","715231","0.018362709799969065","06","Agriculture"
"Vegetables","72687771","1.8661725301051086","07","Agriculture"
"Fruits and nuts","80918780","2.0774939488186903","08","Agriculture"
"Coffee, tea and spices","4300608","0.11041302274010126","09","Agriculture"
"Cereals","46162782","1.18517481684272","10","Agriculture"
"Flours, starches and malts","7640335","0.19615656253650446","11","Agriculture"
"Oil seeds and oleaginous fruits","55505393","1.4250353018706323","12","Agriculture"
"Lac and other vegetable extracts","4168635","0.1070247720904072","13","Agriculture"
"Other vegetable materials","34656","0.000889751801624549","14","Agriculture"
"Animal or vegetable fats, oils or waxes","48417484","1.2430616233589502","15","Agriculture"
"Preparations of meat or fish","92892384","2.384902066632024","16","Agriculture"
"Sugar and candy","12641477","0.3245549669882647","17","Agriculture"
"Cocoa","7591504","0.19490288437903888","18","Agriculture"
"Preparations of cereals, flour, starch or milk","38344449","0.9844483662295314","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","8984110","0.23065639596298268","20","Agriculture"
"Miscellaneous edible preparations","131532777","3.3769484449570077","21","Agriculture"
"Beverages","6603472","0.16953633163023038","22","Agriculture"
"Food residues and animal feed","6173232","0.15849042860821555","23","Agriculture"
"Tobacco","71668484","1.8400035422062606","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","232773857","5.97619340480278","25","Minerals"
"Ores, slag and ash","199456335","5.120805442396111","26","Minerals"
"Mineral fuels, oils and waxes","580703685","14.908880134428804","27","Minerals"
"Inorganic chemicals","415709083","10.672838918251939","28","Chemicals"
"Organic chemicals","6195370","0.15905879556875238","29","Chemicals"
"Pharmaceutical products","7967403","0.20455364651197017","30","Chemicals"
"Fertilisers","56110812","1.440578718479235","31","Chemicals"
"Dyes, paints, inks, etc.","1412263","0.03625818180452708","32","Chemicals"
"Essential oils","63857424","1.6394638172640443","33","Chemicals"
"Soaps, waxes, and paints","17339808","0.445179057243299","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","528977","0.013580858690210904","35","Chemicals"
"Explosives","1559737","0.04004440229139166","36","Chemicals"
"Photographic or cinematographic goods","4877","0.00012521120546291916","37","Chemicals"
"Miscellaneous chemical products","14792138","0.3797706439109809","38","Chemicals"
"Plastics","40641009","1.043409827377352","39","Chemicals"
"Rubber","7590689","0.19488196021819157","40","Chemicals"
"Leather and skins","6662840","0.17106053479732544","41","Agriculture"
"Articles of leather","183008","0.004698513899806829","42","Agriculture"
"Furskins","1599","0.000041052433367891675","43","Agriculture"
"Wood","7473868","0.19188271924353836","44","Agriculture"
"Cork","3144","0.00008071848061829359","45","Agriculture"
"Manufactues of plaiting materials","4150766","0.10656600665460303","46","Agriculture"
"Pulp of wood","190660","0.004894969947418529","47","Agriculture"
"Paper and paperboard","13101191","0.336357580092259","48","Agriculture"
"Products of the printing industry","1447501","0.03716287576764013","49","Agriculture"
"Silk","1258","0.00003229766177411365","50","Textiles"
"Wool","4861","0.00012480042439107033","51","Textiles"
"Cotton","14691491","0.3771866512523329","52","Textiles"
"Other vegetable textile fibres","28317","0.0007270054757214438","53","Textiles"
"Man-made filaments","1722390","0.044220325646355814","54","Textiles"
"Man-made staple fibres","27716731","0.7115942792703425","55","Textiles"
"Wadding, felt and nonwovens","3023209","0.07761731459018789","56","Textiles"
"Carpets","36004","0.0009243601069278124","57","Textiles"
"Special woven fabrics","37046","0.0009511122242319669","58","Textiles"
"Impregnated, coated or laminated textile fabrics","36035","0.0009251559952545194","59","Textiles"
"Knitted fabrics","27737","0.0007121146618669239","60","Textiles"
"Apparel, knit","360799","0.009263087496373952","61","Textiles"
"Apparel, not knit","500354","0.012845997026490351","62","Textiles"
"Other made up textile articles","3182460","0.08170589561975018","63","Textiles"
"Footwear","5204828","0.13362780153929762","64","Textiles"
"Headgear","53496","0.0013734465137265374","65","Textiles"
"Umbrellas and walking-sticks","3915","0.0001005129935180087","66","Textiles"
"Feathers and down","43534188","1.1176887755442586","67","Textiles"
"Articles of stone, plaster, cement, etc.","289133","0.007423147727929096","68","Stone"
"Ceramic products","549419","0.014105682857131758","69","Stone"
"Glass and glassware","1895888","0.0486746815465825","70","Stone"
"Precious metals and stones","602694644","15.473471991241523","71","Stone"
"Iron and steel","115729073","2.9712070406881628","72","Metals"
"Articles of iron or steel","17805862","0.4571444423470134","73","Metals"
"Copper","26924906","0.6912651091317991","74","Metals"
"Nickel","12602","0.0003235414417149287","75","Metals"
"Aluminium","15044882","0.3862595471124408","76","Metals"
