"Name","Gross Export","Share","Code","Sector"
"Live animals","42567560","0.16402243832548094","01","Agriculture"
"Meat","58069711","0.22375573302947133","02","Agriculture"
"Fish","21979153","0.0846906486392175","03","Agriculture"
"Diary products","89861061","0.3462549964276736","04","Agriculture"
"Animal products","5769136","0.022229786103580094","05","Agriculture"
"Plants","21074147","0.08120345579050384","06","Agriculture"
"Vegetables","120003623","0.4624011066725875","07","Agriculture"
"Fruits and nuts","532442087","2.0516198104107413","08","Agriculture"
"Coffee, tea and spices","17520244","0.06750946356656048","09","Agriculture"
"Cereals","289248008","1.1145380085903025","10","Agriculture"
"Flours, starches and malts","73292674","0.28241325321147326","11","Agriculture"
"Oil seeds and oleaginous fruits","155801733","0.6003393227611719","12","Agriculture"
"Lac and other vegetable extracts","1621060","0.006246310896652383","13","Agriculture"
"Other vegetable materials","941480","0.0036277354218722845","14","Agriculture"
"Animal or vegetable fats, oils or waxes","174484774","0.672329306216999","15","Agriculture"
"Preparations of meat or fish","71513154","0.2755563600879548","16","Agriculture"
"Sugar and candy","61767361","0.23800361496290173","17","Agriculture"
"Cocoa","67897195","0.26162325205768555","18","Agriculture"
"Preparations of cereals, flour, starch or milk","154610658","0.595749841340848","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","115271867","0.44416858038540485","20","Agriculture"
"Miscellaneous edible preparations","193728433","0.7464794776499891","21","Agriculture"
"Beverages","239629531","0.9233467920033807","22","Agriculture"
"Food residues and animal feed","186888143","0.7201222928676476","23","Agriculture"
"Tobacco","539073940","2.0771738402794058","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","41088967","0.15832508500875367","25","Minerals"
"Ores, slag and ash","138713948","0.5344962215526088","26","Minerals"
"Mineral fuels, oils and waxes","877119609","3.3797402757234023","27","Minerals"
"Inorganic chemicals","75689394","0.29164835755815055","28","Chemicals"
"Organic chemicals","288976732","1.113492720794169","29","Chemicals"
"Pharmaceutical products","242103958","0.9328813189999575","30","Chemicals"
"Fertilisers","121408358","0.46781386840713707","31","Chemicals"
"Dyes, paints, inks, etc.","102407453","0.39459908305202573","32","Chemicals"
"Essential oils","46459190","0.1790177690811219","33","Chemicals"
"Soaps, waxes, and paints","207380192","0.799082793381777","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","13108985","0.050511884723299975","35","Chemicals"
"Explosives","36781090","0.14172586039859844","36","Chemicals"
"Photographic or cinematographic goods","2550924","0.00982928724274986","37","Chemicals"
"Miscellaneous chemical products","57675688","0.22223747327447663","38","Chemicals"
"Plastics","889041881","3.4256794867991514","39","Chemicals"
"Rubber","795394238","3.064833933323825","40","Chemicals"
"Leather and skins","92393023","0.35601121879483444","41","Agriculture"
"Articles of leather","47890266","0.18453202864753998","42","Agriculture"
"Furskins","1269408","0.004891316189837334","43","Agriculture"
"Wood","318933633","1.2289234372057989","44","Agriculture"
"Cork","240912","0.0009282884351808811","45","Agriculture"
"Manufactues of plaiting materials","210689","0.00081183237912526","46","Agriculture"
"Pulp of wood","12235213","0.04714504354235062","47","Agriculture"
"Paper and paperboard","481473914","1.855227909807208","48","Agriculture"
"Products of the printing industry","57902356","0.22311087635537583","49","Agriculture"
"Silk","13708","0.00005282002502764295","50","Textiles"
"Wool","4595570","0.017707770821147148","51","Textiles"
"Cotton","7225077","0.027839856139965525","52","Textiles"
"Other vegetable textile fibres","141331","0.0005445803149388537","53","Textiles"
"Man-made filaments","12487691","0.048117898391995303","54","Textiles"
"Man-made staple fibres","7343957","0.0282979276730328","55","Textiles"
"Wadding, felt and nonwovens","52792137","0.20342004651318613","56","Textiles"
"Carpets","48867440","0.18829730112611906","57","Textiles"
"Special woven fabrics","2746775","0.010583945451218555","58","Textiles"
"Impregnated, coated or laminated textile fabrics","24547220","0.09458599173906168","59","Textiles"
"Knitted fabrics","26560887","0.10234510622238083","60","Textiles"
"Apparel, knit","501542714","1.9325575361768286","61","Textiles"
"Apparel, not knit","225477611","0.8688162427920296","62","Textiles"
"Other made up textile articles","67459411","0.2599363712700651","63","Textiles"
"Footwear","373051089","1.4374502376400244","64","Textiles"
"Headgear","3440710","0.01325783398839082","65","Textiles"
"Umbrellas and walking-sticks","749426","0.0028877079133620034","66","Textiles"
"Feathers and down","463655","0.0017865676031654355","67","Textiles"
"Articles of stone, plaster, cement, etc.","56844989","0.21903660210651357","68","Stone"
"Ceramic products","82515780","0.3179519670831251","69","Stone"
"Glass and glassware","99098495","0.3818489193246097","70","Stone"
"Precious metals and stones","71169528","0.2742322913747838","71","Stone"
"Iron and steel","985430069","3.797084980126343","72","Metals"
"Articles of iron or steel","464435214","1.7895739442076675","73","Metals"
"Copper","610494982","2.3523752719937576","74","Metals"
"Nickel","3290682","0.012679742165014165","75","Metals"
"Aluminium","337577409","1.3007621237340867","76","Metals"
"Lead","19237285","0.07412561096906188","78","Metals"
"Zinc","3692744","0.014228978005593692","79","Metals"
"Tin","1067662","0.004113943212800068","80","Metals"
"Other base metals","20599157","0.07937321186813148","81","Metals"
"Metal tools and tableware","31001694","0.11945654019399826","82","Metals"
"Miscellaneous articles of base metal","76256193","0.2938323623265809","83","Metals"
"Industrial Machinery","1320192441","5.087000129480963","84","Machinery"
"Electrical machinery and equipment","2489159056","9.59129294103473","85","Electronics"
"Trains","78903319","0.30403233763817444","86","Vehicles"
"Vehicles","1260805195","4.85816763604335","87","Vehicles"
"Aircraft","34542459","0.13309990873185953","88","Vehicles"
"Ships","51128208","0.1970085516616964","89","Vehicles"
"Apparatuses (optical, medical, etc.)","248588667","0.9578683697496643","90","Machinery"
"Clocks","10920837","0.04208045547583959","91","Machinery"
"Musical instruments","1323370","0.00509924398313626","92","Machinery"
"Arms and ammunition","60025324","0.23129115231779815","93","Machinery"
"Furniture","580505952","2.2368207552768964","94","Textiles"
"Toys","31561903","0.12161515220163693","95","Machinery"
"Miscellaneous manufactured articles","18791361","0.0724073649200083","96","Machinery"
"Art","1945636","0.007496975650327043","97","Textiles"
"Other","291229056","1.1221714346875422","99","Other"
"Unspecified","3012638464","11.60837752171869","unspecified","Services"
"Travel and tourism","1547412224","5.962529355103635","travel","Services"
"Transport","1496988032","5.768233536352637","transport","Services"
"ICT","949131392","3.6572179661483504","ict","Services"
"Insurance and finance","60760560","0.2341241829510943","financial","Services"
