"Name","Gross Import","Share","Code","Sector"
"Live animals","55183396","0.17926360153753237","01","Agriculture"
"Meat","141635435","0.4601035823064435","02","Agriculture"
"Fish","49561364","0.16100039598419424","03","Agriculture"
"Diary products","132055627","0.42898351705859133","04","Agriculture"
"Animal products","7000095","0.02273985169025974","05","Agriculture"
"Plants","35753743","0.11614625418535925","06","Agriculture"
"Vegetables","88564586","0.2877026027002854","07","Agriculture"
"Fruits and nuts","179855890","0.5842629656054197","08","Agriculture"
"Coffee, tea and spices","77614499","0.25213117768741894","09","Agriculture"
"Cereals","45777754","0.14870931561260162","10","Agriculture"
"Flours, starches and malts","20632100","0.06702350383224913","11","Agriculture"
"Oil seeds and oleaginous fruits","73573835","0.2390050558147627","12","Agriculture"
"Lac and other vegetable extracts","8260407","0.026833982978971483","13","Agriculture"
"Other vegetable materials","2496803","0.008110879912314845","14","Agriculture"
"Animal or vegetable fats, oils or waxes","80504483","0.2615193084981042","15","Agriculture"
"Preparations of meat or fish","95612376","0.3105973918915886","16","Agriculture"
"Sugar and candy","56536802","0.1836601492582001","17","Agriculture"
"Cocoa","131127309","0.4259678703221687","18","Agriculture"
"Preparations of cereals, flour, starch or milk","158303031","0.5142483704947705","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","91686899","0.29784545569736187","20","Agriculture"
"Miscellaneous edible preparations","243428038","0.7907774796443352","21","Agriculture"
"Beverages","158893757","0.5161673475414505","22","Agriculture"
"Food residues and animal feed","87295675","0.28358053750715023","23","Agriculture"
"Tobacco","222497924","0.7227858754989301","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","123824382","0.40224426701610017","25","Minerals"
"Ores, slag and ash","261986051","0.8510632990919158","26","Minerals"
"Mineral fuels, oils and waxes","2680671311","8.708177252233597","27","Minerals"
"Inorganic chemicals","137118752","0.4454311097825824","28","Chemicals"
"Organic chemicals","214862957","0.6979836382092894","29","Chemicals"
"Pharmaceutical products","1418264234","4.607240092993","30","Chemicals"
"Fertilisers","111349067","0.3617181294580709","31","Chemicals"
"Dyes, paints, inks, etc.","184420340","0.5990906095227674","32","Chemicals"
"Essential oils","285045553","0.9259722332608445","33","Chemicals"
"Soaps, waxes, and paints","211597062","0.6873743582015237","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","49207014","0.159849287828313","35","Chemicals"
"Explosives","12537061","0.040726719819050954","36","Chemicals"
"Photographic or cinematographic goods","18251090","0.059288778193093465","37","Chemicals"
"Miscellaneous chemical products","299712669","0.9736184498570246","38","Chemicals"
"Plastics","1482380717","4.815522882629578","39","Chemicals"
"Rubber","340864450","1.1073002637081293","40","Chemicals"
"Leather and skins","165464426","0.5375122062277666","41","Agriculture"
"Articles of leather","111994430","0.3638145951355197","42","Agriculture"
"Furskins","2665003","0.008657278647517967","43","Agriculture"
"Wood","277587611","0.9017450627732213","44","Agriculture"
"Cork","1732696","0.005628673620044627","45","Agriculture"
