"Name","Gross Export","Share","Code","Sector"
"Live animals","2340329","0.0004721612823790546","01","Agriculture"
"Meat","58393228","0.011780831419314344","02","Agriculture"
"Fish","193475435","0.03903366129225653","03","Agriculture"
"Diary products","270452787","0.0545638389871293","04","Agriculture"
"Animal products","16530294","0.0033349861549990594","05","Agriculture"
"Plants","12650450","0.002552227782791271","06","Agriculture"
"Vegetables","24998191","0.005043384036909572","07","Agriculture"
"Fruits and nuts","169220377","0.03414020430844855","08","Agriculture"
"Coffee, tea and spices","181205426","0.036558187466037","09","Agriculture"
"Cereals","33795321","0.0068182046634348405","10","Agriculture"
"Flours, starches and malts","49911461","0.010069635265457197","11","Agriculture"
"Oil seeds and oleaginous fruits","37570921","0.007579931812801599","12","Agriculture"
"Lac and other vegetable extracts","18234306","0.0036787705080149375","13","Agriculture"
"Other vegetable materials","6482997","0.0013079443861010842","14","Agriculture"
"Animal or vegetable fats, oils or waxes","541098954","0.10916669238154342","15","Agriculture"
"Preparations of meat or fish","71871022","0.014499975821097483","16","Agriculture"
"Sugar and candy","56789484","0.011457276131298124","17","Agriculture"
"Cocoa","617549582","0.12459060353043064","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1422081187","0.28690482274118223","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","110241538","0.022241225893248038","20","Agriculture"
"Miscellaneous edible preparations","4232460635","0.8538987642508673","21","Agriculture"
"Beverages","1994918688","0.40247476571371854","22","Agriculture"
"Food residues and animal feed","258825394","0.052218012913271626","23","Agriculture"
"Tobacco","902409675","0.18206111592825877","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","106168541","0.021419498910996378","25","Minerals"
"Ores, slag and ash","321813251","0.06492581055002633","26","Minerals"
"Mineral fuels, oils and waxes","51254982715","10.340690717856626","27","Minerals"
"Inorganic chemicals","498219832","0.10051583122877047","28","Chemicals"
"Organic chemicals","20543435168","4.144637225532756","29","Chemicals"
"Pharmaceutical products","12141552240","2.4495576800145127","30","Chemicals"
"Fertilisers","50505114","0.010189404734522517","31","Chemicals"
"Dyes, paints, inks, etc.","1519657417","0.3065908232507318","32","Chemicals"
"Essential oils","3979593272","0.802882783854141","33","Chemicals"
"Soaps, waxes, and paints","883414264","0.17822879251685927","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","290010117","0.0585095295343602","35","Chemicals"
"Explosives","35954436","0.0072538060285437","36","Chemicals"
"Photographic or cinematographic goods","89554122","0.01806754054060361","37","Chemicals"
"Miscellaneous chemical products","5101222677","1.029171471563799","38","Chemicals"
"Plastics","11881740586","2.3971406891855893","39","Chemicals"
"Rubber","1489090854","0.3004240203849808","40","Chemicals"
"Leather and skins","46714123","0.009424572451519805","41","Agriculture"
"Articles of leather","701919206","0.14161217180637758","42","Agriculture"
"Furskins","7618023","0.001536935836317515","43","Agriculture"
"Wood","124792889","0.025176960376950004","44","Agriculture"
"Cork","1564711","0.0003156803818235013","45","Agriculture"
"Manufactues of plaiting materials","1278018","0.0002578400805115497","46","Agriculture"
"Pulp of wood","855122865","0.17252100389733718","47","Agriculture"
"Paper and paperboard","1175908709","0.2372395351261035","48","Agriculture"
"Products of the printing industry","758127876","0.15295226873634815","49","Agriculture"
"Silk","2620933","0.000528773128183936","50","Textiles"
"Wool","5635487","0.0011369592774137704","51","Textiles"
"Cotton","73742549","0.014877556318680098","52","Textiles"
"Other vegetable textile fibres","1661891","0.0003352864429463591","53","Textiles"
"Man-made filaments","232157083","0.04683768223299401","54","Textiles"
"Man-made staple fibres","101028552","0.02038250633531397","55","Textiles"
"Wadding, felt and nonwovens","49078638","0.009901613258433922","56","Textiles"
"Carpets","9692353","0.0019554318310589995","57","Textiles"
"Special woven fabrics","14834828","0.0029929259571422253","58","Textiles"
"Impregnated, coated or laminated textile fabrics","64388235","0.012990323842384523","59","Textiles"
"Knitted fabrics","25092859","0.00506248330213265","60","Textiles"
"Apparel, knit","262229609","0.052904813153705356","61","Textiles"
"Apparel, not knit","392744332","0.07923615331187418","62","Textiles"
"Other made up textile articles","87199464","0.017592488383046233","63","Textiles"
"Footwear","301337100","0.060794747902703186","64","Textiles"
"Headgear","9974371","0.0020123289513074676","65","Textiles"
"Umbrellas and walking-sticks","1704705","0.0003439241657382301","66","Textiles"
"Feathers and down","2215899","0.0004470575348433766","67","Textiles"
"Articles of stone, plaster, cement, etc.","96236351","0.019415679974756038","68","Stone"
"Ceramic products","75592076","0.015250698317140437","69","Stone"
"Glass and glassware","258198393","0.052091515486536774","70","Stone"
"Precious metals and stones","12395066200","2.5007041113301915","71","Stone"
"Iron and steel","1444967445","0.29152212437960057","72","Metals"
