"Name","Gross Import","Share","Code","Sector"
"Live animals","265923226","0.05252740691536579","01","Agriculture"
"Meat","778516699","0.1537792093375866","02","Agriculture"
"Fish","604722904","0.11944998760450387","03","Agriculture"
"Diary products","895776888","0.17694143459795442","04","Agriculture"
"Animal products","24630171","0.004865159895856716","05","Agriculture"
"Plants","62523361","0.012350143589801786","06","Agriculture"
"Vegetables","420051902","0.08297220785794526","07","Agriculture"
"Fruits and nuts","521960940","0.10310214380938214","08","Agriculture"
"Coffee, tea and spices","255412677","0.050451274294190045","09","Agriculture"
"Cereals","272585110","0.05384331864280161","10","Agriculture"
"Flours, starches and malts","154750993","0.03056772626497816","11","Agriculture"
"Oil seeds and oleaginous fruits","104978933","0.020736327601681252","12","Agriculture"
"Lac and other vegetable extracts","54513585","0.010767984823222552","13","Agriculture"
"Other vegetable materials","13372465","0.00264144249858223","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1577958165","0.31169165580286284","15","Agriculture"
"Preparations of meat or fish","616351540","0.12174697423568542","16","Agriculture"
"Sugar and candy","232111709","0.04584866982797498","17","Agriculture"
"Cocoa","604387736","0.11938378238359922","18","Agriculture"
"Preparations of cereals, flour, starch or milk","489799969","0.09674943654149469","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","289046791","0.05709496923912051","20","Agriculture"
"Miscellaneous edible preparations","804308583","0.15887384062030843","21","Agriculture"
"Beverages","2516095262","0.49700043750559003","22","Agriculture"
"Food residues and animal feed","158264399","0.031261723962723025","23","Agriculture"
"Tobacco","618763408","0.12222338682200895","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","426158054","0.08417834669589346","25","Minerals"
"Ores, slag and ash","690613382","0.1364158019710206","26","Minerals"
"Mineral fuels, oils and waxes","79730247563","15.748993497862246","27","Minerals"
"Inorganic chemicals","1148024772","0.2267675721855301","28","Chemicals"
"Organic chemicals","6388512143","1.2619130038649446","29","Chemicals"
"Pharmaceutical products","2702942528","0.53390809134176","30","Chemicals"
"Fertilisers","52628824","0.010395690874046366","31","Chemicals"
"Dyes, paints, inks, etc.","1122956461","0.22181586716756396","32","Chemicals"
"Essential oils","3466857460","0.6848030360424082","33","Chemicals"
"Soaps, waxes, and paints","719239325","0.14207024058067053","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","357183347","0.07055387862683833","35","Chemicals"
"Explosives","15670992","0.0030954670110366436","36","Chemicals"
"Photographic or cinematographic goods","371340484","0.07335031618192267","37","Chemicals"
"Miscellaneous chemical products","3219125304","0.6358688832797125","38","Chemicals"
"Plastics","7929000696","1.5662033446864492","39","Chemicals"
"Rubber","1237145658","0.2443714840889602","40","Chemicals"
"Leather and skins","68865463","0.013602889269311387","41","Agriculture"
"Articles of leather","2030675031","0.40111612389287893","42","Agriculture"
"Furskins","9165300","0.001810407649768065","43","Agriculture"
"Wood","622924347","0.12304529071995207","44","Agriculture"
"Cork","1394263","0.00027540663164201626","45","Agriculture"
"Manufactues of plaiting materials","22353309","0.004415414837618991","46","Agriculture"
"Pulp of wood","525832760","0.10386693847475317","47","Agriculture"
"Paper and paperboard","1490557795","0.29442759478570474","48","Agriculture"
"Products of the printing industry","366619100","0.07241770844283148","49","Agriculture"
"Silk","6032169","0.0011915250894453842","50","Textiles"
"Wool","8163914","0.0016126054092772308","51","Textiles"
"Cotton","119986396","0.023700728747176894","52","Textiles"
"Other vegetable textile fibres","5599941","0.0011061477556271841","53","Textiles"
"Man-made filaments","78022444","0.01541165367977049","54","Textiles"
"Man-made staple fibres","134516402","0.02657081854386395","55","Textiles"
"Wadding, felt and nonwovens","153337705","0.03028856165426979","56","Textiles"
"Carpets","76025205","0.015017142123791403","57","Textiles"
"Special woven fabrics","42816855","0.008457547688674679","58","Textiles"
"Impregnated, coated or laminated textile fabrics","146433642","0.028924812680457625","59","Textiles"
"Knitted fabrics","57005762","0.011260260723125014","60","Textiles"
"Apparel, knit","924446771","0.182604552608402","61","Textiles"
"Apparel, not knit","968797927","0.19136516842004558","62","Textiles"
"Other made up textile articles","280404360","0.05538784310086069","63","Textiles"
"Footwear","888466126","0.17549735099453348","64","Textiles"
"Headgear","60188215","0.011888885782449567","65","Textiles"
"Umbrellas and walking-sticks","15838483","0.003128551251341632","66","Textiles"
"Feathers and down","138691813","0.02739558107376758","67","Textiles"
"Articles of stone, plaster, cement, etc.","810299901","0.16005729647438774","68","Stone"
"Ceramic products","1018855761","0.2012530155831957","69","Stone"
"Glass and glassware","860131112","0.16990037914397918","70","Stone"
"Precious metals and stones","16488219045","3.256892615639369","71","Stone"
"Iron and steel","3025464551","0.5976153718080701","72","Metals"
"Articles of iron or steel","3690073108","0.7288944805872825","73","Metals"
"Copper","1096024954","0.21649612790179174","74","Metals"
"Nickel","279858485","0.0552800172494628","75","Metals"
"Aluminium","1190452002","0.23514815784562515","76","Metals"
"Lead","45138064","0.008916052541795743","78","Metals"
