"Name","Gross Export","Share","Code","Sector"
"Live animals","203030014","0.20276848544806086","01","Agriculture"
"Meat","146479646","0.14629096153432813","02","Agriculture"
"Fish","9833629","0.009820962031693152","03","Agriculture"
"Diary products","338801358","0.3383649386410733","04","Agriculture"
"Animal products","28694796","0.028657833443094156","05","Agriculture"
"Plants","21960245","0.02193195740368885","06","Agriculture"
"Vegetables","51478900","0.05141258861131822","07","Agriculture"
"Fruits and nuts","98257307","0.09813073905710881","08","Agriculture"
"Coffee, tea and spices","146897022","0.14670779990080912","09","Agriculture"
"Cereals","311574301","0.31117295356295566","10","Agriculture"
"Flours, starches and malts","151052003","0.15085742875536592","11","Agriculture"
"Oil seeds and oleaginous fruits","258006070","0.2576737252764331","12","Agriculture"
"Lac and other vegetable extracts","3635022","0.0036303396280629773","13","Agriculture"
"Other vegetable materials","933962","0.0009327589378289744","14","Agriculture"
"Animal or vegetable fats, oils or waxes","167789701","0.1675735664656605","15","Agriculture"
"Preparations of meat or fish","128832194","0.12866624170321317","16","Agriculture"
"Sugar and candy","221507170","0.2212218405146056","17","Agriculture"
"Cocoa","237719288","0.23741307523897126","18","Agriculture"
"Preparations of cereals, flour, starch or milk","155131991","0.1549321612104711","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","79930715","0.07982775404492953","20","Agriculture"
"Miscellaneous edible preparations","246676987","0.24635923558021816","21","Agriculture"
"Beverages","187475430","0.18723393773604308","22","Agriculture"
"Food residues and animal feed","115561296","0.11541243831237213","23","Agriculture"
"Tobacco","8501969","0.008491017379609521","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","334074444","0.33364411350916334","25","Minerals"
"Ores, slag and ash","46874865","0.04681448419558459","26","Minerals"
"Mineral fuels, oils and waxes","2928324103","2.9245520480846805","27","Minerals"
"Inorganic chemicals","205900034","0.20563480849626614","28","Chemicals"
"Organic chemicals","382440532","0.38194789981933736","29","Chemicals"
"Pharmaceutical products","461162343","0.46056830708679924","30","Chemicals"
"Fertilisers","270311010","0.26996281494437385","31","Chemicals"
"Dyes, paints, inks, etc.","86235316","0.08612423391476952","32","Chemicals"
"Essential oils","440363924","0.4397966791030462","33","Chemicals"
"Soaps, waxes, and paints","159198459","0.15899339108106061","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","67652072","0.06756492750309895","35","Chemicals"
"Explosives","2492818","0.0024896069324886324","36","Chemicals"
"Photographic or cinematographic goods","12099355","0.012083769487640495","37","Chemicals"
"Miscellaneous chemical products","304594747","0.30420239011866135","38","Chemicals"
"Plastics","2621671570","2.6182945226568317","39","Chemicals"
"Rubber","2319445843","2.316458100938272","40","Chemicals"
"Leather and skins","159503417","0.15929795625626308","41","Agriculture"
"Articles of leather","161358666","0.16115081545893759","42","Agriculture"
"Furskins","1515847","0.0015138943957369118","43","Agriculture"
"Wood","970612643","0.9693623701264651","44","Agriculture"
"Cork","506057","0.0005054051340428382","45","Agriculture"
"Manufactues of plaiting materials","2491656","0.002488446429292831","46","Agriculture"
"Pulp of wood","204165806","0.20390281440310895","47","Agriculture"
"Paper and paperboard","1258148420","1.2565277643741422","48","Agriculture"
"Products of the printing industry","228175698","0.22788177860005532","49","Agriculture"
"Silk","37699","0.000037650438879969964","50","Textiles"
"Wool","12498339","0.012482239545363137","51","Textiles"
"Cotton","6937440","0.006928503692497383","52","Textiles"
"Other vegetable textile fibres","2928924","0.002925151172340835","53","Textiles"
"Man-made filaments","131967830","0.1317978386041345","54","Textiles"
"Man-made staple fibres","105755675","0.10561944820280293","55","Textiles"
"Wadding, felt and nonwovens","56200495","0.05612810159477858","56","Textiles"
"Carpets","16780373","0.01675875773945193","57","Textiles"
"Special woven fabrics","35543072","0.035497287990195275","58","Textiles"
"Impregnated, coated or laminated textile fabrics","75781955","0.07568433817693133","59","Textiles"
"Knitted fabrics","63628442","0.063546480451702","60","Textiles"
"Apparel, knit","613459167","0.612668953353956","61","Textiles"
"Apparel, not knit","531112468","0.5304283274045466","62","Textiles"
"Other made up textile articles","170411726","0.17019221396305442","63","Textiles"
"Footwear","972759356","0.971506317886335","64","Textiles"
"Headgear","15808015","0.01578765226056788","65","Textiles"
"Umbrellas and walking-sticks","7785451","0.007775422346176319","66","Textiles"
"Feathers and down","7942807","0.007932575651579555","67","Textiles"
"Articles of stone, plaster, cement, etc.","197877408","0.19762251666173852","68","Stone"
"Ceramic products","88618462","0.08850431011878143","69","Stone"
"Glass and glassware","597014967","0.5962459355808055","70","Stone"
"Precious metals and stones","441332733","0.44076424015349486","71","Stone"
"Iron and steel","4282780440","4.277263672578871","72","Metals"
"Articles of iron or steel","2070671810","2.0680045206207534","73","Metals"
"Copper","530767217","0.5300835211318671","74","Metals"
"Nickel","16461157","0.016439952930371884","75","Metals"
"Aluminium","1332619716","1.3309031318470232","76","Metals"
"Lead","13836391","0.013818567963735548","78","Metals"
"Zinc","83699883","0.08359206687583588","79","Metals"
"Tin","5879939","0.005872364888656243","80","Metals"
"Other base metals","13970623","0.013952627055799959","81","Metals"
"Metal tools and tableware","188998551","0.18875509676194027","82","Metals"
"Miscellaneous articles of base metal","666587106","0.6657284567927282","83","Metals"
"Industrial Machinery","10576124613","10.562501215647696","84","Machinery"
"Electrical machinery and equipment","15367424323","15.347629120551614","85","Electronics"
"Trains","574381523","0.5736416463432866","86","Vehicles"
"Vehicles","26338720961","26.304793329231924","87","Vehicles"
"Aircraft","35032088","0.034986962202756815","88","Vehicles"
"Ships","9687035","0.00967455686346136","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1120638621","1.1191950955328873","90","Machinery"
"Clocks","35058522","0.03501336215239349","91","Machinery"
"Musical instruments","16219511","0.016198618201238774","92","Machinery"
