"Name","Gross Import","Share","Code","Sector"
"Live animals","115403068","0.11719016753183545","01","Agriculture"
"Meat","770700659","0.7826355131659585","02","Agriculture"
"Fish","88649977","0.09002278567085721","03","Agriculture"
"Diary products","472685244","0.48000511506493504","04","Agriculture"
"Animal products","32820835","0.03332908924210515","05","Agriculture"
"Plants","119224673","0.12107095283461874","06","Agriculture"
"Vegetables","266193381","0.27031557701096565","07","Agriculture"
"Fruits and nuts","383059575","0.3889915281015206","08","Agriculture"
"Coffee, tea and spices","241303740","0.24504050201385","09","Agriculture"
"Cereals","116216309","0.1180160021537864","10","Agriculture"
"Flours, starches and malts","52341586","0.053152133115056996","11","Agriculture"
"Oil seeds and oleaginous fruits","111317356","0.11304118534215199","12","Agriculture"
"Lac and other vegetable extracts","15252122","0.015488312081928302","13","Agriculture"
"Other vegetable materials","1540727","0.0015645862660325657","14","Agriculture"
"Animal or vegetable fats, oils or waxes","254445126","0.25838539183030196","15","Agriculture"
"Preparations of meat or fish","260534498","0.2645690621365686","16","Agriculture"
"Sugar and candy","125385511","0.1273271958433098","17","Agriculture"
"Cocoa","364883704","0.3705341906629091","18","Agriculture"
"Preparations of cereals, flour, starch or milk","391997159","0.39806751701968224","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","225389609","0.22887992924629083","20","Agriculture"
"Miscellaneous edible preparations","398532268","0.40470382688406814","21","Agriculture"
"Beverages","524857801","0.5329856016443234","22","Agriculture"
"Food residues and animal feed","272201909","0.27641715138973105","23","Agriculture"
"Tobacco","149213823","0.15152450639731382","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","198087180","0.2011547024911751","25","Minerals"
"Ores, slag and ash","525206576","0.5333397776761158","26","Minerals"
"Mineral fuels, oils and waxes","6503103047","6.6038082761778885","27","Minerals"
"Inorganic chemicals","469372911","0.47664148820545477","28","Chemicals"
"Organic chemicals","597269892","0.606519045968529","29","Chemicals"
"Pharmaceutical products","1870161664","1.899122462808148","30","Chemicals"
"Fertilisers","164625224","0.16717456402914643","31","Chemicals"
"Dyes, paints, inks, etc.","544019599","0.5524441338718304","32","Chemicals"
"Essential oils","545029066","0.5534692331945612","33","Chemicals"
"Soaps, waxes, and paints","410407656","0.4167631138106995","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","111179615","0.11290131132367268","35","Chemicals"
"Explosives","15511905","0.015752118008577697","36","Chemicals"
"Photographic or cinematographic goods","32154255","0.03265218677125081","37","Chemicals"
"Miscellaneous chemical products","827231022","0.8400412895063714","38","Chemicals"
"Plastics","3941429428","4.002465298255558","39","Chemicals"
"Rubber","1464125733","1.4867987733042018","40","Chemicals"
"Leather and skins","217419380","0.2207862755162436","41","Agriculture"
"Articles of leather","196605218","0.1996497912434445","42","Agriculture"
"Furskins","4477959","0.00454730341667078","43","Agriculture"
"Wood","731372494","0.7426983232372673","44","Agriculture"
"Cork","4543088","0.004613440986091213","45","Agriculture"
"Manufactues of plaiting materials","5772882","0.0058622792309257965","46","Agriculture"
"Pulp of wood","115697934","0.11748959974397943","47","Agriculture"
"Paper and paperboard","1003412064","1.0189506216907924","48","Agriculture"
"Products of the printing industry","175541466","0.17825985188993415","49","Agriculture"
"Silk","1348086","0.0013689620815568087","50","Textiles"
"Wool","32625395","0.03313062271310072","51","Textiles"
"Cotton","66422959","0.06745156630645416","52","Textiles"
"Other vegetable textile fibres","3315287","0.0033666266042954437","53","Textiles"
"Man-made filaments","125474855","0.12741792339942612","54","Textiles"
"Man-made staple fibres","169579971","0.17220603885101043","55","Textiles"
"Wadding, felt and nonwovens","171528070","0.17418430556553663","56","Textiles"
"Carpets","58298468","0.05920126171835699","57","Textiles"
"Special woven fabrics","46740544","0.04746435495015719","58","Textiles"
"Impregnated, coated or laminated textile fabrics","217146941","0.2205096176023292","59","Textiles"
"Knitted fabrics","58173524","0.059074382870629154","60","Textiles"
"Apparel, knit","1038045575","1.0541204575248422","61","Textiles"
"Apparel, not knit","778101714","0.7901511788271377","62","Textiles"
"Other made up textile articles","242329494","0.24608214055249306","63","Textiles"
"Footwear","1062770639","1.0792284069287121","64","Textiles"
"Headgear","38115551","0.03870579772851636","65","Textiles"
"Umbrellas and walking-sticks","9610307","0.009759129517790385","66","Textiles"
"Feathers and down","12261763","0.012451645221474194","67","Textiles"
"Articles of stone, plaster, cement, etc.","326353809","0.3314076325194633","68","Stone"
"Ceramic products","223427009","0.22688693697334728","69","Stone"
"Glass and glassware","621816989","0.63144627242537","70","Stone"
"Precious metals and stones","291398292","0.2959108041908445","71","Stone"
"Iron and steel","2930401753","2.975781132349569","72","Metals"
"Articles of iron or steel","2501234165","2.539967575495485","73","Metals"
"Copper","763343018","0.7751639338018024","74","Metals"
"Nickel","16596602","0.016853612321980866","75","Metals"
"Aluminium","1284400192","1.3042900530027646","76","Metals"
"Lead","4768358","0.004842199454106089","78","Metals"
"Zinc","213389057","0.21669354006507335","79","Metals"
"Tin","36721675","0.03729033655586708","80","Metals"
"Other base metals","25158261","0.02554785477106763","81","Metals"
"Metal tools and tableware","450719251","0.45769896286044487","82","Metals"
"Miscellaneous articles of base metal","710079131","0.7210752171922339","83","Metals"
"Industrial Machinery","11117721718","11.28988763717049","84","Machinery"
"Electrical machinery and equipment","13734782878","13.94747587201239","85","Electronics"
"Trains","322369785","0.3273619130416167","86","Vehicles"
"Vehicles","13523912196","13.733339705795974","87","Vehicles"
"Aircraft","94856327","0.09632524546561075","88","Vehicles"
"Ships","20557450","0.02087579690279405","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2660527408","2.7017275889628856","90","Machinery"
"Clocks","76960293","0.07815207850426598","91","Machinery"
"Musical instruments","27663381","0.028091768356513662","92","Machinery"
"Arms and ammunition","75283275","0.07644909067404725","93","Machinery"
"Furniture","2120604589","2.1534436766766816","94","Textiles"
"Toys","532151821","0.5403925747915239","95","Machinery"
"Miscellaneous manufactured articles","276989418","0.2812787984108499","96","Machinery"
"Art","3621950","0.0036780385014714818","97","Textiles"
"Other","2261186816","2.296202920600149","99","Other"
"Unspecified","3294687488","3.3457080940323194","unspecified","Services"
"Travel and tourism","2622534656","2.6631464918652292","travel","Services"
"Transport","2975836928","3.021919903721646","transport","Services"
"ICT","1377256960","1.3985847748587275","ict","Services"
"Insurance and finance","395933152","0.4020644617029391","financial","Services"
