"Name","Gross Export","Share","Code","Sector"
"Live animals","68246930","0.1500671792467694","01","Agriculture"
"Meat","137440268","0.3022154012448622","02","Agriculture"
"Fish","17452278","0.03837555961697398","03","Agriculture"
"Diary products","207165736","0.45553371614079796","04","Agriculture"
"Animal products","5123194","0.011265316583675977","05","Agriculture"
"Plants","15391733","0.03384465726193714","06","Agriculture"
"Vegetables","42581223","0.09363123036432057","07","Agriculture"
"Fruits and nuts","91840853","0.20194751250096082","08","Agriculture"
"Coffee, tea and spices","41544883","0.0913524374495243","09","Agriculture"
"Cereals","145190233","0.31925668627865333","10","Agriculture"
"Flours, starches and malts","25807645","0.05674805428100564","11","Agriculture"
"Oil seeds and oleaginous fruits","68738184","0.1511473905042383","12","Agriculture"
"Lac and other vegetable extracts","14325365","0.0314998362157887","13","Agriculture"
"Other vegetable materials","91487","0.00020116943029890419","14","Agriculture"
"Animal or vegetable fats, oils or waxes","40683733","0.08945886727122682","15","Agriculture"
"Preparations of meat or fish","119913980","0.2636771021180516","16","Agriculture"
"Sugar and candy","35290690","0.0776001836562051","17","Agriculture"
"Cocoa","24034915","0.05285002413274658","18","Agriculture"
"Preparations of cereals, flour, starch or milk","84456826","0.18571088319951115","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","35079207","0.0771351567712061","20","Agriculture"
"Miscellaneous edible preparations","238925292","0.5253693407329929","21","Agriculture"
"Beverages","137551839","0.30246073308990995","22","Agriculture"
"Food residues and animal feed","281273377","0.6184879273485729","23","Agriculture"
"Tobacco","2566576","0.005643606542337603","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","117876796","0.2591975679252806","25","Minerals"
"Ores, slag and ash","20247111","0.04452107714832355","26","Minerals"
"Mineral fuels, oils and waxes","1436985586","3.15976665191073","27","Minerals"
"Inorganic chemicals","260178075","0.5721017753780927","28","Chemicals"
"Organic chemicals","358440867","0.7881703959058147","29","Chemicals"
"Pharmaceutical products","3309457001","7.277116743251937","30","Chemicals"
"Fertilisers","15437911","0.03394619739280101","31","Chemicals"
"Dyes, paints, inks, etc.","402794646","0.8856992738123315","32","Chemicals"
"Essential oils","330355942","0.7264148638385545","33","Chemicals"
"Soaps, waxes, and paints","124966549","0.27478712241903325","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","26867515","0.05907858696970348","35","Chemicals"
"Explosives","2018498","0.004438445819837545","36","Chemicals"
"Photographic or cinematographic goods","7836037","0.01723054749954785","37","Chemicals"
"Miscellaneous chemical products","281125819","0.6181634642139633","38","Chemicals"
"Plastics","1532674885","3.3701764562056735","39","Chemicals"
"Rubber","663674720","1.459344664555453","40","Chemicals"
"Leather and skins","105601889","0.2322064539073105","41","Agriculture"
"Articles of leather","142836779","0.31408171059451595","42","Agriculture"
"Furskins","4605137","0.010126168600330153","43","Agriculture"
"Wood","872871042","1.9193434066430297","44","Agriculture"
"Cork","1256004","0.0027618088814054986","45","Agriculture"
"Manufactues of plaiting materials","321435","0.0007067987345538521","46","Agriculture"
"Pulp of wood","27510602","0.060492661596947044","47","Agriculture"
"Paper and paperboard","766936657","1.6864058321295492","48","Agriculture"
"Products of the printing industry","155637296","0.34222858077739915","49","Agriculture"
"Silk","1000391","0.002199745182880093","50","Textiles"
"Wool","3131693","0.006886234073486573","51","Textiles"
"Cotton","35085960","0.07715000584443844","52","Textiles"
"Other vegetable textile fibres","1153135","0.0025356117372711626","53","Textiles"
"Man-made filaments","247325237","0.5438398573112185","54","Textiles"
"Man-made staple fibres","61007956","0.1341495048719557","55","Textiles"
"Wadding, felt and nonwovens","144355401","0.3174209863668047","56","Textiles"
"Carpets","4867261","0.010702549241816593","57","Textiles"
"Special woven fabrics","9466646","0.020816069853218492","58","Textiles"
"Impregnated, coated or laminated textile fabrics","33198141","0.07299890817222877","59","Textiles"
"Knitted fabrics","27557823","0.0605964951653026","60","Textiles"
"Apparel, knit","165396613","0.3636882006249886","61","Textiles"
"Apparel, not knit","129568810","0.28490696702489926","62","Textiles"
"Other made up textile articles","56935464","0.1251945615954591","63","Textiles"
"Footwear","213705323","0.46991351863929637","64","Textiles"
"Headgear","5256386","0.011558190530360989","65","Textiles"
"Umbrellas and walking-sticks","1628284","0.0035804099450722055","66","Textiles"
"Feathers and down","2857981","0.006284372747768453","67","Textiles"
"Articles of stone, plaster, cement, etc.","289544917","0.6366760960446128","68","Stone"
"Ceramic products","31037214","0.06824727730109385","69","Stone"
"Glass and glassware","188488597","0.41446482753101244","70","Stone"
"Precious metals and stones","45212810","0.09941778864661205","71","Stone"
"Iron and steel","1312453328","2.885934485639061","72","Metals"
"Articles of iron or steel","806208191","1.7727594356113996","73","Metals"
"Copper","175021246","0.3848516657888483","74","Metals"
"Nickel","31465950","0.06919001863995763","75","Metals"
"Aluminium","1336856136","2.939593464325143","76","Metals"
"Lead","12583964","0.027670694948811518","78","Metals"
"Zinc","31222153","0.06865393697153936","79","Metals"
"Tin","1285285","0.002826194445349908","80","Metals"
"Other base metals","34152417","0.07509725175402636","81","Metals"
"Metal tools and tableware","311627063","0.6852322048972064","82","Metals"
"Miscellaneous articles of base metal","310908339","0.68365181317355","83","Metals"
"Industrial Machinery","3809817184","8.377351453739386","84","Machinery"
"Electrical machinery and equipment","4048388113","8.90194159083876","85","Electronics"
"Trains","99269165","0.21828151944317684","86","Vehicles"
"Vehicles","6187091941","13.604706253106027","87","Vehicles"
"Aircraft","94678353","0.2081868498764693","88","Vehicles"
"Ships","61379780","0.1349671032438715","89","Vehicles"
"Apparatuses (optical, medical, etc.)","832170061","1.8298466129961013","90","Machinery"
"Clocks","24345726","0.05353346190861237","91","Machinery"
"Musical instruments","6242227","0.013725941930399266","92","Machinery"
"Arms and ammunition","8238672","0.01811589573009863","93","Machinery"
"Furniture","953623155","2.0969080504464417","94","Textiles"
"Toys","274883814","0.6044380104361269","95","Machinery"
"Miscellaneous manufactured articles","40270253","0.08854967212831044","96","Machinery"
"Art","970519","0.0021340600776532425","97","Textiles"
"Other","745941888","1.6402407407068653","99","Other"
"Unspecified","559","0.000001229176949042896","unspecified","Services"
"Travel and tourism","4164434432","9.15711414957951","travel","Services"
"Transport","3606309632","7.929861665055044","transport","Services"
"ICT","1336140416","2.9380196780532843","ict","Services"
"Insurance and finance","272592416","0.5993994887855312","financial","Services"
