"Name","Gross Import","Share","Code","Sector"
"Live animals","45084420","0.09259499552219105","01","Agriculture"
"Meat","288335009","0.5921863665373962","02","Agriculture"
"Fish","81741862","0.16788254891302934","03","Agriculture"
"Diary products","198628524","0.4079459664859704","04","Agriculture"
"Animal products","12944405","0.026585395198883057","05","Agriculture"
"Plants","61180461","0.12565326364053445","06","Agriculture"
"Vegetables","152548245","0.313305662193128","07","Agriculture"
"Fruits and nuts","284283791","0.5838659198604861","08","Agriculture"
"Coffee, tea and spices","130790387","0.2686190772468767","09","Agriculture"
"Cereals","82301490","0.1690319205175458","10","Agriculture"
"Flours, starches and malts","42109195","0.08648443791598227","11","Agriculture"
"Oil seeds and oleaginous fruits","59171661","0.12152756285509732","12","Agriculture"
"Lac and other vegetable extracts","17002925","0.034920838822793995","13","Agriculture"
"Other vegetable materials","843020","0.0017314059518813262","14","Agriculture"
"Animal or vegetable fats, oils or waxes","102938425","0.2114163385474716","15","Agriculture"
"Preparations of meat or fish","105958457","0.2176189213802301","16","Agriculture"
"Sugar and candy","84416805","0.17337638325995267","17","Agriculture"
"Cocoa","113535059","0.23317984970676556","18","Agriculture"
"Preparations of cereals, flour, starch or milk","195029405","0.40055404688960367","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","123575831","0.253801723923609","20","Agriculture"
"Miscellaneous edible preparations","202568303","0.41603753822768125","21","Agriculture"
"Beverages","193198671","0.39679406047894733","22","Agriculture"
"Food residues and animal feed","486461461","0.9991011707151498","23","Agriculture"
"Tobacco","100822111","0.2070698240452655","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","158025962","0.32455587193491525","25","Minerals"
"Ores, slag and ash","153707819","0.3156872110594026","26","Minerals"
"Mineral fuels, oils and waxes","3509062319","7.20695995900345","27","Minerals"
"Inorganic chemicals","405857679","0.833556025998601","28","Chemicals"
"Organic chemicals","872904275","1.7927826826856466","29","Chemicals"
"Pharmaceutical products","1796689047","3.6900644227370503","30","Chemicals"
"Fertilisers","62241246","0.127831918313812","31","Chemicals"
"Dyes, paints, inks, etc.","215455157","0.4425047343993328","32","Chemicals"
"Essential oils","216334505","0.44431075129214076","33","Chemicals"
"Soaps, waxes, and paints","206229192","0.42355632189091214","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","65267451","0.13404717933800245","35","Chemicals"
"Explosives","8906906","0.018293124790927255","36","Chemicals"
"Photographic or cinematographic goods","43137548","0.08859648330616877","37","Chemicals"
"Miscellaneous chemical products","517900552","1.063671203785704","38","Chemicals"
"Plastics","1962619409","4.030854458993156","39","Chemicals"
"Rubber","589948002","1.211643237364827","40","Chemicals"
"Leather and skins","216463732","0.4445761594638849","41","Agriculture"
"Articles of leather","324553520","0.6665724374653449","42","Agriculture"
"Furskins","3547610","0.007286129710983976","43","Agriculture"
"Wood","630641954","1.295221029941958","44","Agriculture"
"Cork","3425930","0.007036221670575777","45","Agriculture"
"Manufactues of plaiting materials","4662115","0.009575115251542322","46","Agriculture"
"Pulp of wood","335507453","0.6890697741746865","47","Agriculture"
"Paper and paperboard","781148542","1.6043335091957724","48","Agriculture"
"Products of the printing industry","92949169","0.19090026859270628","49","Agriculture"
"Silk","3265454","0.0067066338772445305","50","Textiles"
"Wool","7430235","0.015260317789467563","51","Textiles"
"Cotton","72739917","0.1493942317301531","52","Textiles"
"Other vegetable textile fibres","36002533","0.07394249237147855","53","Textiles"
"Man-made filaments","227912093","0.4680889591301871","54","Textiles"
"Man-made staple fibres","164352507","0.3375494161780472","55","Textiles"
"Wadding, felt and nonwovens","83365440","0.1712170755109079","56","Textiles"
"Carpets","19218745","0.03947172010235757","57","Textiles"
"Special woven fabrics","30790871","0.06323871001045066","58","Textiles"
"Impregnated, coated or laminated textile fabrics","82115171","0.16864925601901837","59","Textiles"
"Knitted fabrics","177017748","0.36356146055352034","60","Textiles"
"Apparel, knit","985194046","2.0234049429461285","61","Textiles"
"Apparel, not knit","673263848","1.3827584560434207","62","Textiles"
"Other made up textile articles","173886700","0.35713087154872075","63","Textiles"
"Footwear","576754564","1.1845463748005018","64","Textiles"
"Headgear","24256997","0.04981935064478597","65","Textiles"
"Umbrellas and walking-sticks","26806701","0.055055967428653055","66","Textiles"
"Feathers and down","12262360","0.025184601893325782","67","Textiles"
"Articles of stone, plaster, cement, etc.","184522404","0.3789746252058677","68","Stone"
"Ceramic products","125101792","0.2569357633980447","69","Stone"
"Glass and glassware","212745049","0.43693867769671463","70","Stone"
"Precious metals and stones","147665637","0.30327769541665367","71","Stone"
"Iron and steel","2199514234","4.517392275385276","72","Metals"
"Articles of iron or steel","892186705","1.8323851999079366","73","Metals"
"Copper","248179246","0.5097139138547363","74","Metals"
"Nickel","63761668","0.13095458171464625","75","Metals"
"Aluminium","1036498471","2.128774669409141","76","Metals"
"Lead","87615288","0.17994547118573287","78","Metals"
"Zinc","78254172","0.16071948371372569","79","Metals"
"Tin","5067709","0.01040812973002131","80","Metals"
"Other base metals","74312287","0.15262358664054626","81","Metals"
"Metal tools and tableware","291180701","0.5980308875048953","82","Metals"
"Miscellaneous articles of base metal","189156550","0.38849229734447305","83","Metals"
"Industrial Machinery","3820404148","7.846398045644595","84","Machinery"
"Electrical machinery and equipment","4339942713","8.91343342282768","85","Electronics"
"Trains","70977193","0.1457739251833048","86","Vehicles"
"Vehicles","5687059015","11.680159221929909","87","Vehicles"
"Aircraft","84148994","0.17282634938248914","88","Vehicles"
"Ships","54461513","0.11185379677429032","89","Vehicles"
"Apparatuses (optical, medical, etc.)","846176632","1.7378890856535962","90","Machinery"
"Clocks","48606460","0.09982860921909516","91","Machinery"
"Musical instruments","11533632","0.023687930406881122","92","Machinery"
"Arms and ammunition","12032209","0.024711914636521146","93","Machinery"
"Furniture","699118502","1.4358590963834272","94","Textiles"
"Toys","264139824","0.542493966219646","95","Machinery"
"Miscellaneous manufactured articles","112965976","0.2320110592945399","96","Machinery"
"Art","1128570","0.00231787242902269","97","Textiles"
"Other","855852864","1.7577622626560214","99","Other"
"Unspecified","2339803904","4.805521109369603","unspecified","Services"
"Travel and tourism","1634041088","3.3560158304451115","travel","Services"
