"Name","Gross Export","Share","Code","Sector"
"Live animals","66134242","0.05374629538964047","01","Agriculture"
"Meat","231002619","0.1877323247547704","02","Agriculture"
"Fish","468464044","0.38071362318251917","03","Agriculture"
"Diary products","242872449","0.1973787555614441","04","Agriculture"
"Animal products","25725383","0.02090662857721474","05","Agriculture"
"Plants","80627258","0.06552454967163233","06","Agriculture"
"Vegetables","211151468","0.17159959542719516","07","Agriculture"
"Fruits and nuts","3537077826","2.874529500955698","08","Agriculture"
"Coffee, tea and spices","139824881","0.11363356001036994","09","Agriculture"
"Cereals","520361780","0.42289012607658094","10","Agriculture"
"Flours, starches and malts","158230804","0.1285917744626801","11","Agriculture"
"Oil seeds and oleaginous fruits","215220159","0.17490615889147698","12","Agriculture"
"Lac and other vegetable extracts","18563110","0.015085957943093822","13","Agriculture"
"Other vegetable materials","16533075","0.013436179288923886","14","Agriculture"
"Animal or vegetable fats, oils or waxes","351847688","0.28594127942692776","15","Agriculture"
"Preparations of meat or fish","107409659","0.08729020074524413","16","Agriculture"
"Sugar and candy","453169637","0.3682840905898362","17","Agriculture"
"Cocoa","75198243","0.06111247152511348","18","Agriculture"
"Preparations of cereals, flour, starch or milk","261328077","0.21237736451335923","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","584542493","0.47504881807785515","20","Agriculture"
"Miscellaneous edible preparations","434235712","0.3528967769205376","21","Agriculture"
"Beverages","1307396270","1.0625011188414946","22","Agriculture"
"Food residues and animal feed","285151304","0.2317381397601135","23","Agriculture"
"Tobacco","215938642","0.17549005912806598","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","622041692","0.5055238483402253","25","Minerals"
"Ores, slag and ash","12602088472","10.241526160419212","26","Minerals"
"Mineral fuels, oils and waxes","9805924561","7.969126160454619","27","Minerals"
"Inorganic chemicals","1348425141","1.095844660002357","28","Chemicals"
"Organic chemicals","1138102371","0.9249185348705773","29","Chemicals"
"Pharmaceutical products","424294547","0.34481774290655204","30","Chemicals"
"Fertilisers","346343571","0.2814681670241101","31","Chemicals"
"Dyes, paints, inks, etc.","281704954","0.22893734338724384","32","Chemicals"
"Essential oils","564458966","0.4587272402996171","33","Chemicals"
"Soaps, waxes, and paints","447386877","0.36358452924720525","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","68578893","0.055733026178368346","35","Chemicals"
"Explosives","125356693","0.10187548306740216","36","Chemicals"
"Photographic or cinematographic goods","11835596","0.009618609354114125","37","Chemicals"
"Miscellaneous chemical products","874799593","0.7109363608055758","38","Chemicals"
"Plastics","1414491925","1.1495361332985592","39","Chemicals"
"Rubber","477447952","0.3880147089516939","40","Chemicals"
"Leather and skins","210737003","0.17126276600804693","41","Agriculture"
"Articles of leather","63960671","0.05197986720533686","42","Agriculture"
"Furskins","1833845","0.0014903380168599383","43","Agriculture"
"Wood","556035421","0.45188155304129896","44","Agriculture"
"Cork","674257","0.0005479584371819491","45","Agriculture"
"Manufactues of plaiting materials","3232868","0.002627302789434197","46","Agriculture"
"Pulp of wood","751665683","0.6108672997684597","47","Agriculture"
"Paper and paperboard","769708163","0.6255301496071511","48","Agriculture"
"Products of the printing industry","128660400","0.1045603556376937","49","Agriculture"
