"Name","Gross Import","Share","Code","Sector"
"Live animals","176535902","0.16753732723921957","01","Agriculture"
"Meat","622363588","0.5906398127703838","02","Agriculture"
"Fish","314980931","0.29892538975477656","03","Agriculture"
"Diary products","166922566","0.15841401237212488","04","Agriculture"
"Animal products","114078816","0.10826386990253527","05","Agriculture"
"Plants","20316141","0.01928056516773073","06","Agriculture"
"Vegetables","87632583","0.08316568226948573","07","Agriculture"
"Fruits and nuts","153472427","0.14564946808664586","08","Agriculture"
"Coffee, tea and spices","177482747","0.16843590865417626","09","Agriculture"
"Cereals","737939250","0.700324229855037","10","Agriculture"
"Flours, starches and malts","97649497","0.09267200353180392","11","Agriculture"
"Oil seeds and oleaginous fruits","99329584","0.09426645135981206","12","Agriculture"
"Lac and other vegetable extracts","27689806","0.02627837191447044","13","Agriculture"
"Other vegetable materials","4144303","0.003933055203068435","14","Agriculture"
"Animal or vegetable fats, oils or waxes","614203947","0.58289609362383","15","Agriculture"
"Preparations of meat or fish","156727703","0.1487388127144937","16","Agriculture"
"Sugar and candy","438210737","0.41587379571385197","17","Agriculture"
"Cocoa","162404223","0.15412598313164758","18","Agriculture"
"Preparations of cereals, flour, starch or milk","162515485","0.15423157376727528","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","240135565","0.22789512093228426","20","Agriculture"
"Miscellaneous edible preparations","290606869","0.2757937482292866","21","Agriculture"
"Beverages","587947470","0.5579779895471983","22","Agriculture"
"Food residues and animal feed","348171487","0.33042412162079465","23","Agriculture"
"Tobacco","229765416","0.2180535701380868","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","285065588","0.27053492326675027","25","Minerals"
"Ores, slag and ash","107148921","0.10168721284187442","26","Minerals"
"Mineral fuels, oils and waxes","15059709861","14.292070397726004","27","Minerals"
"Inorganic chemicals","1598522719","1.5170411278292277","28","Chemicals"
"Organic chemicals","1451649839","1.3776548076509865","29","Chemicals"
"Pharmaceutical products","2229195414","2.1155665070070877","30","Chemicals"
"Fertilisers","497336848","0.4719860680322012","31","Chemicals"
"Dyes, paints, inks, etc.","504712252","0.47898552513679316","32","Chemicals"
"Essential oils","1041004690","0.9879414976229159","33","Chemicals"
"Soaps, waxes, and paints","306720298","0.29108582647929","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","196561799","0.18654244303117845","35","Chemicals"
"Explosives","53482770","0.05075658966610608","36","Chemicals"
"Photographic or cinematographic goods","58516870","0.05553408619514046","37","Chemicals"
"Miscellaneous chemical products","1512969858","1.4358491577697412","38","Chemicals"
"Plastics","2775546734","2.634068629518233","39","Chemicals"
"Rubber","1284908849","1.2194131157948935","40","Chemicals"
"Leather and skins","50872828","0.04827968439088686","41","Agriculture"
"Articles of leather","361199980","0.34278851249226105","42","Agriculture"
"Furskins","807950","0.0007667663178390051","43","Agriculture"
"Wood","369516920","0.35068151262777425","44","Agriculture"
"Cork","12616407","0.011973310155019802","45","Agriculture"
"Manufactues of plaiting materials","7238390","0.006869427127152269","46","Agriculture"
"Pulp of wood","134524245","0.1276671328655513","47","Agriculture"
"Paper and paperboard","1150119056","1.0914939707229316","48","Agriculture"
"Products of the printing industry","448334675","0.42548168563561733","49","Agriculture"
"Silk","2243591","0.002129228305967858","50","Textiles"
"Wool","34575026","0.03281263119649466","51","Textiles"
"Cotton","217867427","0.20676205802072928","52","Textiles"
"Other vegetable textile fibres","12570103","0.011929366411494563","53","Textiles"
"Man-made filaments","305902189","0.2903094189967466","54","Textiles"
"Man-made staple fibres","250078073","0.23733082889595136","55","Textiles"
"Wadding, felt and nonwovens","138428700","0.13137256585462007","56","Textiles"
"Carpets","62499552","0.0593137587148059","57","Textiles"
"Special woven fabrics","51610385","0.048979645855193286","58","Textiles"
"Impregnated, coated or laminated textile fabrics","173945198","0.16507867934431175","59","Textiles"
"Knitted fabrics","254191728","0.2412347983212995","60","Textiles"
"Apparel, knit","1107963117","1.0514868488440088","61","Textiles"
"Apparel, not knit","1184696744","1.124309128229146","62","Textiles"
