"Name","Gross Export","Share","Code","Sector"
"Live animals","2505075","0.0003524252267415334","01","Agriculture"
"Meat","40257420","0.005663595050658819","02","Agriculture"
"Fish","1269307442","0.1785718842955064","03","Agriculture"
"Diary products","59549066","0.008377630644709852","04","Agriculture"
"Animal products","89517491","0.012593723566363551","05","Agriculture"
"Plants","20725047","0.0029156928986972187","06","Agriculture"
"Vegetables","195658166","0.027526071481445695","07","Agriculture"
"Fruits and nuts","196244365","0.027608540595340753","08","Agriculture"
"Coffee, tea and spices","28509932","0.004010905561504425","09","Agriculture"
"Cereals","51167520","0.007198477026756461","10","Agriculture"
"Flours, starches and malts","43882639","0.00617360717726689","11","Agriculture"
"Oil seeds and oleaginous fruits","133200714","0.018739276003147266","12","Agriculture"
"Lac and other vegetable extracts","97839680","0.013764526574381632","13","Agriculture"
"Other vegetable materials","660678","0.0000929471548568976","14","Agriculture"
"Animal or vegetable fats, oils or waxes","111136729","0.01563521527983687","15","Agriculture"
"Preparations of meat or fish","386411843","0.054362157374485305","16","Agriculture"
"Sugar and candy","325885449","0.045847031827626485","17","Agriculture"
"Cocoa","62932551","0.008853634544114692","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1041630736","0.1465413004863129","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","616991638","0.08680116081146476","20","Agriculture"
"Miscellaneous edible preparations","1230846671","0.17316104991317086","21","Agriculture"
"Beverages","902218639","0.12692817916430152","22","Agriculture"
"Food residues and animal feed","188928244","0.026579275762034962","23","Agriculture"
"Tobacco","1187953680","0.16712667087110722","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","453755347","0.06383634464104194","25","Minerals"
"Ores, slag and ash","531582540","0.0747854244648724","26","Minerals"
"Mineral fuels, oils and waxes","47150733304","6.6333773941665495","27","Minerals"
"Inorganic chemicals","5456060520","0.767583152550933","28","Chemicals"
"Organic chemicals","25500322287","3.5875001203469563","29","Chemicals"
"Pharmaceutical products","5388402198","0.7580646752710904","30","Chemicals"
"Fertilisers","373218181","0.052506013617551424","31","Chemicals"
"Dyes, paints, inks, etc.","2344583982","0.32984662793366154","32","Chemicals"
"Essential oils","6228998991","0.8763236157703691","33","Chemicals"
"Soaps, waxes, and paints","1110899324","0.1562863172350992","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","632459051","0.08897718609359401","35","Chemicals"
"Explosives","35324266","0.0049695767410270104","36","Chemicals"
"Photographic or cinematographic goods","960301204","0.13509949584737682","37","Chemicals"
"Miscellaneous chemical products","4649491402","0.6541113785346386","38","Chemicals"
"Plastics","34084926095","4.7952208247253205","39","Chemicals"
"Rubber","7958239984","1.1196010222547177","40","Chemicals"
"Leather and skins","578071245","0.08132566473733739","41","Agriculture"
"Articles of leather","351845734","0.04949924157280371","42","Agriculture"
"Furskins","26470996","0.003724058867448768","43","Agriculture"
"Wood","89038200","0.012526294751118426","44","Agriculture"
"Cork","854543","0.00012022095567413756","45","Agriculture"
"Manufactues of plaiting materials","2329266","0.00032769162527722503","46","Agriculture"
"Pulp of wood","171567039","0.024136823297086316","47","Agriculture"
"Paper and paperboard","3417277452","0.4807579736574072","48","Agriculture"
"Products of the printing industry","264446123","0.037203470897755324","49","Agriculture"
"Silk","44676560","0.00628529955711175","50","Textiles"
"Wool","72154273","0.010150987903514066","51","Textiles"
"Cotton","480509014","0.0676001709371179","52","Textiles"
"Other vegetable textile fibres","17432583","0.002452494243272397","53","Textiles"
"Man-made filaments","2923576553","0.41130190895971397","54","Textiles"
"Man-made staple fibres","2074193036","0.2918068125776711","55","Textiles"
"Wadding, felt and nonwovens","767330694","0.10795153590957882","56","Textiles"
"Carpets","52923508","0.007445517322578108","57","Textiles"
"Special woven fabrics","361726121","0.050889258889159135","58","Textiles"
"Impregnated, coated or laminated textile fabrics","1319899219","0.18568936320551194","59","Textiles"
"Knitted fabrics","3018984608","0.42472434358396427","60","Textiles"
"Apparel, knit","849238131","0.11947464282515734","61","Textiles"
"Apparel, not knit","1010255148","0.14212724153995443","62","Textiles"
"Other made up textile articles","546435943","0.07687506805644485","63","Textiles"
"Footwear","488327636","0.06870012987294072","64","Textiles"
"Headgear","144632489","0.020347549566387166","65","Textiles"
"Umbrellas and walking-sticks","3273453","0.0004605241023732832","66","Textiles"
"Feathers and down","58840450","0.008277939356236382","67","Textiles"
"Articles of stone, plaster, cement, etc.","856394389","0.12048141741205429","68","Stone"
"Ceramic products","376649563","0.052988755882508294","69","Stone"
"Glass and glassware","2057082107","0.28939957006693456","70","Stone"
"Precious metals and stones","2506830211","0.3526721577254976","71","Stone"
"Iron and steel","24777634053","3.4858290866529993","72","Metals"
"Articles of iron or steel","10578283972","1.4882006037218158","73","Metals"
"Copper","4941260188","0.6951587246468915","74","Metals"
"Nickel","146013163","0.020541788999340727","75","Metals"
"Aluminium","3648322254","0.5132623963722172","76","Metals"
"Lead","885852792","0.12462575814305775","78","Metals"
"Zinc","1865384562","0.26243069657515483","79","Metals"
"Tin","53988637","0.00759536446461337","80","Metals"
