"Name","Gross Import","Share","Code","Sector"
"Live animals","53792544","0.008637881984919842","01","Agriculture"
"Meat","4861394411","0.7806314422379226","02","Agriculture"
"Fish","4555258400","0.7314728314395167","03","Agriculture"
"Diary products","877880655","0.14096804000818647","04","Agriculture"
"Animal products","263769342","0.042355469327421305","05","Agriculture"
"Plants","123633317","0.019852751371085633","06","Agriculture"
"Vegetables","753660130","0.12102099613804","07","Agriculture"
"Fruits and nuts","1649303307","0.26484130074242296","08","Agriculture"
"Coffee, tea and spices","662228124","0.10633905662106005","09","Agriculture"
"Cereals","3038357134","0.487892343435761","10","Agriculture"
"Flours, starches and malts","255728371","0.04106426884911407","11","Agriculture"
"Oil seeds and oleaginous fruits","1394617634","0.2239444659204096","12","Agriculture"
"Lac and other vegetable extracts","237142993","0.03807987194442175","13","Agriculture"
"Other vegetable materials","49505665","0.00794950489523189","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1513016748","0.24295672111047964","15","Agriculture"
"Preparations of meat or fish","1853714110","0.29766511351388625","16","Agriculture"
"Sugar and candy","845802208","0.13581695737031185","17","Agriculture"
"Cocoa","329274736","0.05287417360635774","18","Agriculture"
"Preparations of cereals, flour, starch or milk","658268105","0.1057031659522707","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1474970440","0.23684733319110718","20","Agriculture"
"Miscellaneous edible preparations","1349074442","0.21663124575159687","21","Agriculture"
"Beverages","1433554705","0.23019689049687964","22","Agriculture"
"Food residues and animal feed","2041094868","0.3277542811473937","23","Agriculture"
"Tobacco","524246344","0.08418226233170327","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","771911181","0.12395170758828769","25","Minerals"
"Ores, slag and ash","12742522231","2.0461646733345704","26","Minerals"
"Mineral fuels, oils and waxes","122029707158","19.59524742100192","27","Minerals"
"Inorganic chemicals","8772682231","1.4086969711375115","28","Chemicals"
"Organic chemicals","13743330008","2.206872065558221","29","Chemicals"
"Pharmaceutical products","5490370216","0.881630918577245","30","Chemicals"
"Fertilisers","638359568","0.10250629924341212","31","Chemicals"
"Dyes, paints, inks, etc.","2292044862","0.3680512492976329","32","Chemicals"
"Essential oils","2567806572","0.4123324252713829","33","Chemicals"
"Soaps, waxes, and paints","1020550568","0.16387764382414993","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","518746118","0.08329904879418425","35","Chemicals"
"Explosives","45059991","0.0072356288726473","36","Chemicals"
"Photographic or cinematographic goods","954157434","0.1532163883144464","37","Chemicals"
"Miscellaneous chemical products","7535688523","1.210063389766227","38","Chemicals"
"Plastics","10922746477","1.7539493023331445","39","Chemicals"
"Rubber","2454599246","0.3941538553599776","40","Chemicals"
"Leather and skins","445206920","0.07149029489718221","41","Agriculture"
"Articles of leather","2304732507","0.37008860191245924","42","Agriculture"
"Furskins","313989095","0.05041964081791307","43","Agriculture"
"Wood","3243819031","0.5208849384445369","44","Agriculture"
"Cork","4682315","0.0007518752856570597","45","Agriculture"
"Manufactues of plaiting materials","49914940","0.008015225325732034","46","Agriculture"
"Pulp of wood","1840204853","0.29549582834919963","47","Agriculture"
"Paper and paperboard","2225063012","0.3572954591377252","48","Agriculture"
"Products of the printing industry","209835809","0.03369494765579745","49","Agriculture"
"Silk","64536398","0.010363105148100394","50","Textiles"
"Wool","367748382","0.05905218247088705","51","Textiles"
"Cotton","1199250084","0.19257279774678826","52","Textiles"
"Other vegetable textile fibres","328834624","0.052803501441900394","53","Textiles"
"Man-made filaments","1082835635","0.173879235460508","54","Textiles"
"Man-made staple fibres","774792005","0.12441430362634318","55","Textiles"
"Wadding, felt and nonwovens","697876816","0.11206344092258623","56","Textiles"
"Carpets","100080552","0.016070702979982386","57","Textiles"
"Special woven fabrics","79548898","0.012773777588106376","58","Textiles"
"Impregnated, coated or laminated textile fabrics","429429917","0.06895686033811532","59","Textiles"
"Knitted fabrics","163262188","0.026216263587455477","60","Textiles"
"Apparel, knit","4149763044","0.6663593274089012","61","Textiles"
"Apparel, not knit","6238924386","1.0018320114978478","62","Textiles"
"Other made up textile articles","937122284","0.15048092342742772","63","Textiles"
"Footwear","2645433420","0.42479756452721196","64","Textiles"
"Headgear","248833774","0.03995715044959048","65","Textiles"
"Umbrellas and walking-sticks","129342605","0.02076953559980549","66","Textiles"
"Feathers and down","111765884","0.017947106497365896","67","Textiles"
"Articles of stone, plaster, cement, etc.","2019333864","0.3242599495830533","68","Stone"
"Ceramic products","1687960400","0.2710487671008475","69","Stone"
"Glass and glassware","1998228640","0.32087092165053355","70","Stone"
"Precious metals and stones","2896701600","0.4651456262475425","71","Stone"
"Iron and steel","15552824999","2.497436575475461","72","Metals"
"Articles of iron or steel","4925682045","0.7909546014397205","73","Metals"
"Copper","5390079421","0.8655264552638202","74","Metals"
"Nickel","882711510","0.14174376750261877","75","Metals"
"Aluminium","5731126558","0.9202910137256916","76","Metals"
