"Name","Gross Export","Share","Code","Sector"
"Live animals","830800056","0.17359952304350185","01","Agriculture"
"Meat","6425307006","1.3425976847185852","02","Agriculture"
"Fish","3192935384","0.6671786499868995","03","Agriculture"
"Diary products","1626703555","0.33990724873178013","04","Agriculture"
"Animal products","377394168","0.07885826089087217","05","Agriculture"
"Plants","498746932","0.10421548348404282","06","Agriculture"
"Vegetables","6884890088","1.4386297001931514","07","Agriculture"
"Fruits and nuts","9592255914","2.0043463400797","08","Agriculture"
"Coffee, tea and spices","583017229","0.1218241526942604","09","Agriculture"
"Cereals","476471176","0.09956086100405417","10","Agriculture"
"Flours, starches and malts","294110551","0.06145576304061001","11","Agriculture"
"Oil seeds and oleaginous fruits","756244405","0.15802077414919777","12","Agriculture"
"Lac and other vegetable extracts","436549243","0.09121898803748009","13","Agriculture"
"Other vegetable materials","12732176","0.002660447197786324","14","Agriculture"
"Animal or vegetable fats, oils or waxes","5072719511","1.0599682574444433","15","Agriculture"
"Preparations of meat or fish","2306631329","0.4819813090522935","16","Agriculture"
"Sugar and candy","682174330","0.14254348861107977","17","Agriculture"
"Cocoa","710558644","0.148474522602629","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1924041943","0.4020374832768338","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","3363212392","0.7027588201621342","20","Agriculture"
"Miscellaneous edible preparations","1816555884","0.37957777297533896","21","Agriculture"
"Beverages","5000916092","1.0449646001850694","22","Agriculture"
"Food residues and animal feed","1205012924","0.2517930365518121","23","Agriculture"
"Tobacco","277303122","0.05794377283681117","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1489713116","0.3112824614557428","25","Minerals"
"Ores, slag and ash","3112235957","0.6503161306166745","26","Minerals"
"Mineral fuels, oils and waxes","22262897275","4.651935589790664","27","Minerals"
"Inorganic chemicals","1627913545","0.3401600817514344","28","Chemicals"
"Organic chemicals","6236906325","1.3032304890540354","29","Chemicals"
"Pharmaceutical products","11738894240","2.4528963694751016","30","Chemicals"
"Fertilisers","1017511502","0.21261374522400991","31","Chemicals"
"Dyes, paints, inks, etc.","3179772463","0.6644281966245571","32","Chemicals"
"Essential oils","5058715976","1.0570421538899644","33","Chemicals"
"Soaps, waxes, and paints","1504312624","0.3143330963313256","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","263066536","0.054968972195526926","35","Chemicals"
"Explosives","113167482","0.02364686997473443","36","Chemicals"
"Photographic or cinematographic goods","103390494","0.021603923008921944","37","Chemicals"
"Miscellaneous chemical products","5095182907","1.0646620881722753","38","Chemicals"
"Plastics","12785493507","2.671588138038101","39","Chemicals"
"Rubber","4339153393","0.9066862164936984","40","Chemicals"
"Leather and skins","728103554","0.1521406128801207","41","Agriculture"
"Articles of leather","1501057094","0.31365283824615553","42","Agriculture"
"Furskins","103465042","0.02161950015910433","43","Agriculture"
"Wood","1800081889","0.3761354553515411","44","Agriculture"
"Cork","353644480","0.07389565348677254","45","Agriculture"
"Manufactues of plaiting materials","23203120","0.00484839948677271","46","Agriculture"
"Pulp of wood","813878796","0.1700637473245663","47","Agriculture"
"Paper and paperboard","4460718157","0.932087737469638","48","Agriculture"
"Products of the printing industry","885873104","0.185107291725395","49","Agriculture"
"Silk","4855543","0.0010145882187051923","50","Textiles"
"Wool","136954011","0.02861717547656798","51","Textiles"
"Cotton","635934208","0.13288140076370805","52","Textiles"
"Other vegetable textile fibres","59039863","0.012336653065119307","53","Textiles"
"Man-made filaments","794007804","0.16591161143014932","54","Textiles"
"Man-made staple fibres","840817632","0.17569274198720883","55","Textiles"
"Wadding, felt and nonwovens","568920563","0.1188785889856037","56","Textiles"
"Carpets","130433563","0.027254697640107704","57","Textiles"
"Special woven fabrics","208854386","0.043641092141601195","58","Textiles"
"Impregnated, coated or laminated textile fabrics","404396466","0.08450051623260568","59","Textiles"
"Knitted fabrics","410189360","0.0857109682880417","60","Textiles"
"Apparel, knit","5428750084","1.1343624961247845","61","Textiles"
"Apparel, not knit","8401301954","1.7554909892288695","62","Textiles"
"Other made up textile articles","832075428","0.17386601793514764","63","Textiles"
"Footwear","3205219702","0.669745515179449","64","Textiles"
"Headgear","135170862","0.028244578226868836","65","Textiles"
"Umbrellas and walking-sticks","32485648","0.006788026743415493","66","Textiles"
"Feathers and down","16554805","0.0034592032479090003","67","Textiles"
"Articles of stone, plaster, cement, etc.","2107319177","0.440334110939955","68","Stone"
"Ceramic products","3892937295","0.8134472942912996","69","Stone"
"Glass and glassware","1494644189","0.31231283201808263","70","Stone"
"Precious metals and stones","1994587702","0.41677834664906954","71","Stone"
"Iron and steel","8477869634","1.7714901609098923","72","Metals"
"Articles of iron or steel","8288307940","1.7318803661968811","73","Metals"
"Copper","3412403286","0.7130374854978084","74","Metals"
"Nickel","53896808","0.011261987881193878","75","Metals"
"Aluminium","4202978588","0.878231859722998","76","Metals"
"Lead","41591185","0.00869067091013057","78","Metals"
"Zinc","1382113810","0.28879908766861845","79","Metals"
"Tin","86468556","0.0180680056187434","80","Metals"
"Other base metals","65913600","0.013772952275872455","81","Metals"
"Metal tools and tableware","1080518115","0.22577926909030407","82","Metals"
"Miscellaneous articles of base metal","1514495944","0.3164609482521726","83","Metals"
"Industrial Machinery","24086076431","5.032897326153925","84","Machinery"
"Electrical machinery and equipment","18713404102","3.9102525368962073","85","Electronics"
"Trains","1854715397","0.3875513801128574","86","Vehicles"
"Vehicles","55185860182","11.53134131028583","87","Vehicles"
"Aircraft","6139370614","1.2828499500939985","88","Vehicles"
"Ships","1577169367","0.32955685052339684","89","Vehicles"
"Apparatuses (optical, medical, etc.)","3372682107","0.7047375610101703","90","Machinery"
"Clocks","425431304","0.08889584314396705","91","Machinery"
"Musical instruments","42333216","0.008845721727415894","92","Machinery"
"Arms and ammunition","575058695","0.12016118012156056","93","Machinery"
"Furniture","3687851640","0.7705936959628661","94","Textiles"
"Toys","2000302652","0.41797251194438034","95","Machinery"
"Miscellaneous manufactured articles","491192997","0.10263705374799377","96","Machinery"
"Art","123658187","0.025838951416276942","97","Textiles"
"Other","4905665024","1.0250614479708087","99","Other"
"Unspecified","47340294144","9.891973916931805","unspecified","Services"
"Travel and tourism","73554903040","15.369637968891789","travel","Services"
"Transport","19142559744","3.999926597730199","transport","Services"
"ICT","4000611328","0.8359462826314862","ict","Services"
"Insurance and finance","6065991168","1.2675169746869814","financial","Services"
