"Name","Gross Import","Share","Code","Sector"
"Live animals","688787062","0.15305277711347093","01","Agriculture"
"Meat","1555262314","0.3455889772471119","02","Agriculture"
"Fish","5754597804","1.2787074898240194","03","Agriculture"
"Diary products","2188773886","0.4863591960525874","04","Agriculture"
"Animal products","267016313","0.05933268856790721","05","Agriculture"
"Plants","290532761","0.06455818984807575","06","Agriculture"
"Vegetables","1507543747","0.3349856143180544","07","Agriculture"
"Fruits and nuts","3248305351","0.7217936896774899","08","Agriculture"
"Coffee, tea and spices","1243629164","0.27634214948349917","09","Agriculture"
"Cereals","3178990555","0.7063915100952408","10","Agriculture"
"Flours, starches and malts","228415579","0.050755364946055585","11","Agriculture"
"Oil seeds and oleaginous fruits","2230222134","0.4955692550285324","12","Agriculture"
"Lac and other vegetable extracts","184242728","0.040939882206094416","13","Agriculture"
"Other vegetable materials","31627954","0.007027928457397638","14","Agriculture"
"Animal or vegetable fats, oils or waxes","3108174340","0.6906557058556213","15","Agriculture"
"Preparations of meat or fish","2224869568","0.4943798815106785","16","Agriculture"
"Sugar and candy","777749696","0.1728208287279905","17","Agriculture"
"Cocoa","1070369613","0.2378427976446531","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1603665493","0.35634446522849106","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1389779310","0.3088176226085144","20","Agriculture"
"Miscellaneous edible preparations","1455226336","0.3233603595960996","21","Agriculture"
"Beverages","2251398448","0.5002747639521696","22","Agriculture"
"Food residues and animal feed","1989073269","0.4419844745902327","23","Agriculture"
"Tobacco","1534634640","0.34100537955013405","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","773396086","0.17185342945798363","25","Minerals"
"Ores, slag and ash","4896709765","1.0880794219272105","26","Minerals"
"Mineral fuels, oils and waxes","49503364787","10.999956118675696","27","Minerals"
"Inorganic chemicals","2556880755","0.5681548360743429","28","Chemicals"
"Organic chemicals","10305849604","2.290023999327044","29","Chemicals"
"Pharmaceutical products","14227469944","3.161432475088562","30","Chemicals"
"Fertilisers","1086861487","0.2415073948108314","31","Chemicals"
"Dyes, paints, inks, etc.","2081969133","0.46262651441930736","32","Chemicals"
"Essential oils","3886970296","0.8637090200750172","33","Chemicals"
"Soaps, waxes, and paints","1319466624","0.29319370565026087","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","591080784","0.13134183331917412","35","Chemicals"
"Explosives","46653371","0.010366669740459017","36","Chemicals"
"Photographic or cinematographic goods","209530465","0.04655897493923445","37","Chemicals"
"Miscellaneous chemical products","5009190326","1.1130733034649145","38","Chemicals"
"Plastics","13136210268","2.9189477752761452","39","Chemicals"
"Rubber","4318260566","0.9595444055043658","40","Chemicals"
"Leather and skins","656194358","0.14581047519456913","41","Agriculture"
"Articles of leather","1928608952","0.428548926590466","42","Agriculture"
