"Name","Gross Export","Share","Code","Sector"
"Live animals","37971","0.00020542485131518217","01","Agriculture"
"Meat","1865623","0.010093105985757134","02","Agriculture"
"Fish","212020116","1.1470385506077712","03","Agriculture"
"Diary products","6817785","0.036884529507357704","04","Agriculture"
"Animal products","1013833","0.005484883023450135","05","Agriculture"
"Plants","14570960","0.07882956181084162","06","Agriculture"
"Vegetables","28067936","0.15184882092976348","07","Agriculture"
"Fruits and nuts","142156911","0.7690754076953619","08","Agriculture"
"Coffee, tea and spices","995619163","5.3863453300103","09","Agriculture"
"Cereals","4787846","0.02590246642621974","10","Agriculture"
"Flours, starches and malts","39205378","0.21210289290262344","11","Agriculture"
"Oil seeds and oleaginous fruits","16073706","0.08695948658539283","12","Agriculture"
"Lac and other vegetable extracts","683332","0.003696857456977853","13","Agriculture"
"Other vegetable materials","72334980","0.39133555901574035","14","Agriculture"
"Animal or vegetable fats, oils or waxes","88319001","0.47780984563826145","15","Agriculture"
"Preparations of meat or fish","38499564","0.20828440679464172","16","Agriculture"
"Sugar and candy","2784752","0.015065636026168817","17","Agriculture"
"Cocoa","7552565","0.04085972300369358","18","Agriculture"
"Preparations of cereals, flour, starch or milk","14322070","0.07748305549697482","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","41057670","0.22212387756703314","20","Agriculture"
"Miscellaneous edible preparations","88676902","0.4797461064612726","21","Agriculture"
"Beverages","31564351","0.1707645864221438","22","Agriculture"
"Food residues and animal feed","112168829","0.6068385088494666","23","Agriculture"
"Tobacco","69637734","0.37674333446251634","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","16154100","0.08739442181218784","25","Minerals"
"Ores, slag and ash","12935745","0.06998297367138372","26","Minerals"
"Mineral fuels, oils and waxes","46934871","0.25391980450007257","27","Minerals"
"Inorganic chemicals","10798253","0.05841904392796397","28","Chemicals"
"Organic chemicals","965524","0.0052235291180437685","29","Chemicals"
"Pharmaceutical products","6981104","0.037768092787017024","30","Chemicals"
"Fertilisers","4490924","0.024296104789649553","31","Chemicals"
"Dyes, paints, inks, etc.","5032910","0.02722827390462968","32","Chemicals"
"Essential oils","54173852","0.29308302368309197","33","Chemicals"
"Soaps, waxes, and paints","3544557","0.01917621592012821","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","759691","0.004109963148731455","35","Chemicals"
"Explosives","143894","0.0007784731388466679","36","Chemicals"
"Photographic or cinematographic goods","22262","0.0001204384409148715","37","Chemicals"
"Miscellaneous chemical products","103898954","0.5620981058505953","38","Chemicals"
"Plastics","59182610","0.3201806341601331","39","Chemicals"
"Rubber","794238513","4.296866778378668","40","Chemicals"
"Leather and skins","172777","0.0009347314933945176","41","Agriculture"
"Articles of leather","24843883","0.1344065463476543","42","Agriculture"
"Furskins","18703","0.00010118408770240057","43","Agriculture"
"Wood","32391397","0.17523894320971367","44","Agriculture"
"Cork","1506","0.00000814752906377668","45","Agriculture"
"Manufactues of plaiting materials","2559625","0.013847688632051387","46","Agriculture"
"Pulp of wood","29680535","0.1605730554720724","47","Agriculture"
"Paper and paperboard","51417522","0.27817115198032993","48","Agriculture"
"Products of the printing industry","19160105","0.10365704671481601","49","Agriculture"
"Silk","360800","0.0019519445459565913","50","Textiles"
"Wool","143431","0.0007759682876139131","51","Textiles"
"Cotton","11032029","0.059683782808716605","52","Textiles"
"Other vegetable textile fibres","84920879","0.4594258497835078","53","Textiles"
"Man-made filaments","16286072","0.08810839638430253","54","Textiles"
"Man-made staple fibres","30416979","0.1645572512847178","55","Textiles"
"Wadding, felt and nonwovens","33076386","0.17894476511268004","56","Textiles"
"Carpets","5275796","0.02854229830315854","57","Textiles"
"Special woven fabrics","55389401","0.29965919951705255","58","Textiles"
"Impregnated, coated or laminated textile fabrics","3361664","0.01818675640282322","59","Textiles"
"Knitted fabrics","49315693","0.2668001607023826","60","Textiles"
"Apparel, knit","2480858342","13.421557400104799","61","Textiles"
"Apparel, not knit","1855004454","10.035659164940368","62","Textiles"
"Other made up textile articles","69810276","0.3776767945951339","63","Textiles"
"Footwear","36038005","0.194967259719807","64","Textiles"
"Headgear","35081759","0.1897939250072438","65","Textiles"
"Umbrellas and walking-sticks","540805","0.0029257798508205497","66","Textiles"
"Feathers and down","1067075","0.0057729246850793505","67","Textiles"
"Articles of stone, plaster, cement, etc.","21110071","0.11420645219846563","68","Stone"
"Ceramic products","30963211","0.16751239145441557","69","Stone"
"Glass and glassware","20990075","0.1135572683355593","70","Stone"
"Precious metals and stones","343228234","1.8568804860715427","71","Stone"
"Iron and steel","19067733","0.10315730995872094","72","Metals"
"Articles of iron or steel","41823433","0.22626669051422094","73","Metals"
"Copper","34345225","0.18580924229047108","74","Metals"
"Nickel","172110","0.0009311229928065103","75","Metals"
"Aluminium","22846215","0.12359907085643478","76","Metals"
"Lead","18015550","0.09746495167657503","78","Metals"
"Zinc","292488","0.0015823734932310187","79","Metals"
"Tin","4865","0.00002631987310443131","80","Metals"
"Other base metals","59162","0.0003200691331149774","81","Metals"
"Metal tools and tableware","5182763","0.028038985506750613","82","Metals"
"Miscellaneous articles of base metal","8962532","0.04848770913348509","83","Metals"
"Industrial Machinery","271147108","1.4669182888373138","84","Machinery"
"Electrical machinery and equipment","292141870","1.5805009140578148","85","Electronics"
"Trains","378984","0.0020503208198581284","86","Vehicles"
"Vehicles","60162546","0.32548213285909794","87","Vehicles"
"Aircraft","17535839","0.0948696931674692","88","Vehicles"
"Ships","517482448","2.799603774949738","89","Vehicles"
"Apparatuses (optical, medical, etc.)","73461714","0.3974312416267266","90","Machinery"
"Clocks","711640","0.003850005035156731","91","Machinery"
"Musical instruments","174881","0.000946114229882025","92","Machinery"
"Arms and ammunition","30107","0.00016288025067936557","93","Machinery"
"Furniture","48876780","0.2644256212442356","94","Textiles"
"Toys","82064976","0.4439752835844195","95","Machinery"
"Miscellaneous manufactured articles","38658313","0.20914324616472502","96","Machinery"
"Art","790912","0.004278870190497837","97","Textiles"
"Other","60968268","0.3298411258287688","99","Other"
"Travel and tourism","4998627328","27.042803076937833","travel","Services"
"Transport","2837044480","15.348540741053917","transport","Services"
"ICT","113845088","0.6159071469111645","ict","Services"
"Insurance and finance","424642080","2.2973331264957384","financial","Services"
