"Name","Gross Import","Share","Code","Sector"
"Live animals","3979060","0.016068729441296992","01","Agriculture"
"Meat","9447291","0.03815121235472702","02","Agriculture"
"Fish","130127922","0.5254985778993528","03","Agriculture"
"Diary products","309254665","1.2488702206913036","04","Agriculture"
"Animal products","2838491","0.011462743437031997","05","Agriculture"
"Plants","1390487","0.005615235607063158","06","Agriculture"
"Vegetables","253816027","1.024991094813331","07","Agriculture"
"Fruits and nuts","98760208","0.3988256175876249","08","Agriculture"
"Coffee, tea and spices","132795158","0.5362697383342513","09","Agriculture"
"Cereals","381922749","1.5423274143032228","10","Agriculture"
"Flours, starches and malts","18687137","0.07546469479863344","11","Agriculture"
"Oil seeds and oleaginous fruits","43323225","0.17495317513418593","12","Agriculture"
"Lac and other vegetable extracts","2690829","0.010866436588992312","13","Agriculture"
"Other vegetable materials","7870505","0.03178364121460224","14","Agriculture"
"Animal or vegetable fats, oils or waxes","216430877","0.8740177844153213","15","Agriculture"
"Preparations of meat or fish","63251457","0.2554298123930855","16","Agriculture"
"Sugar and candy","186675365","0.7538554164904179","17","Agriculture"
"Cocoa","22131983","0.08937609556688879","18","Agriculture"
"Preparations of cereals, flour, starch or milk","46634172","0.1883238484935909","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","19867897","0.08023298504183304","20","Agriculture"
"Miscellaneous edible preparations","58356495","0.23566237485672514","21","Agriculture"
"Beverages","63601455","0.2568432173598352","22","Agriculture"
"Food residues and animal feed","158747055","0.6410718803932821","23","Agriculture"
"Tobacco","75499292","0.3048905259426795","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","272060203","1.0986669700259197","25","Minerals"
"Ores, slag and ash","6775187","0.02736039336355638","26","Minerals"
"Mineral fuels, oils and waxes","2485980372","10.039191666886865","27","Minerals"
"Inorganic chemicals","137253311","0.554273200047547","28","Chemicals"
"Organic chemicals","209909994","0.8476843527391583","29","Chemicals"
"Pharmaceutical products","363469634","1.4678077759252794","30","Chemicals"
"Fertilisers","148545588","0.599875061765938","31","Chemicals"
"Dyes, paints, inks, etc.","138832348","0.5606498614527022","32","Chemicals"
"Essential oils","85593061","0.34565242526160184","33","Chemicals"
"Soaps, waxes, and paints","60859302","0.2457695178821593","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","32256106","0.13026057414158032","35","Chemicals"
"Explosives","596252","0.002407858154145003","36","Chemicals"
"Photographic or cinematographic goods","12653929","0.051100652282293255","37","Chemicals"
"Miscellaneous chemical products","200545894","0.8098690925115544","38","Chemicals"
"Plastics","730059641","2.948216625846158","39","Chemicals"
"Rubber","309204854","1.2486690677852905","40","Chemicals"
"Leather and skins","12366951","0.0499417424298144","41","Agriculture"
"Articles of leather","25045204","0.10114062288030068","42","Agriculture"
"Furskins","110811","0.00044749060786204806","43","Agriculture"
"Wood","106529697","0.43020132356796525","44","Agriculture"
"Cork","118940","0.0004803181353756576","45","Agriculture"
"Manufactues of plaiting materials","1714791","0.006924879903135693","46","Agriculture"
