"Name","Gross Export","Share","Code","Sector"
"Live animals","27805860","0.011567091359592456","01","Agriculture"
"Meat","155890409","0.0648495893666743","02","Agriculture"
"Fish","4449988557","1.8511718101134076","03","Agriculture"
"Diary products","352889351","0.1468001120211455","04","Agriculture"
"Animal products","38941867","0.016199611639492486","05","Agriculture"
"Plants","14729233","0.006127283377235017","06","Agriculture"
"Vegetables","96081527","0.03996940935393292","07","Agriculture"
"Fruits and nuts","133123510","0.05537867925248922","08","Agriculture"
"Coffee, tea and spices","183717185","0.07642538167214208","09","Agriculture"
"Cereals","215337820","0.08957939934659369","10","Agriculture"
"Flours, starches and malts","98677374","0.041049268038559975","11","Agriculture"
"Oil seeds and oleaginous fruits","52563067","0.02186595912262305","12","Agriculture"
"Lac and other vegetable extracts","5714160","0.0023770604744226156","13","Agriculture"
"Other vegetable materials","704219","0.00029295139622226535","14","Agriculture"
"Animal or vegetable fats, oils or waxes","696970022","0.28993585954080053","15","Agriculture"
"Preparations of meat or fish","250298676","0.10412293137047485","16","Agriculture"
"Sugar and candy","183484061","0.07632840331556136","17","Agriculture"
"Cocoa","375771477","0.15631895596064985","18","Agriculture"
"Preparations of cereals, flour, starch or milk","670714837","0.2790138408167617","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","159955278","0.06654055346876554","20","Agriculture"
"Miscellaneous edible preparations","738963626","0.30740497770461733","21","Agriculture"
"Beverages","996084318","0.41436583181255116","22","Agriculture"
"Food residues and animal feed","221953760","0.09233159555306175","23","Agriculture"
"Tobacco","304189447","0.12654120836661434","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","254631475","0.10592535294189002","25","Minerals"
"Ores, slag and ash","3152277511","1.3113308475452912","26","Minerals"
"Mineral fuels, oils and waxes","12128304896","5.045310980096443","27","Minerals"
"Inorganic chemicals","550562052","0.2290309148722137","28","Chemicals"
"Organic chemicals","2243733526","0.9333813333528441","29","Chemicals"
"Pharmaceutical products","8155662568","3.3927126879752834","30","Chemicals"
"Fertilisers","162892746","0.06776252469072665","31","Chemicals"
"Dyes, paints, inks, etc.","971439502","0.4041137181137716","32","Chemicals"
"Essential oils","564982030","0.23502954979770474","33","Chemicals"
"Soaps, waxes, and paints","642586085","0.2673124280852253","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","296512635","0.12334769499373482","35","Chemicals"
"Explosives","101129591","0.042069377399412175","36","Chemicals"
"Photographic or cinematographic goods","25285372","0.010518581622193345","37","Chemicals"
"Miscellaneous chemical products","1874789074","0.7799023838472805","38","Chemicals"
"Plastics","5418144054","2.253919399437767","39","Chemicals"
"Rubber","1037144551","0.4314466725546521","40","Chemicals"
"Leather and skins","87414972","0.036364168104141226","41","Agriculture"
"Articles of leather","250802769","0.10433263140437889","42","Agriculture"
"Furskins","19508540","0.008115449925744566","43","Agriculture"
"Wood","4166889219","1.733403976049432","44","Agriculture"
"Cork","1430508","0.0005950837962439531","45","Agriculture"
"Manufactues of plaiting materials","10774836","0.004482275045498529","46","Agriculture"
"Pulp of wood","2824096222","1.1748091592259293","47","Agriculture"
"Paper and paperboard","9303011438","3.870003776998071","48","Agriculture"
"Products of the printing industry","244313041","0.10163293872539304","49","Agriculture"
"Silk","264237","0.00010992120076791841","50","Textiles"
"Wool","28710358","0.011943357765327385","51","Textiles"
"Cotton","22459486","0.00934302792474276","52","Textiles"
"Other vegetable textile fibres","2668159","0.0011099400958977297","53","Textiles"
"Man-made filaments","31431407","0.013075299822754407","54","Textiles"
"Man-made staple fibres","22880767","0.00951827860265959","55","Textiles"
