"Name","Gross Import","Share","Code","Sector"
"Live animals","35859752","0.015099130262456021","01","Agriculture"
"Meat","1058236674","0.44558181521261514","02","Agriculture"
"Fish","3877843738","1.632807380751305","03","Agriculture"
"Diary products","1114958028","0.4694649450432085","04","Agriculture"
"Animal products","47740640","0.020101704612263308","05","Agriculture"
"Plants","373108289","0.1571012163612589","06","Agriculture"
"Vegetables","721224425","0.30367922069120673","07","Agriculture"
"Fruits and nuts","1035297202","0.435922906364613","08","Agriculture"
"Coffee, tea and spices","496009498","0.2088500785425794","09","Agriculture"
"Cereals","220370418","0.09278931007035082","10","Agriculture"
"Flours, starches and malts","96016560","0.04042879456592238","11","Agriculture"
"Oil seeds and oleaginous fruits","178860018","0.07531091432331234","12","Agriculture"
"Lac and other vegetable extracts","26179021","0.011022955435457883","13","Agriculture"
"Other vegetable materials","2687183","0.0011314670039005667","14","Agriculture"
"Animal or vegetable fats, oils or waxes","838592807","0.35309842717405404","15","Agriculture"
"Preparations of meat or fish","855826628","0.3603549109388846","16","Agriculture"
"Sugar and candy","307404225","0.12943582087529049","17","Agriculture"
"Cocoa","489342530","0.20604288070452337","18","Agriculture"
"Preparations of cereals, flour, starch or milk","818470874","0.34462587311123144","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","809364737","0.34079163720377814","20","Agriculture"
"Miscellaneous edible preparations","890976385","0.37515509024956906","21","Agriculture"
"Beverages","1654831824","0.6967845531400689","22","Agriculture"
"Food residues and animal feed","554731391","0.23357555661239437","23","Agriculture"
"Tobacco","212286870","0.08938564614554688","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","394960318","0.16630224575962077","25","Minerals"
"Ores, slag and ash","846820582","0.35656281941232665","26","Minerals"
"Mineral fuels, oils and waxes","18411471763","7.752346153232398","27","Minerals"
"Inorganic chemicals","1932297849","0.813614576250125","28","Chemicals"
"Organic chemicals","2210871543","0.9309109951824022","29","Chemicals"
"Pharmaceutical products","4238176232","1.7845292126452246","30","Chemicals"
"Fertilisers","317210806","0.13356498618430673","31","Chemicals"
"Dyes, paints, inks, etc.","877848889","0.3696276183327563","32","Chemicals"
"Essential oils","967885634","0.40753854814516927","33","Chemicals"
"Soaps, waxes, and paints","792228329","0.3335761702194389","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","224035661","0.09433259964749444","35","Chemicals"
"Explosives","62532114","0.02632981217697071","36","Chemicals"
"Photographic or cinematographic goods","61520094","0.02590369038426532","37","Chemicals"
"Miscellaneous chemical products","1866111756","0.785746217323102","38","Chemicals"
"Plastics","5900166551","2.484327926298399","39","Chemicals"
"Rubber","1824013907","0.7680204699219431","40","Chemicals"
"Leather and skins","69993399","0.029471465642402068","41","Agriculture"
"Articles of leather","576206609","0.24261792572851767","42","Agriculture"
"Furskins","24568917","0.010345004008685564","43","Agriculture"
"Wood","2321153329","0.9773463149913706","44","Agriculture"
"Cork","3372995","0.0014202354461239118","45","Agriculture"
"Manufactues of plaiting materials","24772251","0.010430619953625346","46","Agriculture"
"Pulp of wood","375581192","0.158142458490413","47","Agriculture"
"Paper and paperboard","1895734990","0.7982193953016116","48","Agriculture"
"Products of the printing industry","475428567","0.20018425848638885","49","Agriculture"
"Silk","1192251","0.000502009973592217","50","Textiles"
"Wool","56676324","0.023864169469804544","51","Textiles"
"Cotton","56439108","0.023764287148132637","52","Textiles"
"Other vegetable textile fibres","11667863","0.004912877906168757","53","Textiles"
"Man-made filaments","103139435","0.04342795689889644","54","Textiles"
"Man-made staple fibres","75755956","0.031897851602567875","55","Textiles"
"Wadding, felt and nonwovens","271182648","0.11418434034540334","56","Textiles"
"Carpets","239811921","0.10097536183933487","57","Textiles"
"Special woven fabrics","39463034","0.016616330501051175","58","Textiles"
"Impregnated, coated or laminated textile fabrics","161115132","0.06783924120057486","59","Textiles"
"Knitted fabrics","28986525","0.012205084877077175","60","Textiles"
"Apparel, knit","2132294252","0.897825190448451","61","Textiles"
"Apparel, not knit","2420904045","1.0193474156865805","62","Textiles"
"Other made up textile articles","628556848","0.26466055106323016","63","Textiles"
"Footwear","1201685670","0.5059825418161491","64","Textiles"
"Headgear","141587553","0.05961694621561788","65","Textiles"
"Umbrellas and walking-sticks","20338140","0.008563590321429643","66","Textiles"
"Feathers and down","45106422","0.018992539085359875","67","Textiles"
"Articles of stone, plaster, cement, etc.","766371802","0.32268900431523206","68","Stone"
"Ceramic products","435333767","0.18330191618666736","69","Stone"
"Glass and glassware","834206468","0.35125151245093245","70","Stone"
"Precious metals and stones","400095340","0.16846440142870006","71","Stone"
"Iron and steel","4876014162","2.053097662070232","72","Metals"
"Articles of iron or steel","4454277667","1.875521021985364","73","Metals"
"Copper","925703161","0.3897771689080922","74","Metals"
"Nickel","461203379","0.19419459166939787","75","Metals"
"Aluminium","1813720453","0.763686301554114","76","Metals"
"Lead","45561938","0.019184338945566183","78","Metals"
"Zinc","103300154","0.04349562934450209","79","Metals"
"Tin","3620003","0.0015242407936195872","80","Metals"
"Other base metals","184293989","0.07759894565078523","81","Metals"
"Metal tools and tableware","829053684","0.34908187790269857","82","Metals"
"Miscellaneous articles of base metal","769707309","0.3240934550399424","83","Metals"
"Industrial Machinery","21736338365","9.15231662511094","84","Machinery"
"Electrical machinery and equipment","18383157582","7.740424165952795","85","Electronics"
"Trains","622785030","0.2622302656604424","86","Vehicles"
"Vehicles","18194516368","7.660994774944907","87","Vehicles"
"Aircraft","1559135256","0.656490494611667","88","Vehicles"
"Ships","868441103","0.36566636990317125","89","Vehicles"
"Apparatuses (optical, medical, etc.)","4344284051","1.8292070392221096","90","Machinery"
"Clocks","202642254","0.0853246779236984","91","Machinery"
"Musical instruments","65120965","0.027419875445648348","92","Machinery"
"Arms and ammunition","75493174","0.03178720444447742","93","Machinery"
"Furniture","3841205532","1.6173804741464657","94","Textiles"
"Toys","1210860812","0.5098458330133256","95","Machinery"
"Miscellaneous manufactured articles","246478862","0.10378254830875352","96","Machinery"
"Art","63273584","0.026642016012504856","97","Textiles"
"Other","5397526016","2.2726857790477544","99","Other"
"Unspecified","31427532800","13.232897192786194","unspecified","Services"
"Travel and tourism","18056042496","7.602688877255635","travel","Services"
"Transport","11435932672","4.815221172951913","transport","Services"
"ICT","8873867264","3.736436262885482","ict","Services"
"Insurance and finance","2941296128","1.238464041165971","financial","Services"
