"Name","Gross Export","Share","Code","Sector"
"Live animals","15983307","0.0037052624483650716","01","Agriculture"
"Meat","70929942","0.01644303338209749","02","Agriculture"
"Fish","7113029","0.0016489478208628386","03","Agriculture"
"Diary products","742105193","0.17203539319864242","04","Agriculture"
"Animal products","39173132","0.009081145409047585","05","Agriculture"
"Plants","10380874","0.002406502147109438","06","Agriculture"
"Vegetables","9701203","0.0022489402962645073","07","Agriculture"
"Fruits and nuts","17761660","0.004117521600418984","08","Agriculture"
"Coffee, tea and spices","2314327582","0.5365091894186939","09","Agriculture"
"Cereals","23638480","0.00547989050579012","10","Agriculture"
"Flours, starches and malts","13126882","0.00304308382105902","11","Agriculture"
"Oil seeds and oleaginous fruits","25736304","0.005966209669307346","12","Agriculture"
"Lac and other vegetable extracts","140554441","0.03258343796989221","13","Agriculture"
"Other vegetable materials","400700","0.00009289058034484878","14","Agriculture"
"Animal or vegetable fats, oils or waxes","158794400","0.03681183921016236","15","Agriculture"
"Preparations of meat or fish","11301367","0.0026198915381086168","16","Agriculture"
"Sugar and candy","216431831","0.05017339252979345","17","Agriculture"
"Cocoa","1093336655","0.25345813924443655","18","Agriculture"
"Preparations of cereals, flour, starch or milk","861708030","0.19976181431124623","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","88249378","0.020458038276745524","20","Agriculture"
"Miscellaneous edible preparations","1204953895","0.27933333315531816","21","Agriculture"
"Beverages","1663811414","0.3857060340175779","22","Agriculture"
"Food residues and animal feed","267113015","0.061922343351665333","23","Agriculture"
"Tobacco","760792315","0.1763674561074395","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","76501824","0.017734711327176144","25","Minerals"
"Ores, slag and ash","267337393","0.061974358831167746","26","Minerals"
"Mineral fuels, oils and waxes","2376037515","0.5508148332654913","27","Minerals"
"Inorganic chemicals","605856306","0.14045007204873045","28","Chemicals"
"Organic chemicals","21715671006","5.034143454767023","29","Chemicals"
"Pharmaceutical products","65015997558","15.07205826019938","30","Chemicals"
"Fertilisers","57357504","0.013296660428480125","31","Chemicals"
"Dyes, paints, inks, etc.","1932856127","0.4480761850764331","32","Chemicals"
"Essential oils","3764136228","0.8726049381482158","33","Chemicals"
"Soaps, waxes, and paints","564043759","0.13075705543648622","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","507274078","0.11759666458527099","35","Chemicals"
"Explosives","52818130","0.012244339277338827","36","Chemicals"
"Photographic or cinematographic goods","15425959","0.003576057608899035","37","Chemicals"
"Miscellaneous chemical products","1525620367","0.35367047985163763","38","Chemicals"
"Plastics","5581223240","1.2938434384770583","39","Chemicals"
"Rubber","444082960","0.10294765129937176","40","Chemicals"
"Leather and skins","96697222","0.022416423931406738","41","Agriculture"
"Articles of leather","891898344","0.20676055598395204","42","Agriculture"
"Furskins","8792889","0.002038374250356469","43","Agriculture"
"Wood","515079812","0.11940619580882358","44","Agriculture"
"Cork","9756304","0.002261713852210556","45","Agriculture"
"Manufactues of plaiting materials","933444","0.00021639170172053164","46","Agriculture"
"Pulp of wood","214006418","0.0496111314338465","47","Agriculture"
"Paper and paperboard","1326996891","0.3076254337928626","48","Agriculture"
"Products of the printing industry","412587816","0.09564642293849186","49","Agriculture"
"Silk","6088182","0.001411367005802501","50","Textiles"
"Wool","39855278","0.009239281016284712","51","Textiles"
"Cotton","158058062","0.03664114077205413","52","Textiles"
"Other vegetable textile fibres","4330382","0.0010038724659218543","53","Textiles"
"Man-made filaments","200212539","0.04641342385831213","54","Textiles"
"Man-made staple fibres","72891994","0.016897877776773738","55","Textiles"
"Wadding, felt and nonwovens","111484038","0.02584431492140548","56","Textiles"
"Carpets","103459207","0.023983992463807943","57","Textiles"
"Special woven fabrics","77006861","0.017851789390629154","58","Textiles"
"Impregnated, coated or laminated textile fabrics","333015347","0.07719987233983329","59","Textiles"
"Knitted fabrics","71266157","0.016520975000441997","60","Textiles"
"Apparel, knit","478691287","0.11097058012341544","61","Textiles"
"Apparel, not knit","823913207","0.19100018954832926","62","Textiles"
"Other made up textile articles","170596322","0.03954776979105739","63","Textiles"
"Footwear","628978759","0.14581033678086544","64","Textiles"
"Headgear","19965273","0.00462836485079446","65","Textiles"
"Umbrellas and walking-sticks","23185514","0.00537488358136665","66","Textiles"
"Feathers and down","1691779","0.0003921895011859944","67","Textiles"
"Articles of stone, plaster, cement, etc.","485259956","0.1124933339929019","68","Stone"
"Ceramic products","160979590","0.037318411626593","69","Stone"
"Glass and glassware","477791074","0.11076189205752082","70","Stone"
"Precious metals and stones","74284499195","17.220689395682562","71","Stone"
"Iron and steel","1545867605","0.35836421004430113","72","Metals"
"Articles of iron or steel","2944721213","0.6826475229083031","73","Metals"
"Copper","705794152","0.16361773991335268","74","Metals"
"Nickel","138527618","0.03211357831247697","75","Metals"
"Aluminium","2452789630","0.5686075672436409","76","Metals"
"Lead","53630464","0.012432655166267834","78","Metals"
"Zinc","48817154","0.011316829962175834","79","Metals"
"Tin","5808732","0.0013465846931562122","80","Metals"
"Other base metals","203325433","0.04713505732527494","81","Metals"
"Metal tools and tableware","1863936903","0.43209927787833824","82","Metals"
"Miscellaneous articles of base metal","399014993","0.09249996073388016","83","Metals"
"Industrial Machinery","24913544714","5.775476982607437","84","Machinery"
"Electrical machinery and equipment","12448441076","2.8858071273728325","85","Electronics"
"Trains","870788357","0.20186682265851602","86","Vehicles"
"Vehicles","2638145552","0.6115769187907698","87","Vehicles"
"Aircraft","1797085442","0.4166017210797582","88","Vehicles"
"Ships","68274026","0.015827336904465424","89","Vehicles"
"Apparatuses (optical, medical, etc.)","17641071138","4.089566598237041","90","Machinery"
"Clocks","22449252951","5.204202982098076","91","Machinery"
"Musical instruments","25042849","0.0058054524010442135","92","Machinery"
"Arms and ammunition","239243832","0.05546168804194037","93","Machinery"
"Furniture","757630312","0.17563443815455168","94","Textiles"
"Toys","198163603","0.04593843794833097","95","Machinery"
"Miscellaneous manufactured articles","409951688","0.0950353137301482","96","Machinery"
"Art","2179792256","0.5053211072898608","97","Textiles"
"Other","13624730624","3.1584954696920233","99","Other"
"Unspecified","31461756928","7.293488544323651","unspecified","Services"
"Travel and tourism","17045394432","3.9514763688428607","travel","Services"
"Transport","13158403072","3.0503910600686823","transport","Services"
"ICT","33399982080","7.742809380880333","ict","Services"
"Insurance and finance","29209180160","6.771294475816429","financial","Services"
