"Name","Gross Import","Share","Code","Sector"
"Live animals","78521043","0.020999146167190834","01","Agriculture"
"Meat","620537916","0.16595253835800408","02","Agriculture"
"Fish","527022314","0.14094334693258143","03","Agriculture"
"Diary products","597640890","0.1598291098170973","04","Agriculture"
"Animal products","84442763","0.02258281162921453","05","Agriculture"
"Plants","571308774","0.15278702362403151","06","Agriculture"
"Vegetables","573599222","0.1533995658229469","07","Agriculture"
"Fruits and nuts","1259992800","0.33696410498276297","08","Agriculture"
"Coffee, tea and spices","564994466","0.15109836703503712","09","Agriculture"
"Cereals","294251547","0.07869267917614166","10","Agriculture"
"Flours, starches and malts","90067082","0.02408694214327187","11","Agriculture"
"Oil seeds and oleaginous fruits","342810793","0.09167904137363025","12","Agriculture"
"Lac and other vegetable extracts","90277731","0.024143276712604737","13","Agriculture"
"Other vegetable materials","4884030","0.0013061525412359214","14","Agriculture"
"Animal or vegetable fats, oils or waxes","391976998","0.10482772465437919","15","Agriculture"
"Preparations of meat or fish","355346958","0.09503163007028093","16","Agriculture"
"Sugar and candy","209461986","0.05601712219339827","17","Agriculture"
"Cocoa","565567352","0.15125157586150592","18","Agriculture"
"Preparations of cereals, flour, starch or milk","779597780","0.20849045183770018","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","481247677","0.12870168206940452","20","Agriculture"
"Miscellaneous edible preparations","713775160","0.19088728756888806","21","Agriculture"
"Beverages","2011198156","0.5378614755413867","22","Agriculture"
"Food residues and animal feed","476462830","0.1274220543708697","23","Agriculture"
"Tobacco","530205784","0.1417947130033157","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","381241945","0.10195681338719773","25","Minerals"
"Ores, slag and ash","384320449","0.10278010804812426","26","Minerals"
"Mineral fuels, oils and waxes","10135625710","2.7106044144144565","27","Minerals"
"Inorganic chemicals","729564308","0.19510983243125582","28","Chemicals"
"Organic chemicals","9574109507","2.560436250931924","29","Chemicals"
"Pharmaceutical products","26537979968","7.097141085224942","30","Chemicals"
"Fertilisers","136371219","0.03647021296926726","31","Chemicals"
"Dyes, paints, inks, etc.","1093273499","0.29237780254927537","32","Chemicals"
"Essential oils","1897429344","0.5074359001646606","33","Chemicals"
"Soaps, waxes, and paints","637018106","0.1703598909026344","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","251598767","0.06728590301224081","35","Chemicals"
"Explosives","42442356","0.011350501767073432","36","Chemicals"
"Photographic or cinematographic goods","70067290","0.018738330618569964","37","Chemicals"
"Miscellaneous chemical products","1737935863","0.4647820230347672","38","Chemicals"
"Plastics","6453531874","1.7258896970682238","39","Chemicals"
"Rubber","1310114623","0.3503683523937795","40","Chemicals"
"Leather and skins","85894268","0.02297099248485355","41","Agriculture"
"Articles of leather","3213295463","0.8593423944446096","42","Agriculture"
"Furskins","43422610","0.011612654385537421","43","Agriculture"
"Wood","1894300933","0.5065992587071592","44","Agriculture"
"Cork","30277200","0.008097133252971057","45","Agriculture"
"Manufactues of plaiting materials","17003462","0.004547292932498044","46","Agriculture"
"Pulp of wood","123956962","0.03315022653836781","47","Agriculture"
"Paper and paperboard","2305618221","0.6165992220520746","48","Agriculture"
"Products of the printing industry","1287159511","0.3442293897188665","49","Agriculture"
"Silk","9429405","0.0025217374387734516","50","Textiles"
"Wool","70807092","0.01893617835134626","51","Textiles"
"Cotton","163903388","0.0438332333653514","52","Textiles"
"Other vegetable textile fibres","12690731","0.003393924800992517","53","Textiles"
"Man-made filaments","169599486","0.04535655997837975","54","Textiles"
"Man-made staple fibres","84791727","0.02267613624339582","55","Textiles"
"Wadding, felt and nonwovens","264608504","0.07076514065888938","56","Textiles"
"Carpets","174204848","0.046588187400736156","57","Textiles"
"Special woven fabrics","63409586","0.01695783848432907","58","Textiles"
"Impregnated, coated or laminated textile fabrics","154277197","0.04125886878588069","59","Textiles"
"Knitted fabrics","72793156","0.01946731811515958","60","Textiles"
"Apparel, knit","3422863662","0.9153879215372125","61","Textiles"
"Apparel, not knit","4879047377","1.3048200216376653","62","Textiles"
"Other made up textile articles","681025044","0.18212881408711765","63","Textiles"
"Footwear","3421728956","0.9150844633018093","64","Textiles"
"Headgear","145963357","0.03903547064061359","65","Textiles"
"Umbrellas and walking-sticks","33311358","0.00890856831422402","66","Textiles"
"Feathers and down","23886799","0.006388126857501216","67","Textiles"
"Articles of stone, plaster, cement, etc.","912874404","0.24413306687588468","68","Stone"
"Ceramic products","645313300","0.17257830248551675","69","Stone"
"Glass and glassware","945794091","0.25293688929952685","70","Stone"
"Precious metals and stones","80035464689","21.404153044214553","71","Stone"
"Iron and steel","2920854561","0.7811339421401345","72","Metals"
"Articles of iron or steel","3828584449","1.0238911938292106","73","Metals"
"Copper","1531489757","0.4095714477557127","74","Metals"
"Nickel","755095201","0.2019376448672917","75","Metals"
"Aluminium","3644212622","0.9745840170984452","76","Metals"
"Lead","43391411","0.011604310732215468","78","Metals"
"Zinc","63471594","0.016974421491963532","79","Metals"
"Tin","24209818","0.00647451291322108","80","Metals"
"Other base metals","215144095","0.05753670768118797","81","Metals"
"Metal tools and tableware","1021932962","0.2732989632105151","82","Metals"
