"Name","Gross Export","Share","Code","Sector"
"Live animals","360318","0.05337757628934516","01","Agriculture"
"Meat","11514","0.0017056861255766301","02","Agriculture"
"Fish","764528","0.11325732171398731","03","Agriculture"
"Diary products","11491321","1.7023264542511174","04","Agriculture"
"Animal products","2511572","0.3720647484615901","05","Agriculture"
"Plants","3811975","0.5647066934640416","06","Agriculture"
"Vegetables","30941897","4.583738441195167","07","Agriculture"
"Fruits and nuts","119359535","17.68194396428506","08","Agriculture"
"Coffee, tea and spices","84314682","12.490392849557551","09","Agriculture"
"Cereals","6203","0.0009189135866729057","10","Agriculture"
"Flours, starches and malts","1287497","0.19073004773506466","11","Agriculture"
"Oil seeds and oleaginous fruits","13699328","2.0294210265175825","12","Agriculture"
"Lac and other vegetable extracts","320490","0.047477448878413604","13","Agriculture"
"Other vegetable materials","240899","0.035686823168775805","14","Agriculture"
"Animal or vegetable fats, oils or waxes","119283998","17.670753898897907","15","Agriculture"
"Preparations of meat or fish","109188","0.016175130856301987","16","Agriculture"
"Sugar and candy","5032824","0.7455634939438143","17","Agriculture"
"Cocoa","1985142","0.29407930924956077","18","Agriculture"
"Preparations of cereals, flour, starch or milk","7345537","1.0881692327435977","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","23083325","3.419568107058899","20","Agriculture"
"Miscellaneous edible preparations","4768416","0.7063940430934178","21","Agriculture"
"Beverages","574733","0.08514105471695618","22","Agriculture"
"Food residues and animal feed","78176","0.011581007343501705","23","Agriculture"
"Tobacco","96067","0.014231383448477518","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","27821535","4.121487427631111","25","Minerals"
"Mineral fuels, oils and waxes","126418","0.01872758629695557","27","Minerals"
"Inorganic chemicals","1214907","0.17997655148218925","28","Chemicals"
"Organic chemicals","206665","0.030615391969975182","29","Chemicals"
"Pharmaceutical products","1325452","0.19635270857371856","30","Chemicals"
"Dyes, paints, inks, etc.","658988","0.09762260626380861","32","Chemicals"
"Essential oils","3274434","0.4850752686222327","33","Chemicals"
"Soaps, waxes, and paints","20444491","3.0286507419816124","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","37851","0.005607254259093367","35","Chemicals"
"Miscellaneous chemical products","332301","0.049227132639850596","38","Chemicals"
"Plastics","5653607","0.8375264043219486","39","Chemicals"
"Rubber","373277","0.05529732498670034","40","Chemicals"
"Leather and skins","4934535","0.7310029429974185","41","Agriculture"
"Articles of leather","436699","0.0646926719952396","42","Agriculture"
"Furskins","1091282","0.16166272073054683","43","Agriculture"
"Wood","746659","0.1106102046931493","44","Agriculture"
"Manufactues of plaiting materials","317753","0.04707198918363305","46","Agriculture"
"Pulp of wood","7359","0.001090163644095746","47","Agriculture"
"Paper and paperboard","3480876","0.5156576253302656","48","Agriculture"
"Products of the printing industry","2169804","0.3214351726611668","49","Agriculture"
"Silk","3846","0.0005697471633635331","50","Textiles"
"Wool","15814040","2.3426948599369335","51","Textiles"
"Cotton","22075629","3.270287832089378","52","Textiles"
"Other vegetable textile fibres","13665","0.0020243356701411023","53","Textiles"
"Man-made filaments","803546","0.11903745557257242","54","Textiles"
"Man-made staple fibres","1268686","0.18794338265705338","55","Textiles"
"Wadding, felt and nonwovens","332070","0.049192912256403654","56","Textiles"
"Carpets","578350","0.08567687777724892","57","Textiles"
"Special woven fabrics","1372246","0.20328478053482962","58","Textiles"
"Impregnated, coated or laminated textile fabrics","475075","0.07037769985307604","59","Textiles"
"Knitted fabrics","287524","0.042593859438101005","60","Textiles"
"Apparel, knit","18110939","2.6829579098023872","61","Textiles"
"Apparel, not knit","13697228","2.0291099321226103","62","Textiles"
"Other made up textile articles","1562341","0.23144548958828537","63","Textiles"
"Footwear","5533827","0.8197821725934815","64","Textiles"
"Headgear","2850366","0.4222537553426574","65","Textiles"
"Umbrellas and walking-sticks","40583","0.006011973252933505","66","Textiles"
"Articles of stone, plaster, cement, etc.","12298509","1.8219034363886846","68","Stone"
"Ceramic products","277220","0.04106742294010365","69","Stone"
"Glass and glassware","5910533","0.8755874702851153","70","Stone"
"Precious metals and stones","4751442","0.7038795115409132","71","Stone"
"Iron and steel","89050","0.01319188374870583","72","Metals"
"Articles of iron or steel","4782690","0.7085085961381008","73","Metals"
"Copper","14306965","2.11943648598319","74","Metals"
"Nickel","12330","0.0018265685190515764","75","Metals"
"Aluminium","6650951","0.9852731320644446","76","Metals"
"Lead","13267037","1.9653813564714087","78","Metals"
"Zinc","8294","0.0012286747199524552","79","Metals"
"Tin","211136","0.031277726750889995","80","Metals"
"Metal tools and tableware","195522","0.02896466585417699","82","Metals"
"Miscellaneous articles of base metal","271887","0.04027739131706212","83","Metals"
"Industrial Machinery","5607518","0.8306987711934354","84","Machinery"
"Electrical machinery and equipment","852498","0.12628921405956453","85","Electronics"
"Vehicles","411961","0.06102798002246605","87","Vehicles"
"Aircraft","3944","0.0005842649017955731","88","Vehicles"
"Ships","88906","0.013170551561622015","89","Vehicles"
"Apparatuses (optical, medical, etc.)","330417","0.048948036525504036","90","Machinery"
"Clocks","13960","0.0020680370256253044","91","Machinery"
"Musical instruments","82655","0.01224452724592117","92","Machinery"
"Furniture","1886481","0.27946365015319846","94","Textiles"
"Toys","310681","0.04602434177351685","95","Machinery"
"Miscellaneous manufactured articles","2114558","0.31325101983038633","96","Machinery"
"Art","2017155","0.29882172109063115","97","Textiles"
"Other","7327951","1.085564039395987","99","Other"
