"Name","Gross Import","Share","Code","Sector"
"Live animals","46595318","0.7098908555141431","01","Agriculture"
"Meat","13091492","0.19945202339506646","02","Agriculture"
"Fish","5491965","0.08367140518933107","03","Agriculture"
"Diary products","104345203","1.589724217065477","04","Agriculture"
"Animal products","146799","0.002236518005921125","05","Agriculture"
"Plants","518616","0.007901239260204702","06","Agriculture"
"Vegetables","81290197","1.2384756660152687","07","Agriculture"
"Fruits and nuts","61070874","0.9304294262109433","08","Agriculture"
"Coffee, tea and spices","128792140","1.9621791710509904","09","Agriculture"
"Cereals","118625087","1.8072816778687864","10","Agriculture"
"Flours, starches and malts","133772587","2.0380574767140796","11","Agriculture"
"Oil seeds and oleaginous fruits","27102924","0.4129195535331425","12","Agriculture"
"Lac and other vegetable extracts","2498176","0.03806031107814094","13","Agriculture"
"Other vegetable materials","251138","0.003826147718792495","14","Agriculture"
"Animal or vegetable fats, oils or waxes","210951953","3.2139036455883683","15","Agriculture"
"Preparations of meat or fish","52865919","0.8054249670847056","16","Agriculture"
"Sugar and candy","175764936","2.6778209945134104","17","Agriculture"
"Cocoa","29915410","0.45576845291529827","18","Agriculture"
"Preparations of cereals, flour, starch or milk","96884585","1.4760599108215704","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","22666936","0.3453362114391907","20","Agriculture"
"Miscellaneous edible preparations","48249190","0.7350879924666345","21","Agriculture"
"Beverages","37235509","0.5672919184608758","22","Agriculture"
"Food residues and animal feed","96367980","1.4681893096291314","23","Agriculture"
"Tobacco","346976730","5.2862737776185975","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","57911993","0.8823031158473705","25","Minerals"
"Ores, slag and ash","116497","0.0017748597615501011","26","Minerals"
"Mineral fuels, oils and waxes","68990714","1.051090089866788","27","Minerals"
"Inorganic chemicals","37828068","0.5763196970770149","28","Chemicals"
"Organic chemicals","88913771","1.3546226460387845","29","Chemicals"
"Pharmaceutical products","118572628","1.8064824524103524","30","Chemicals"
"Fertilisers","17710909","0.26982995033842533","31","Chemicals"
"Dyes, paints, inks, etc.","50506939","0.7694853404822913","32","Chemicals"
"Essential oils","61860417","0.9424583033555355","33","Chemicals"
"Soaps, waxes, and paints","57436037","0.8750518119282281","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","18898171","0.28791817192539754","35","Chemicals"
"Explosives","29248331","0.4456053442097086","36","Chemicals"
"Photographic or cinematographic goods","3994667","0.06085971071437082","37","Chemicals"
"Miscellaneous chemical products","61104779","0.9309459770252592","38","Chemicals"
"Plastics","380923294","5.803457829452424","39","Chemicals"
"Rubber","93651354","1.4268008603593578","40","Chemicals"
"Leather and skins","1847961","0.028154129460963684","41","Agriculture"
"Articles of leather","9583877","0.14601266682357056","42","Agriculture"
"Furskins","19496","0.00029702624025666557","43","Agriculture"
"Wood","81911087","1.2479350742176158","44","Agriculture"
"Cork","212852","0.003242851317763222","45","Agriculture"
"Manufactues of plaiting materials","1073702","0.01635810772548535","46","Agriculture"
"Pulp of wood","17047828","0.2597277521226052","47","Agriculture"
"Paper and paperboard","147422510","2.246017330452436","48","Agriculture"
"Products of the printing industry","74226668","1.1308611060125027","49","Agriculture"
"Silk","87399","0.001331544746214214","50","Textiles"
