"Name","Gross Export","Share","Code","Sector"
"Live animals","14732","0.0010762830453688562","01","Agriculture"
"Diary products","22829","0.0016678295983386924","04","Agriculture"
"Animal products","374614","0.027368361170092906","05","Agriculture"
"Plants","6760","0.0004938686795203277","06","Agriculture"
"Vegetables","8894598","0.6498170664384834","07","Agriculture"
"Fruits and nuts","16603100","1.2129809279502888","08","Agriculture"
"Coffee, tea and spices","65856","0.00481127452048679","09","Agriculture"
"Cereals","53446","0.003904630983083348","10","Agriculture"
"Flours, starches and malts","9649","0.0007049317882679944","11","Agriculture"
"Oil seeds and oleaginous fruits","6064466","0.4430547064224739","12","Agriculture"
"Lac and other vegetable extracts","939771","0.06865731698542868","13","Agriculture"
"Other vegetable materials","8672","0.0006335546137278523","14","Agriculture"
"Animal or vegetable fats, oils or waxes","26923","0.0019669269909357665","15","Agriculture"
"Sugar and candy","32126","0.0023470451476730837","17","Agriculture"
"Cocoa","333622","0.024373588254279696","18","Agriculture"
"Preparations of cereals, flour, starch or milk","35572","0.0025988012822332983","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","363357","0.026545952926696408","20","Agriculture"
"Miscellaneous edible preparations","29046","0.002122028057004059","21","Agriculture"
"Beverages","677685","0.049509969834428","22","Agriculture"
"Food residues and animal feed","20670","0.0015100984623794636","23","Agriculture"
"Tobacco","1518454","0.11093444850478693","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","47917011","3.5006968859661267","25","Minerals"
"Ores, slag and ash","422775027","30.886885254239775","26","Minerals"
"Mineral fuels, oils and waxes","29849837","2.1807543761963046","27","Minerals"
"Inorganic chemicals","3679331","0.2688027133858294","28","Chemicals"
"Organic chemicals","489791","0.03578290449865989","29","Chemicals"
"Pharmaceutical products","8010","0.000585190550733406","30","Chemicals"
"Dyes, paints, inks, etc.","211447","0.01544778856191342","32","Chemicals"
"Essential oils","17394","0.0012707621023042277","33","Chemicals"
"Soaps, waxes, and paints","27038","0.0019753286030873697","34","Chemicals"
"Miscellaneous chemical products","19436","0.0014199455111179127","38","Chemicals"
"Plastics","461014","0.033680528908340876","39","Chemicals"
"Rubber","48937","0.003575214729243532","40","Chemicals"
"Leather and skins","8291151","0.6057307390641485","41","Agriculture"
"Articles of leather","19846","0.0014498990848758023","42","Agriculture"
"Wood","173655","0.012686799636405696","44","Agriculture"
"Paper and paperboard","887149","0.06481288537984899","48","Agriculture"
"Products of the printing industry","1120631","0.08187049588750656","49","Agriculture"
"Silk","492104","0.03595188648915257","50","Textiles"
"Wool","5436","0.0003971405535314351","51","Textiles"
"Cotton","96297027","7.035219758317063","52","Textiles"
"Other vegetable textile fibres","6575","0.00048035304258079207","53","Textiles"
"Man-made filaments","13264","0.0009690346398162168","54","Textiles"
"Wadding, felt and nonwovens","13914","0.0010165220128470177","56","Textiles"
"Carpets","214927","0.01570202865137063","57","Textiles"
"Special woven fabrics","1338","0.00009775093094647906","58","Textiles"
"Impregnated, coated or laminated textile fabrics","7119","0.0005200963209327238","59","Textiles"
"Knitted fabrics","33961","0.002481105654613883","60","Textiles"
"Apparel, knit","559099","0.040846373498688714","61","Textiles"
"Apparel, not knit","15892722","1.1610824893674054","62","Textiles"
"Other made up textile articles","22099","0.0016144976255502545","63","Textiles"
"Footwear","25367","0.0018532495256497266","64","Textiles"
"Articles of stone, plaster, cement, etc.","42897778","3.1340042862745805","68","Stone"
"Ceramic products","9493","0.0006935348187406022","69","Stone"
"Precious metals and stones","176067006","12.863014757443434","71","Stone"
"Iron and steel","2241074","0.16372725696558266","72","Metals"
"Articles of iron or steel","166066","0.012132366291896854","73","Metals"
"Copper","255967","0.01870030832703842","74","Metals"
"Aluminium","160871322","11.752856119649326","76","Metals"
"Other base metals","27486048","2.0080618684899916","81","Metals"
"Metal tools and tableware","54341","0.003970017442871912","82","Metals"
"Miscellaneous articles of base metal","30223","0.0022080167309382935","83","Metals"
"Industrial Machinery","1605718","0.11730973792041738","84","Machinery"
"Electrical machinery and equipment","415403","0.030348303414021106","85","Electronics"
"Trains","3129","0.00022859690802057772","86","Vehicles"
"Vehicles","655096","0.04785967403536222","87","Vehicles"
"Apparatuses (optical, medical, etc.)","37625985","2.748860285148174","90","Machinery"
"Arms and ammunition","1464","0.00010695617556475736","93","Machinery"
"Furniture","74688","0.005456518333729917","94","Textiles"
"Toys","69041","0.005043962648337713","95","Machinery"
"Art","237755","0.017369785192212352","97","Textiles"
"Other","10118932","0.7392638439343178","99","Other"
"Travel and tourism","9252722","0.6759807094835334","travel","Services"
"Transport","188346080","13.760093168998521","transport","Services"
"ICT","44229648","3.23130737476463","ict","Services"
"Insurance and finance","392334","0.028662940016409504","financial","Services"
