"Name","Gross Import","Share","Code","Sector"
"Live animals","2437965","0.059433181284130186","01","Agriculture"
"Meat","18969570","0.46244383848496484","02","Agriculture"
"Fish","3305791","0.08058921099787979","03","Agriculture"
"Diary products","11099832","0.27059384670386544","04","Agriculture"
"Animal products","136534","0.0033284522023275275","05","Agriculture"
"Plants","3890730","0.09484896682996016","06","Agriculture"
"Vegetables","2549511","0.06215247119990814","07","Agriculture"
"Fruits and nuts","5390998","0.13142278967761362","08","Agriculture"
"Coffee, tea and spices","11014215","0.268506658954245","09","Agriculture"
"Cereals","168755035","4.113942812043953","10","Agriculture"
"Flours, starches and malts","17155918","0.41823028000388524","11","Agriculture"
"Oil seeds and oleaginous fruits","5686770","0.13863317657601854","12","Agriculture"
"Lac and other vegetable extracts","545582","0.01330030329039109","13","Agriculture"
"Other vegetable materials","428976","0.010457659718060362","14","Agriculture"
"Animal or vegetable fats, oils or waxes","73641412","1.7952445541323685","15","Agriculture"
"Preparations of meat or fish","5700438","0.13896637771786902","16","Agriculture"
"Sugar and candy","35853813","0.8740511729070366","17","Agriculture"
"Cocoa","24483753","0.5968696558666209","18","Agriculture"
"Preparations of cereals, flour, starch or milk","38116392","0.9292087604346123","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","7921275","0.1931063707134632","20","Agriculture"
"Miscellaneous edible preparations","20495521","0.4996437664632992","21","Agriculture"
"Beverages","18252541","0.44496396714022507","22","Agriculture"
"Food residues and animal feed","11133652","0.2714183171909435","23","Agriculture"
"Tobacco","38971288","0.9500495801129414","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","7581788","0.18483029110829843","25","Minerals"
"Ores, slag and ash","258974","0.006313318152588873","26","Minerals"
"Mineral fuels, oils and waxes","436602757","10.643586272129435","27","Minerals"
"Inorganic chemicals","67961059","1.6567678124207965","28","Chemicals"
"Organic chemicals","4073421","0.09930264328634039","29","Chemicals"
"Pharmaceutical products","56564816","1.3789480011532027","30","Chemicals"
"Fertilisers","28176209","0.6868850608587657","31","Chemicals"
"Dyes, paints, inks, etc.","19547251","0.4765266573922903","32","Chemicals"
"Essential oils","19395440","0.47282577953558397","33","Chemicals"
"Soaps, waxes, and paints","29510489","0.719412396207628","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","4719430","0.11505117536460224","35","Chemicals"
"Explosives","3432308","0.0836734668409802","36","Chemicals"
"Photographic or cinematographic goods","2782496","0.06783222449475981","37","Chemicals"
"Miscellaneous chemical products","21524437","0.5247268792865522","38","Chemicals"
"Plastics","114145695","2.782665782215098","39","Chemicals"
"Rubber","42481688","1.0356267888012576","40","Chemicals"
"Articles of leather","19281867","0.47005707502260596","42","Agriculture"
"Furskins","3839239","0.09359370929447416","43","Agriculture"
"Wood","73142392","1.7830793482641931","44","Agriculture"
"Cork","1251","0.00003049711943627036","45","Agriculture"
"Manufactues of plaiting materials","3222","0.00007854653782866754","46","Agriculture"
"Pulp of wood","601464","0.01466260547131648","47","Agriculture"
"Paper and paperboard","60498374","1.4748410372327363","48","Agriculture"
"Products of the printing industry","20485415","0.4993974004448955","49","Agriculture"
"Silk","5672316","0.13828081417447427","50","Textiles"
"Wool","614183","0.014972671708015058","51","Textiles"
"Cotton","65604048","1.5993081433723528","52","Textiles"
"Other vegetable textile fibres","1216246","0.02964987971693531","53","Textiles"
"Man-made filaments","25935568","0.632262282129106","54","Textiles"
"Man-made staple fibres","4777440","0.11646535434022018","55","Textiles"
"Wadding, felt and nonwovens","6200298","0.15115206126816005","56","Textiles"
"Carpets","7658322","0.18669605173094872","57","Textiles"
"Special woven fabrics","7590662","0.18504662319293272","58","Textiles"
"Impregnated, coated or laminated textile fabrics","11684917","0.284857161752123","59","Textiles"
"Knitted fabrics","12151260","0.29622576140781337","60","Textiles"
"Apparel, knit","102853360","2.5073790602251895","61","Textiles"
"Apparel, not knit","76504471","1.865040758989354","62","Textiles"
"Other made up textile articles","71597293","1.7454126266463976","63","Textiles"
"Footwear","124126909","3.0259897434277074","64","Textiles"
"Headgear","12983193","0.31650678464040705","65","Textiles"
"Umbrellas and walking-sticks","3043615","0.07419783387132214","66","Textiles"
"Feathers and down","248184","0.006050277450176916","67","Textiles"
"Articles of stone, plaster, cement, etc.","24678622","0.6016202099572896","68","Stone"
"Ceramic products","48584908","1.1844122638498857","69","Stone"
"Glass and glassware","26061572","0.6353340319592001","70","Stone"
"Precious metals and stones","8590515","0.20942123259318307","71","Stone"
"Iron and steel","234624556","5.719722707445166","72","Metals"
"Articles of iron or steel","114776369","2.7980404747037877","73","Metals"
"Copper","1403528","0.034215476457353844","74","Metals"
"Nickel","143760","0.003504609024906656","75","Metals"
"Aluminium","13177697","0.32124844069063274","76","Metals"
"Lead","67656","0.0016493310252440505","78","Metals"
"Zinc","88910","0.0021674651391517166","79","Metals"
"Tin","5262","0.00012827805153769353","80","Metals"
"Other base metals","65245","0.0015905552019340203","81","Metals"
"Metal tools and tableware","13236567","0.3226835849122261","82","Metals"
"Miscellaneous articles of base metal","31543321","0.7689691670292685","83","Metals"
"Industrial Machinery","291831833","7.114332746847886","84","Machinery"
"Electrical machinery and equipment","289194354","7.050035774766626","85","Electronics"
"Trains","1473863","0.035930116661630485","86","Vehicles"
"Vehicles","195288654","4.760784496871684","87","Vehicles"
"Aircraft","108319203","2.6406264357574853","88","Vehicles"
"Ships","211730","0.005161594802751017","89","Vehicles"
"Apparatuses (optical, medical, etc.)","30775795","0.7502582700728794","90","Machinery"
"Clocks","1264368","0.030823007120222446","91","Machinery"
"Musical instruments","213201","0.005197455124646104","92","Machinery"
"Arms and ammunition","143107","0.0034886900648811686","93","Machinery"
"Furniture","49879005","1.2159600102696453","94","Textiles"
"Toys","19334195","0.47133273710562845","95","Machinery"
"Miscellaneous manufactured articles","29230995","0.7125988375347895","96","Machinery"
"Art","2931","0.00007145248366723294","97","Textiles"
"Other","6970670","0.1699323385618119","99","Other"
"Travel and tourism","10444214","0.25461106456911825","travel","Services"
"Transport","350367200","8.541319220584832","transport","Services"
"ICT","72956032","1.7785362282177155","ict","Services"
"Insurance and finance","24065642","0.586676865215447","financial","Services"
