"Name","Gross Export","Share","Code","Sector"
"Live animals","10406764","0.2348027363985885","01","Agriculture"
"Meat","3631758","0.08194158302594975","02","Agriculture"
"Fish","125456032","2.8306032126133434","03","Agriculture"
"Diary products","664334","0.01498904376832413","04","Agriculture"
"Animal products","1660659","0.03746863841871917","05","Agriculture"
"Plants","20914100","0.4718746297421293","06","Agriculture"
"Vegetables","75691037","1.7077799216400804","07","Agriculture"
"Fruits and nuts","377821760","8.524607949111825","08","Agriculture"
"Coffee, tea and spices","146634047","3.308432427678694","09","Agriculture"
"Cereals","37330870","0.8422781979239633","10","Agriculture"
"Flours, starches and malts","86205135","1.945004382688964","11","Agriculture"
"Oil seeds and oleaginous fruits","99656235","2.2484949862590127","12","Agriculture"
"Lac and other vegetable extracts","2884240","0.06507569926926995","13","Agriculture"
"Other vegetable materials","1024337","0.02311161573322129","14","Agriculture"
"Animal or vegetable fats, oils or waxes","19002225","0.42873792733857213","15","Agriculture"
"Preparations of meat or fish","10033984","0.22639188321938067","16","Agriculture"
"Sugar and candy","5125546","0.11564519252448117","17","Agriculture"
"Cocoa","21039848","0.4747118204862116","18","Agriculture"
"Preparations of cereals, flour, starch or milk","9111193","0.20557140031768423","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","10415665","0.23500356531684627","20","Agriculture"
"Miscellaneous edible preparations","1924321","0.04341751542643499","21","Agriculture"
"Beverages","26257467","0.5924344111671637","22","Agriculture"
"Food residues and animal feed","53485137","1.2067590390493523","23","Agriculture"
"Tobacco","262003663","5.911460759449683","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","119942436","2.7062026373532224","25","Minerals"
"Ores, slag and ash","22442983","0.5063700705951439","26","Minerals"
"Mineral fuels, oils and waxes","102850364","2.3205625597727475","27","Minerals"
"Inorganic chemicals","3699704","0.08347461545825421","28","Chemicals"
"Organic chemicals","401811","0.009065865461641414","29","Chemicals"
"Pharmaceutical products","23281990","0.5253001760013558","30","Chemicals"
"Fertilisers","3331082","0.0751575772034499","31","Chemicals"
"Dyes, paints, inks, etc.","3132862","0.07068523609828711","32","Chemicals"
"Essential oils","42373290","0.9560478590857778","33","Chemicals"
"Soaps, waxes, and paints","44177373","0.996752503208598","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","713905","0.01610749004480493","35","Chemicals"
"Explosives","294459","0.006643734686132209","36","Chemicals"
"Photographic or cinematographic goods","287815","0.006493829357191125","37","Chemicals"
"Miscellaneous chemical products","4865542","0.10977884918522811","38","Chemicals"
"Plastics","64058140","1.4453125448606192","39","Chemicals"
"Rubber","2555692","0.057662831115607265","40","Chemicals"
"Leather and skins","6663470","0.15034462104741708","41","Agriculture"
"Articles of leather","1146321","0.02586388118258148","42","Agriculture"
"Furskins","985556","0.022236618959942524","43","Agriculture"
"Wood","56609333","1.2772487484196737","44","Agriculture"
"Cork","1422381","0.03209248821260487","45","Agriculture"
"Manufactues of plaiting materials","308990","0.006971590546283154","46","Agriculture"
"Pulp of wood","446804","0.010081020558728433","47","Agriculture"
"Paper and paperboard","60542979","1.366001683032524","48","Agriculture"
"Products of the printing industry","5230844","0.11802097990058565","49","Agriculture"
"Silk","71228","0.0016070825962997395","50","Textiles"
"Wool","3030","0.00006836441100112612","51","Textiles"
"Cotton","52330975","1.1807182452111074","52","Textiles"
"Other vegetable textile fibres","25742637","0.5808185531751802","53","Textiles"
"Man-made filaments","272552","0.0061494577383428796","54","Textiles"
"Man-made staple fibres","1413050","0.031881957414238035","55","Textiles"
"Wadding, felt and nonwovens","3698089","0.0834381770015655","56","Textiles"
"Carpets","1255541","0.02832815873028544","57","Textiles"
"Special woven fabrics","255331","0.005760908721230538","58","Textiles"
"Impregnated, coated or laminated textile fabrics","555553","0.012534671163336175","59","Textiles"
"Knitted fabrics","3801677","0.0857753824823525","60","Textiles"
"Apparel, knit","20367024","0.45953122099201305","61","Textiles"
"Apparel, not knit","10059531","0.22696828771041885","62","Textiles"
"Other made up textile articles","15360640","0.3465746225083623","63","Textiles"
"Footwear","594360","0.013410254561923865","64","Textiles"
"Headgear","37900","0.0008551192003111153","65","Textiles"
"Umbrellas and walking-sticks","1975","0.00004456096096608055","66","Textiles"
"Feathers and down","1518972","0.03427182379775661","67","Textiles"
"Articles of stone, plaster, cement, etc.","721665","0.016282575137005834","68","Stone"
"Ceramic products","11467624","0.25873840275326004","69","Stone"
"Glass and glassware","15019327","0.3388737438905315","70","Stone"
"Precious metals and stones","1053416302","23.767717830103756","71","Stone"
"Iron and steel","49617655","1.1194989304726337","72","Metals"
"Articles of iron or steel","84567303","1.9080507787289653","73","Metals"
"Copper","310206637","6.9990409330512","74","Metals"
"Nickel","929141","0.02096375485214433","75","Metals"
"Aluminium","10902476","0.24598724428842025","76","Metals"
"Lead","20709600","0.46726059606235026","78","Metals"
"Zinc","369811","0.008343865081431501","79","Metals"
"Tin","56240","0.0012689156682189216","80","Metals"
"Other base metals","38986205","0.879626713529425","81","Metals"
"Metal tools and tableware","28538117","0.6438916038898429","82","Metals"
"Miscellaneous articles of base metal","79244259","1.7879495352328998","83","Metals"
"Industrial Machinery","131501017","2.9669932584996936","84","Machinery"
"Electrical machinery and equipment","181601927","4.09739563565165","85","Electronics"
"Trains","1987007","0.04483186904624244","86","Vehicles"
"Vehicles","100708435","2.27223526126079","87","Vehicles"
"Aircraft","1883320","0.042492429876779154","88","Vehicles"
"Ships","14085971","0.3178148880508064","89","Vehicles"
"Apparatuses (optical, medical, etc.)","22687674","0.5118909141899547","90","Machinery"
"Clocks","7980","0.000180048844814847","91","Machinery"
"Musical instruments","13327185","0.3006947699102452","92","Machinery"
"Arms and ammunition","173355","0.0039113242472277945","93","Machinery"
"Furniture","79935139","1.803537523441632","94","Textiles"
"Toys","40414683","0.9118567653769718","95","Machinery"
"Miscellaneous manufactured articles","9680922","0.21842591764945338","96","Machinery"
"Art","2222717","0.0501500787218449","97","Textiles"
"Other","9674388","0.21827849419681927","99","Other"
