"Name","Gross Import","Share","Code","Sector"
"Live animals","3960361","0.035053490002135715","01","Agriculture"
"Meat","8731603","0.07728415628351007","02","Agriculture"
"Fish","21274316","0.1883007693511465","03","Agriculture"
"Diary products","17359438","0.1536498532269394","04","Agriculture"
"Animal products","334992","0.002965042510719464","05","Agriculture"
"Plants","1323221","0.011711940930161676","06","Agriculture"
"Vegetables","17146126","0.15176181068250072","07","Agriculture"
"Fruits and nuts","6158599","0.05451028036930548","08","Agriculture"
"Coffee, tea and spices","3091146","0.027359994557602657","09","Agriculture"
"Cereals","267441435","2.367146749483022","10","Agriculture"
"Flours, starches and malts","34787916","0.3079107853302103","11","Agriculture"
"Oil seeds and oleaginous fruits","18934961","0.16759494048757922","12","Agriculture"
"Lac and other vegetable extracts","2118666","0.018752491868510187","13","Agriculture"
"Other vegetable materials","122859","0.0010874353949481858","14","Agriculture"
"Animal or vegetable fats, oils or waxes","367692114","3.2544739840542682","15","Agriculture"
"Preparations of meat or fish","5455862","0.048290295776075","16","Agriculture"
"Sugar and candy","126375994","1.118564606153066","17","Agriculture"
"Cocoa","4753292","0.04207178931396195","18","Agriculture"
"Preparations of cereals, flour, starch or milk","27199537","0.24074540131372382","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","21342078","0.1889005365414417","20","Agriculture"
"Miscellaneous edible preparations","36376775","0.3219739106542157","21","Agriculture"
"Beverages","49160563","0.43512429892625015","22","Agriculture"
"Food residues and animal feed","20825340","0.1843268448207315","23","Agriculture"
"Tobacco","12752230","0.11287106574626282","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","57030636","0.5047829803498826","25","Minerals"
"Ores, slag and ash","1733327","0.015341823804681414","26","Minerals"
"Mineral fuels, oils and waxes","1796420347","15.90026835260666","27","Minerals"
"Inorganic chemicals","147152828","1.3024621202673181","28","Chemicals"
"Organic chemicals","82318307","0.7286062940770396","29","Chemicals"
"Pharmaceutical products","286086869","2.5321790620182885","30","Chemicals"
"Fertilisers","138827472","1.2287736905231055","31","Chemicals"
"Dyes, paints, inks, etc.","55355182","0.4899533953605247","32","Chemicals"
"Essential oils","98040534","0.8677650543405125","33","Chemicals"
"Soaps, waxes, and paints","76969643","0.6812648168610022","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","14579903","0.12904795397253144","35","Chemicals"
"Explosives","11877251","0.10512655265046708","36","Chemicals"
"Photographic or cinematographic goods","5284712","0.04677543265782252","37","Chemicals"
