"Name","Gross Export","Share","Code","Sector"
"Live animals","287389581","0.08550313302362238","01","Agriculture"
"Meat","1040748915","0.3096399410646542","02","Agriculture"
"Fish","1549091638","0.460880272446951","03","Agriculture"
"Diary products","338751436","0.10078413070323208","04","Agriculture"
"Animal products","65083990","0.019363558815579014","05","Agriculture"
"Plants","136541237","0.04062326654222357","06","Agriculture"
"Vegetables","1242356881","0.36962163099070594","07","Agriculture"
"Fruits and nuts","2809878568","0.8359851465176449","08","Agriculture"
"Coffee, tea and spices","143960436","0.04283060042265999","09","Agriculture"
"Cereals","5428243220","1.6149917492111039","10","Agriculture"
"Flours, starches and malts","1559592729","0.4640045199493897","11","Agriculture"
"Oil seeds and oleaginous fruits","322038011","0.09581161153227669","12","Agriculture"
"Lac and other vegetable extracts","29725033","0.008843686823603272","13","Agriculture"
"Other vegetable materials","14078135","0.004188476998508565","14","Agriculture"
"Animal or vegetable fats, oils or waxes","761632105","0.22659809364792707","15","Agriculture"
"Preparations of meat or fish","6664306566","1.9827409498985908","16","Agriculture"
"Sugar and candy","3012435344","0.8962491230435166","17","Agriculture"
"Cocoa","53544409","0.015930343436487502","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1438427900","0.42795598800288376","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1941557588","0.5776453556254268","20","Agriculture"
"Miscellaneous edible preparations","2187825743","0.6509141872343468","21","Agriculture"
"Beverages","1912821424","0.5690958736138273","22","Agriculture"
"Food residues and animal feed","1745881110","0.5194283810579741","23","Agriculture"
"Tobacco","181841471","0.05410083215272919","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","987621268","0.29383359118632285","25","Minerals"
"Ores, slag and ash","181828296","0.054096912373265846","26","Minerals"
"Mineral fuels, oils and waxes","10568821586","3.144398467147943","27","Minerals"
"Inorganic chemicals","827522645","0.24620161437061577","28","Chemicals"
"Organic chemicals","6060249266","1.8030239556496235","29","Chemicals"
"Pharmaceutical products","574837598","0.17102365171955752","30","Chemicals"
"Fertilisers","291745391","0.08679905822926032","31","Chemicals"
"Dyes, paints, inks, etc.","668145867","0.19878439832961273","32","Chemicals"
"Essential oils","2088593734","0.6213910304232853","33","Chemicals"
"Soaps, waxes, and paints","815219547","0.2425412401105737","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","855955854","0.25466096228071083","35","Chemicals"
"Explosives","34502373","0.010265024145915845","36","Chemicals"
"Photographic or cinematographic goods","16597752","0.00493810454857476","37","Chemicals"
"Miscellaneous chemical products","1015803037","0.30221813155575256","38","Chemicals"
"Plastics","14396832347","4.283294707487432","39","Chemicals"
"Rubber","14966265398","4.452710417473453","40","Chemicals"
