"Name","Gross Import","Share","Code","Sector"
"Live animals","66184784","0.024592035191643373","01","Agriculture"
"Meat","176629345","0.06562951188473952","02","Agriculture"
"Fish","3211120309","1.1931440864644771","03","Agriculture"
"Diary products","660401744","0.24538303137879328","04","Agriculture"
"Animal products","212119051","0.07881629056929451","05","Agriculture"
"Plants","41622852","0.01546564904042844","06","Agriculture"
"Vegetables","1020061317","0.3790204075501415","07","Agriculture"
"Fruits and nuts","1149406854","0.42708084992895184","08","Agriculture"
"Coffee, tea and spices","368147285","0.13679112389983716","09","Agriculture"
"Cereals","634158508","0.23563192932405816","10","Agriculture"
"Flours, starches and malts","258129165","0.09591209831053492","11","Agriculture"
"Oil seeds and oleaginous fruits","1257268474","0.46715859279606864","12","Agriculture"
"Lac and other vegetable extracts","101960450","0.037885066974847184","13","Agriculture"
"Other vegetable materials","34981787","0.012998053101911952","14","Agriculture"
"Animal or vegetable fats, oils or waxes","407587676","0.15144584398541114","15","Agriculture"
"Preparations of meat or fish","471488363","0.17518918570991066","16","Agriculture"
"Sugar and candy","198388986","0.07371466114245298","17","Agriculture"
"Cocoa","176504548","0.06558314152541628","18","Agriculture"
"Preparations of cereals, flour, starch or milk","543540621","0.20196137649583765","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","468252901","0.17398699707142806","20","Agriculture"
"Miscellaneous edible preparations","858744415","0.3190804834281426","21","Agriculture"
"Beverages","417552586","0.15514846870654883","22","Agriculture"
"Food residues and animal feed","1932050567","0.7178848772203974","23","Agriculture"
"Tobacco","306384259","0.11384206496003035","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","344866278","0.12814068630921369","25","Minerals"
"Ores, slag and ash","354654196","0.13177754676809075","26","Minerals"
"Mineral fuels, oils and waxes","33755942739","12.54257068761585","27","Minerals"
"Inorganic chemicals","2282406320","0.848065267434721","28","Chemicals"
"Organic chemicals","4661492976","1.7320536894309482","29","Chemicals"
"Pharmaceutical products","2005429650","0.7451500714600058","30","Chemicals"
"Fertilisers","1428511202","0.5307866193420042","31","Chemicals"
"Dyes, paints, inks, etc.","1223391178","0.45457093132648185","32","Chemicals"
"Essential oils","1410974440","0.5242705496022968","33","Chemicals"
"Soaps, waxes, and paints","727475439","0.27030535594018423","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","385984357","0.1434187787145734","35","Chemicals"
"Explosives","85320152","0.03170209304513801","36","Chemicals"
"Photographic or cinematographic goods","170291632","0.06327463132593109","37","Chemicals"
"Miscellaneous chemical products","3221717120","1.1970815043010479","38","Chemicals"
"Plastics","7658967648","2.8458142574171434","39","Chemicals"
"Rubber","2257750282","0.8389039146654423","40","Chemicals"
"Leather and skins","646302169","0.24014410448908377","41","Agriculture"
"Articles of leather","495589863","0.18414449084728773","42","Agriculture"
"Furskins","196866763","0.07314905437722535","43","Agriculture"
"Wood","565047692","0.209952679253601","44","Agriculture"
"Cork","1815513","0.0006745834448426398","45","Agriculture"
"Manufactues of plaiting materials","24961787","0.00927495879340342","46","Agriculture"
"Pulp of wood","764278135","0.2839799974586842","47","Agriculture"
"Paper and paperboard","1647735918","0.6122431355519842","48","Agriculture"
"Products of the printing industry","166101669","0.061717782284198414","49","Agriculture"
"Silk","12842090","0.004771687843149136","50","Textiles"
"Wool","119099405","0.044253325040144974","51","Textiles"
"Cotton","826990651","0.30728185488302057","52","Textiles"
"Other vegetable textile fibres","19390960","0.007205027226798065","53","Textiles"
"Man-made filaments","933752938","0.34695112265677847","54","Textiles"
"Man-made staple fibres","388430489","0.1443276789268549","55","Textiles"
"Wadding, felt and nonwovens","283578579","0.10536824286325719","56","Textiles"
"Carpets","69609886","0.02586468766292692","57","Textiles"
"Special woven fabrics","158384962","0.058850514029495024","58","Textiles"
"Impregnated, coated or laminated textile fabrics","574295885","0.21338899609215276","59","Textiles"
"Knitted fabrics","458614264","0.1704056044011207","60","Textiles"
"Apparel, knit","683858282","0.2540986903733156","61","Textiles"
"Apparel, not knit","613401896","0.22791947183891642","62","Textiles"
"Other made up textile articles","582718674","0.21651862062186017","63","Textiles"
"Footwear","575199736","0.21372483666239625","64","Textiles"
"Headgear","39427716","0.014650010482743591","65","Textiles"
"Umbrellas and walking-sticks","68666565","0.025514181370891335","66","Textiles"
"Feathers and down","28697181","0.01066290531450491","67","Textiles"
"Articles of stone, plaster, cement, etc.","376418787","0.13986453527898057","68","Stone"
"Ceramic products","668524422","0.24840114477516528","69","Stone"
"Glass and glassware","695332632","0.2583621721276904","70","Stone"
"Precious metals and stones","11445534235","4.252774787242321","71","Stone"
"Iron and steel","11377905887","4.227646372318905","72","Metals"
"Articles of iron or steel","4111935226","1.5278565505864614","73","Metals"
"Copper","3937210675","1.4629347959572392","74","Metals"
"Nickel","96585516","0.03588792264510576","75","Metals"
"Aluminium","3136267479","1.1653312975075152","76","Metals"
"Lead","269846679","0.10026593161225837","78","Metals"
"Zinc","505792807","0.18793556098066413","79","Metals"
"Tin","91495236","0.03399654614842764","80","Metals"
"Other base metals","108245502","0.04022038048082325","81","Metals"
"Metal tools and tableware","839228609","0.3118290676352727","82","Metals"
"Miscellaneous articles of base metal","628971753","0.23370470596875592","83","Metals"
"Industrial Machinery","26676690809","9.912159253575826","84","Machinery"
"Electrical machinery and equipment","34973994913","12.995157824989686","85","Electronics"
"Trains","113067803","0.04201218501246147","86","Vehicles"
"Vehicles","9278962016","3.44774956792779","87","Vehicles"
"Aircraft","2278737777","0.846702160492224","88","Vehicles"
"Ships","1320768971","0.4907532374036698","89","Vehicles"
"Apparatuses (optical, medical, etc.)","5853089333","2.1748107368148006","90","Machinery"
"Clocks","637076677","0.23671622257706873","91","Machinery"
"Musical instruments","46106756","0.01713171665143629","92","Machinery"
"Arms and ammunition","279000018","0.1036670039011555","93","Machinery"
"Furniture","1306507112","0.4854540112488143","94","Textiles"
"Toys","591147928","0.21965064732768577","95","Machinery"
"Miscellaneous manufactured articles","377649723","0.1403219096118886","96","Machinery"
"Art","24194375","0.008989814357327456","97","Textiles"
"Other","3896825088","1.4479288728928204","99","Other"
"Unspecified","14789622784","5.495325390428993","unspecified","Services"
"Travel and tourism","12352397312","4.589734543786755","travel","Services"
"Transport","18988718080","7.055567685580945","transport","Services"
"ICT","5854859776","2.175468573766581","ict","Services"
"Insurance and finance","3308739840","1.2294162142354723","financial","Services"
