"Name","Gross Export","Share","Code","Sector"
"Live animals","981283","0.049258996917848366","01","Agriculture"
"Meat","3431774","0.17227012481491288","02","Agriculture"
"Fish","3868423","0.1941892773378666","03","Agriculture"
"Diary products","3910376","0.19629525766942688","04","Agriculture"
"Animal products","1035","0.000051955513149594004","05","Agriculture"
"Plants","9307","0.0004671980298389096","06","Agriculture"
"Vegetables","3187787","0.16002232791942494","07","Agriculture"
"Fruits and nuts","70295173","3.528716700632353","08","Agriculture"
"Coffee, tea and spices","13968067","0.7011768972878358","09","Agriculture"
"Cereals","9913561","0.4976465206713066","10","Agriculture"
"Flours, starches and malts","5744286","0.2883549051285302","11","Agriculture"
"Oil seeds and oleaginous fruits","126986009","6.374515227453105","12","Agriculture"
"Lac and other vegetable extracts","52768","0.0026488777950509916","13","Agriculture"
"Other vegetable materials","23958","0.001202657182645385","14","Agriculture"
"Animal or vegetable fats, oils or waxes","50565868","2.5383339321687295","15","Agriculture"
"Preparations of meat or fish","768526","0.03857890115826559","16","Agriculture"
"Sugar and candy","6400413","0.3212915379558767","17","Agriculture"
"Cocoa","18038934","0.9055285726006362","18","Agriculture"
"Preparations of cereals, flour, starch or milk","5441462","0.2731535753565373","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","3163633","0.15880983181834737","20","Agriculture"
"Miscellaneous edible preparations","4860774","0.24400387195575332","21","Agriculture"
"Beverages","11512407","0.577906293016404","22","Agriculture"
"Food residues and animal feed","1228774","0.06168268957959346","23","Agriculture"
"Tobacco","3098","0.0001555151495047751","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","200128803","10.046178411477303","25","Minerals"
"Ores, slag and ash","180111","0.00904131345786138","26","Minerals"
"Mineral fuels, oils and waxes","810360417","40.67892879357873","27","Minerals"
"Inorganic chemicals","393721","0.019764228592049567","28","Chemicals"
"Organic chemicals","267522","0.013429220085802598","29","Chemicals"
"Pharmaceutical products","2028241","0.10181478448893304","30","Chemicals"
"Fertilisers","4137907","0.20771698700511798","31","Chemicals"
"Dyes, paints, inks, etc.","1821535","0.09143844023666253","32","Chemicals"
"Essential oils","3273239","0.1643118955616077","33","Chemicals"
"Soaps, waxes, and paints","6223338","0.3124026273365875","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","38762","0.0019457967156565827","35","Chemicals"
"Explosives","1041907","0.05230223462720198","36","Chemicals"
"Miscellaneous chemical products","14923061","0.7491162241716846","38","Chemicals"
"Plastics","18610823","0.9342365788418034","39","Chemicals"
"Rubber","450526","0.022615757987665693","40","Chemicals"
"Leather and skins","852913","0.04281500733039582","41","Agriculture"
"Articles of leather","192151","0.009645704161553272","42","Agriculture"
"Wood","8774934","0.44048908098919765","44","Agriculture"
"Manufactues of plaiting materials","1264901","0.06349621308061315","46","Agriculture"
"Pulp of wood","154696","0.007765516968299125","47","Agriculture"
"Paper and paperboard","4830311","0.2424746731179986","48","Agriculture"
"Products of the printing industry","285627","0.01433806507669477","49","Agriculture"
"Silk","2303","0.00011560729157827537","50","Textiles"
"Wool","11746","0.0005896323260436051","51","Textiles"
"Cotton","46693620","2.3439526453257447","52","Textiles"
"Other vegetable textile fibres","36859","0.0018502688494501309","53","Textiles"
"Man-made filaments","277180","0.013914037811405282","54","Textiles"
"Man-made staple fibres","3109137","0.1560742109056901","55","Textiles"
"Wadding, felt and nonwovens","914543","0.045908744794559565","56","Textiles"
"Carpets","101639","0.005102131788416991","57","Textiles"
"Special woven fabrics","75087","0.003769259532235329","58","Textiles"
"Impregnated, coated or laminated textile fabrics","14343","0.0007199979952701709","59","Textiles"
"Knitted fabrics","3584","0.00017991165133154097","60","Textiles"
"Apparel, knit","6541111","0.3283543754332889","61","Textiles"
"Apparel, not knit","755936","0.037946901244687435","62","Textiles"
"Other made up textile articles","7813528","0.3922278809166386","63","Textiles"
"Footwear","1789290","0.08981978755887639","64","Textiles"
"Headgear","49046","0.002462038741966172","65","Textiles"
"Umbrellas and walking-sticks","5692","0.00028573022304105225","66","Textiles"
"Feathers and down","8783918","0.44094006488304877","67","Textiles"
"Articles of stone, plaster, cement, etc.","29046","0.0014580674733749833","68","Stone"
"Ceramic products","749573","0.03762748778558515","69","Stone"
"Glass and glassware","1649960","0.08282562171623586","70","Stone"
"Precious metals and stones","302354265","15.17774974980032","71","Stone"
"Iron and steel","66640443","3.3452545049094393","72","Metals"
"Articles of iron or steel","2934293","0.14729729328141222","73","Metals"
"Copper","28146472","1.4129124600103184","74","Metals"
"Nickel","365668","0.018356008292160136","75","Metals"
"Aluminium","16859137","0.8463044580621323","76","Metals"
"Lead","2093569","0.10509415624065929","78","Metals"
"Zinc","105073","0.005274513655234098","79","Metals"
"Other base metals","1180","0.00005923430484688012","81","Metals"
"Metal tools and tableware","92151","0.004625847818597331","82","Metals"
"Miscellaneous articles of base metal","145629","0.0073103665936833095","83","Metals"
"Industrial Machinery","5946176","0.298489493099324","84","Machinery"
"Electrical machinery and equipment","7082635","0.35553810229591765","85","Electronics"
"Trains","2280592","0.11448244216894579","86","Vehicles"
"Vehicles","21944051","1.101559836024987","87","Vehicles"
"Aircraft","263483","0.013226468088110607","88","Vehicles"
"Ships","15876314","0.7969681553566024","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1409169","0.07073825942946883","90","Machinery"
"Clocks","1905","0.00009562826333331072","91","Machinery"
"Musical instruments","9428","0.0004732720560138863","92","Machinery"
"Arms and ammunition","6089","0.00030565905272258737","93","Machinery"
"Furniture","1162063","0.05833389321464412","94","Textiles"
"Toys","113567","0.005700900253004775","95","Machinery"
"Miscellaneous manufactured articles","71727","0.0036005923591120093","96","Machinery"
"Art","49385","0.0024790560549687924","97","Textiles"
"Other","12134133","0.6091160450632102","99","Other"
