"Name","Gross Import","Share","Code","Sector"
"Live animals","611265","0.005131046776009962","01","Agriculture"
"Meat","22074316","0.18529499962279064","02","Agriculture"
"Fish","14123951","0.11855848648797604","03","Agriculture"
"Diary products","14962969","0.12560132487053408","04","Agriculture"
"Animal products","2178109","0.018283361818930057","05","Agriculture"
"Plants","34386","0.00028864105492687876","06","Agriculture"
"Vegetables","5431273","0.04559089072052212","07","Agriculture"
"Fruits and nuts","12357416","0.10372993632322139","08","Agriculture"
"Coffee, tea and spices","67275463","0.5647199619325947","09","Agriculture"
"Cereals","209139619","1.7555481956367562","10","Agriculture"
"Flours, starches and malts","25994110","0.2181983171140967","11","Agriculture"
"Oil seeds and oleaginous fruits","55448445","0.46544226309704584","12","Agriculture"
"Lac and other vegetable extracts","256500","0.0021530980802868726","13","Agriculture"
"Other vegetable materials","2385","0.00002002003478161478","14","Agriculture"
"Animal or vegetable fats, oils or waxes","216174008","1.8145958738117702","15","Agriculture"
"Preparations of meat or fish","16330252","0.13707849603041272","16","Agriculture"
"Sugar and candy","127797624","1.0727517306028211","17","Agriculture"
"Cocoa","4150405","0.034839099563013794","18","Agriculture"
"Preparations of cereals, flour, starch or milk","97327624","0.816982145782778","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","42444704","0.35628698128945246","20","Agriculture"
"Miscellaneous edible preparations","41255811","0.34630724157808207","21","Agriculture"
"Beverages","53462004","0.4487677901781252","22","Agriculture"
"Food residues and animal feed","2563500","0.021518389586024946","23","Agriculture"
"Tobacco","14674519","0.12318003387147462","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","49166615","0.41271167395985875","25","Minerals"
"Ores, slag and ash","2359784","0.01980836803232623","26","Minerals"
"Mineral fuels, oils and waxes","7200740774","60.44405901420199","27","Minerals"
"Inorganic chemicals","13290424","0.11156174035321086","28","Chemicals"
"Organic chemicals","38076599","0.3196204764551776","29","Chemicals"
"Pharmaceutical products","81123420","0.6809617148861821","30","Chemicals"
"Fertilisers","13146996","0.11035778498689745","31","Chemicals"
"Dyes, paints, inks, etc.","13788416","0.11574195719219027","32","Chemicals"
"Essential oils","44416787","0.37284093108074434","33","Chemicals"
"Soaps, waxes, and paints","50138069","0.42086619927169894","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","4855273","0.0407558634525095","35","Chemicals"
"Explosives","2474581","0.02077199064567006","36","Chemicals"
