"Name","Gross Export","Share","Code","Sector"
"Live animals","38101","0.0003613647254601816","01","Agriculture"
"Meat","29226","0.00027719076838663727","02","Agriculture"
"Fish","23211023","0.22014238350817456","03","Agriculture"
"Diary products","1890891","0.017933946801662114","04","Agriculture"
"Animal products","11651","0.00011050262240719602","05","Agriculture"
"Plants","2791","0.000026470931176592914","06","Agriculture"
"Vegetables","732553","0.0069478180029404054","07","Agriculture"
"Fruits and nuts","312770","0.0029664325131146425","08","Agriculture"
"Coffee, tea and spices","1643456","0.015587176878451698","09","Agriculture"
"Cereals","362223","0.0034354640285127257","10","Agriculture"
"Flours, starches and malts","2169622","0.02057754017958505","11","Agriculture"
"Oil seeds and oleaginous fruits","164865","0.0015636438797667473","12","Agriculture"
"Lac and other vegetable extracts","227485","0.002157556352098617","13","Agriculture"
"Animal or vegetable fats, oils or waxes","3618949","0.034323522003081246","15","Agriculture"
"Preparations of meat or fish","2667216","0.025296915503084","16","Agriculture"
"Sugar and candy","4290400","0.04069182483699543","17","Agriculture"
"Cocoa","4634614","0.04395648449447295","18","Agriculture"
"Preparations of cereals, flour, starch or milk","38551417","0.36563665573885135","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","10877328","0.10316481579119566","20","Agriculture"
"Miscellaneous edible preparations","31063326","0.29461668386315637","21","Agriculture"
"Beverages","62983366","0.5973587770176145","22","Agriculture"
"Food residues and animal feed","1063555","0.010087169905955314","23","Agriculture"
"Tobacco","14677979","0.13921167034055038","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","33407772","0.31685232295783156","25","Minerals"
"Ores, slag and ash","9316879","0.08836490963441197","26","Minerals"
"Mineral fuels, oils and waxes","4951010823","46.95731520967383","27","Minerals"
"Inorganic chemicals","1070199591","10.150189795262948","28","Chemicals"
"Organic chemicals","1573812509","14.9266508816195","29","Chemicals"
"Pharmaceutical products","1114034","0.010565932405010574","30","Chemicals"
"Fertilisers","288824096","2.7393202319447028","31","Chemicals"
"Dyes, paints, inks, etc.","18296553","0.1735316356975581","32","Chemicals"
"Essential oils","6044247","0.05732599295998861","33","Chemicals"
"Soaps, waxes, and paints","14511111","0.13762902922855622","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","680922","0.00645812948714726","35","Chemicals"
"Explosives","1640655","0.01556061110337981","36","Chemicals"
"Photographic or cinematographic goods","66135","0.000627250101527758","37","Chemicals"
"Miscellaneous chemical products","54764886","0.5194115113579207","38","Chemicals"
"Plastics","23264954","0.22065388611988537","39","Chemicals"
"Rubber","1844054","0.017489726449272974","40","Chemicals"
"Leather and skins","2970","0.000028168636902357922","41","Agriculture"
"Articles of leather","144628","0.0013717082888600072","42","Agriculture"
"Wood","4088386","0.038775845370600505","44","Agriculture"
"Manufactues of plaiting materials","8316","0.00007887218332660219","46","Agriculture"
"Pulp of wood","1037598","0.009840983606940329","47","Agriculture"
"Paper and paperboard","27681409","0.26254126567901104","48","Agriculture"
