"Name","Gross Import","Share","Code","Sector"
"Live animals","1225706","0.014951595104682944","01","Agriculture"
"Meat","82031551","1.0006498592330861","02","Agriculture"
"Fish","27491488","0.33535088952917735","03","Agriculture"
"Diary products","105208366","1.2833688421671197","04","Agriculture"
"Animal products","1290722","0.015744683257409672","05","Agriculture"
"Plants","1893772","0.02310090035015381","06","Agriculture"
"Vegetables","43624438","0.5321463170167599","07","Agriculture"
"Fruits and nuts","28455630","0.3471118344926672","08","Agriculture"
"Coffee, tea and spices","9285124","0.11326322506765416","09","Agriculture"
"Cereals","69389045","0.8464321016137838","10","Agriculture"
"Flours, starches and malts","18292419","0.22313739377404473","11","Agriculture"
"Oil seeds and oleaginous fruits","17883402","0.21814805981065374","12","Agriculture"
"Lac and other vegetable extracts","803037","0.009795729218980144","13","Agriculture"
"Other vegetable materials","122602","0.001495542538768953","14","Agriculture"
"Animal or vegetable fats, oils or waxes","48651806","0.5934719291768045","15","Agriculture"
"Preparations of meat or fish","17613210","0.21485216227525414","16","Agriculture"
"Sugar and candy","24682623","0.30108736125754026","17","Agriculture"
"Cocoa","12949227","0.15795924881058604","18","Agriculture"
"Preparations of cereals, flour, starch or milk","55694839","0.6793853355931232","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","47917019","0.5845087375858481","20","Agriculture"
"Miscellaneous edible preparations","56166202","0.6851351881053314","21","Agriculture"
"Beverages","46779827","0.5706368675450026","22","Agriculture"
"Food residues and animal feed","54246052","0.6617125195859174","23","Agriculture"
"Tobacco","17888219","0.21820681927957963","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","11594611","0.14143516395310377","25","Minerals"
"Ores, slag and ash","230955137","2.8172724093465957","26","Minerals"
"Mineral fuels, oils and waxes","1183267145","14.433910948232418","27","Minerals"
"Inorganic chemicals","28787493","0.3511600166882552","28","Chemicals"
"Organic chemicals","31755900","0.3873696946778437","29","Chemicals"
"Pharmaceutical products","64800034","0.790453723109529","30","Chemicals"
"Fertilisers","3901360","0.04759016850501331","31","Chemicals"
"Dyes, paints, inks, etc.","32396600","0.39518517978077244","32","Chemicals"
"Essential oils","64905508","0.7917403322491362","33","Chemicals"
"Soaps, waxes, and paints","43467706","0.5302344446722113","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","5783562","0.0705499339048926","35","Chemicals"
"Explosives","1969631","0.024026255250142996","36","Chemicals"
"Photographic or cinematographic goods","1707047","0.020823162788355207","37","Chemicals"
