"Name","Gross Export","Share","Code","Sector"
"Live animals","118879","0.0006203193860123164","01","Agriculture"
"Meat","434069","0.002265004042488414","02","Agriculture"
"Fish","163917299","0.8553325505133564","03","Agriculture"
"Diary products","9101470","0.047492141439695136","04","Agriculture"
"Animal products","8257723","0.04308940739087462","05","Agriculture"
"Plants","5641081","0.02943557653047001","06","Agriculture"
"Vegetables","81784330","0.42675666325447453","07","Agriculture"
"Fruits and nuts","322491844","1.6827862167755427","08","Agriculture"
"Coffee, tea and spices","4152413","0.0216675971587039","09","Agriculture"
"Cereals","733659","0.003828286748899386","10","Agriculture"
"Flours, starches and malts","7761639","0.04050080450650872","11","Agriculture"
"Oil seeds and oleaginous fruits","6115375","0.031910477588430845","12","Agriculture"
"Lac and other vegetable extracts","889203","0.004639926807933359","13","Agriculture"
"Other vegetable materials","108816","0.0005678099101465879","14","Agriculture"
"Animal or vegetable fats, oils or waxes","778912395","4.064422300185759","15","Agriculture"
"Preparations of meat or fish","40913713","0.21349077067980157","16","Agriculture"
"Sugar and candy","6080034","0.03172606564501727","17","Agriculture"
"Cocoa","2366806","0.01235016819396417","18","Agriculture"
"Preparations of cereals, flour, starch or milk","18045297","0.09416169008361357","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","8946460","0.046683287832028776","20","Agriculture"
"Miscellaneous edible preparations","27123215","0.14153093545100523","21","Agriculture"
"Beverages","7468311","0.03897019737774569","22","Agriculture"
"Food residues and animal feed","22843057","0.11919675546466868","23","Agriculture"
"Tobacco","259088","0.0013519402845175268","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","188905467","0.9857226533181631","25","Minerals"
"Ores, slag and ash","27632373","0.14418775943121417","26","Minerals"
"Mineral fuels, oils and waxes","1069665459","5.581593223071044","27","Minerals"
"Inorganic chemicals","286615472","1.4955806627972164","28","Chemicals"
"Organic chemicals","3227896","0.016843399295347474","29","Chemicals"
"Pharmaceutical products","33193411","0.17320566568674425","30","Chemicals"
"Fertilisers","118370699","0.6176670339212874","31","Chemicals"
"Dyes, paints, inks, etc.","7112964","0.03711597053481028","32","Chemicals"
"Essential oils","59964245","0.31289785110147394","33","Chemicals"
"Soaps, waxes, and paints","20804242","0.1085580684888975","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","858648","0.004480488565353877","35","Chemicals"
"Miscellaneous chemical products","13844073","0.07223939352845908","38","Chemicals"
"Plastics","400541610","2.090055649758029","39","Chemicals"
"Rubber","27575665","0.14389185290658","40","Chemicals"
"Leather and skins","22779949","0.11886745326821291","41","Agriculture"
"Articles of leather","168568582","0.879603288109816","42","Agriculture"
"Furskins","310458","0.0016199927316230096","43","Agriculture"
"Wood","24240759","0.1264900675422281","44","Agriculture"
"Cork","7542336","0.03935646528502588","45","Agriculture"
"Manufactues of plaiting materials","687867","0.0035893407170159075","46","Agriculture"
"Pulp of wood","2419520","0.012625233732152187","47","Agriculture"
"Paper and paperboard","88030426","0.4593492526579351","48","Agriculture"
"Products of the printing industry","4192051","0.021874431164901433","49","Agriculture"
"Silk","3778929","0.01971873011267034","50","Textiles"
