"Name","Gross Import","Share","Code","Sector"
"Live animals","16588465","0.06837096772011096","01","Agriculture"
"Meat","22640558","0.09331525612425864","02","Agriculture"
"Fish","71548789","0.2948952747063716","03","Agriculture"
"Diary products","51184786","0.21096306085986782","04","Agriculture"
"Animal products","3304447","0.013619598870047201","05","Agriculture"
"Plants","3893434","0.016047165927310484","06","Agriculture"
"Vegetables","33341864","0.1374217269212269","07","Agriculture"
"Fruits and nuts","44256653","0.1824080886123672","08","Agriculture"
"Coffee, tea and spices","76301314","0.3144832675293374","09","Agriculture"
"Cereals","696614763","2.871165323278902","10","Agriculture"
"Flours, starches and malts","17832012","0.0734963673152779","11","Agriculture"
"Oil seeds and oleaginous fruits","283901633","1.1701281212896908","12","Agriculture"
"Lac and other vegetable extracts","3661285","0.015090341303377162","13","Agriculture"
"Other vegetable materials","565098","0.0023291062263265023","14","Agriculture"
"Animal or vegetable fats, oils or waxes","178904490","0.7373722107966538","15","Agriculture"
"Preparations of meat or fish","4947339","0.020390937622585696","16","Agriculture"
"Sugar and candy","148876344","0.6136082940713402","17","Agriculture"
"Cocoa","29990148","0.12360730428218344","18","Agriculture"
"Preparations of cereals, flour, starch or milk","28845552","0.1188897408326076","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","20924007","0.0862403246576688","20","Agriculture"
"Miscellaneous edible preparations","45656380","0.18817719922832643","21","Agriculture"
"Beverages","16614223","0.06847713181585668","22","Agriculture"
"Food residues and animal feed","77159029","0.3180184231075091","23","Agriculture"
"Tobacco","76889639","0.3169081060893811","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","94729052","0.3904349773441191","25","Minerals"
"Ores, slag and ash","1314347","0.005417208663370883","26","Minerals"
"Mineral fuels, oils and waxes","3160650448","13.026927431487016","27","Minerals"
"Inorganic chemicals","134043110","0.5524716811901091","28","Chemicals"
"Organic chemicals","185170578","0.7631985003526419","29","Chemicals"
"Pharmaceutical products","486590718","2.005530847687451","30","Chemicals"
"Fertilisers","25120144","0.10353511036425246","31","Chemicals"
"Dyes, paints, inks, etc.","141049052","0.5813473507792465","32","Chemicals"
"Essential oils","182981261","0.7541750179547173","33","Chemicals"
"Soaps, waxes, and paints","93190680","0.38409442791091225","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","45061984","0.185727338452844","35","Chemicals"
"Explosives","788385","0.003249405257570226","36","Chemicals"
"Photographic or cinematographic goods","11996484","0.049444672567282605","37","Chemicals"
"Miscellaneous chemical products","175524351","0.723440640005837","38","Chemicals"
"Plastics","1243906615","5.126881783275155","39","Chemicals"
"Rubber","155730302","0.6418575468607332","40","Chemicals"
"Leather and skins","208912588","0.8610534977451404","41","Agriculture"
"Articles of leather","39213893","0.16162386408163054","42","Agriculture"
"Furskins","4075097","0.01679590760467114","43","Agriculture"
"Wood","178406848","0.7353211310181348","44","Agriculture"
"Cork","503095","0.002073554847006593","45","Agriculture"
"Manufactues of plaiting materials","4470891","0.018427210971065415","46","Agriculture"
"Pulp of wood","67722629","0.279125385096213","47","Agriculture"
"Paper and paperboard","347379520","1.4317583904567204","48","Agriculture"
"Products of the printing industry","33669543","0.13877228770738512","49","Agriculture"
"Silk","19621657","0.08087256279360924","50","Textiles"
"Wool","43322210","0.17855669113892506","51","Textiles"
"Cotton","468230729","1.9298583719484004","52","Textiles"
"Other vegetable textile fibres","34463346","0.14204402377754755","53","Textiles"
"Man-made filaments","220300175","0.9079885422587199","54","Textiles"
"Man-made staple fibres","313149952","1.2906779053846331","55","Textiles"
"Wadding, felt and nonwovens","73268007","0.3019811984721832","56","Textiles"
"Carpets","12399317","0.05110498785501993","57","Textiles"
"Special woven fabrics","114786426","0.47310339002149415","58","Textiles"
"Impregnated, coated or laminated textile fabrics","136693236","0.5633944325839376","59","Textiles"
"Knitted fabrics","328384300","1.353467748528344","60","Textiles"
"Apparel, knit","109468456","0.4511848607780399","61","Textiles"
"Apparel, not knit","160883256","0.6630959466522278","62","Textiles"
"Other made up textile articles","130847952","0.5393025275355272","63","Textiles"
"Footwear","158634326","0.6538267634918337","64","Textiles"
"Headgear","3579963","0.014755164791449457","65","Textiles"
"Umbrellas and walking-sticks","2997122","0.012352929069400598","66","Textiles"
"Feathers and down","10923018","0.04502027831292353","67","Textiles"
"Articles of stone, plaster, cement, etc.","44064453","0.18161591766732765","68","Stone"
"Ceramic products","63285874","0.26083886896063074","69","Stone"
"Glass and glassware","94786442","0.3906715157964387","70","Stone"
"Precious metals and stones","35605800","0.14675275876633112","71","Stone"
"Iron and steel","741364508","3.055605738403399","72","Metals"
"Articles of iron or steel","330430412","1.361900997626662","73","Metals"
"Copper","418215639","1.7237163266230224","74","Metals"
"Nickel","12340538","0.05086272450445552","75","Metals"
"Aluminium","271116687","1.117433726101868","76","Metals"
"Lead","1376581","0.005673712131599763","78","Metals"
"Zinc","39285716","0.16191988954357422","79","Metals"
"Tin","5778423","0.023816330950823163","80","Metals"
"Other base metals","6002775","0.02474101948288097","81","Metals"
"Metal tools and tableware","75277918","0.3102652416371955","82","Metals"
"Miscellaneous articles of base metal","139580312","0.5752937963889375","83","Metals"
"Industrial Machinery","1883459706","7.762861889937114","84","Machinery"
"Electrical machinery and equipment","3045855935","12.553790710110512","85","Electronics"
"Trains","50873239","0.20967898967665122","86","Vehicles"
"Vehicles","1248096643","5.1441513901456135","87","Vehicles"
"Aircraft","160993328","0.6635496190781508","88","Vehicles"
"Ships","72661895","0.2994830490661488","89","Vehicles"
"Apparatuses (optical, medical, etc.)","457298378","1.8847996267705964","90","Machinery"
"Clocks","26714396","0.11010597463829604","91","Machinery"
"Musical instruments","6749994","0.027820755077998038","92","Machinery"
"Arms and ammunition","25868154","0.10661810614260327","93","Machinery"
"Furniture","114886511","0.47351590005809296","94","Textiles"
"Toys","37447428","0.1543432072219569","95","Machinery"
"Miscellaneous manufactured articles","87133446","0.3591289503765437","96","Machinery"
"Art","316436","0.0013042216709913204","97","Textiles"
"Other","230492528","0.9499973138934056","99","Other"
"Travel and tourism","898021120","3.701281161789104","travel","Services"
"Transport","1531652736","6.312855334804977","transport","Services"
"ICT","530427520","2.18620847967419","ict","Services"
"Insurance and finance","256381184","1.0566999210178778","financial","Services"
