"Name","Gross Export","Share","Code","Sector"
"Live animals","61015082","0.028072015426529137","01","Agriculture"
"Meat","573975090","0.26407630790242076","02","Agriculture"
"Fish","844427528","0.3885069365735158","03","Agriculture"
"Diary products","733131590","0.33730154298827025","04","Agriculture"
"Animal products","60292675","0.02773964808744677","05","Agriculture"
"Plants","97135418","0.044690375939482566","06","Agriculture"
"Vegetables","1064431607","0.48972712176620853","07","Agriculture"
"Fruits and nuts","3806306094","1.7512175659922882","08","Agriculture"
"Coffee, tea and spices","179596127","0.08262916450212894","09","Agriculture"
"Cereals","112217366","0.05162932714695797","10","Agriculture"
"Flours, starches and malts","1254086710","0.5769842523414977","11","Agriculture"
"Oil seeds and oleaginous fruits","312821621","0.14392397883631217","12","Agriculture"
"Lac and other vegetable extracts","23431104","0.010780257788535112","13","Agriculture"
"Other vegetable materials","12398358","0.005704276477734324","14","Agriculture"
"Animal or vegetable fats, oils or waxes","979743917","0.45076373661305713","15","Agriculture"
"Preparations of meat or fish","167300762","0.07697227337552508","16","Agriculture"
"Sugar and candy","572327162","0.2633181238810044","17","Agriculture"
"Cocoa","562363706","0.2587341049570678","18","Agriculture"
"Preparations of cereals, flour, starch or milk","1670071954","0.7683720830876153","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","1856908531","0.85433245714372","20","Agriculture"
"Miscellaneous edible preparations","717741270","0.3302207149979183","21","Agriculture"
"Beverages","345912562","0.15914856554145443","22","Agriculture"
"Food residues and animal feed","239241202","0.11007086269597037","23","Agriculture"
"Tobacco","969602656","0.4460979125920969","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","2431623643","1.1187492367511525","25","Minerals"
"Ores, slag and ash","1281786082","0.5897282686174927","26","Minerals"
"Mineral fuels, oils and waxes","6543580770","3.0105917143597285","27","Minerals"
"Inorganic chemicals","1604096997","0.7380181123977357","28","Chemicals"
"Organic chemicals","610010703","0.2806556887846825","29","Chemicals"
"Pharmaceutical products","1169296990","0.5379739248973572","30","Chemicals"
"Fertilisers","263459648","0.12121336332751198","31","Chemicals"
"Dyes, paints, inks, etc.","710390386","0.32683869661356824","32","Chemicals"
"Essential oils","758155274","0.3488145201121327","33","Chemicals"
"Soaps, waxes, and paints","771419488","0.354917162406849","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","188228195","0.0866006341472709","35","Chemicals"
"Explosives","26750855","0.012307619519922043","36","Chemicals"
"Photographic or cinematographic goods","13773309","0.006336868361864246","37","Chemicals"
"Miscellaneous chemical products","697427075","0.32087449474015445","38","Chemicals"
"Plastics","5812364879","2.6741715523369147","39","Chemicals"
"Rubber","2750221100","1.2653305808155093","40","Chemicals"
"Leather and skins","206820237","0.09515452070657568","41","Agriculture"
"Articles of leather","323812447","0.148980673458509","42","Agriculture"
"Furskins","165569284","0.07617564940103472","43","Agriculture"
"Wood","843753120","0.3881966527689349","44","Agriculture"
"Cork","2013314","0.0009262919890273536","45","Agriculture"
"Manufactues of plaiting materials","1718067","0.000790453798420047","46","Agriculture"
"Pulp of wood","28602342","0.013159457621623162","47","Agriculture"
"Paper and paperboard","2343528849","1.0782183002170524","48","Agriculture"
"Products of the printing industry","101019905","0.0464775632284901","49","Agriculture"
"Silk","7465511","0.0034347563436679966","50","Textiles"
"Wool","151870570","0.06987310094700476","51","Textiles"
"Cotton","1826112153","0.8401635603732915","52","Textiles"
"Other vegetable textile fibres","45433248","0.020903075058283524","53","Textiles"
"Man-made filaments","1582348522","0.728012003978452","54","Textiles"
"Man-made staple fibres","1369122715","0.629910387997044","55","Textiles"
"Wadding, felt and nonwovens","759248137","0.34931732804075405","56","Textiles"
"Carpets","2166458599","0.9967512493397076","57","Textiles"
"Special woven fabrics","449413167","0.20676745721507536","58","Textiles"
"Impregnated, coated or laminated textile fabrics","306045756","0.14080651704533925","59","Textiles"
"Knitted fabrics","1476718644","0.6794134695256362","60","Textiles"
"Apparel, knit","8825710667","4.060561387004393","61","Textiles"
"Apparel, not knit","6206778896","2.8556348234944187","62","Textiles"
"Other made up textile articles","2004059885","0.9220343259951401","63","Textiles"
"Footwear","859258606","0.39533046670346067","64","Textiles"
