"Name","Gross Import","Share","Code","Sector"
"Live animals","1192346783","0.4971660954368568","01","Agriculture"
"Meat","314414346","0.13109957185178475","02","Agriculture"
"Fish","156591260","0.06529297216524435","03","Agriculture"
"Diary products","156614473","0.06530265115858583","04","Agriculture"
"Animal products","46380049","0.01933882675431355","05","Agriculture"
"Plants","56898952","0.023724834254271757","06","Agriculture"
"Vegetables","314552137","0.13115702578585248","07","Agriculture"
"Fruits and nuts","629932836","0.26265953238336187","08","Agriculture"
"Coffee, tea and spices","256590715","0.10698917942390367","09","Agriculture"
"Cereals","1897025860","0.7909921452431556","10","Agriculture"
"Flours, starches and malts","115247349","0.048054035393643314","11","Agriculture"
"Oil seeds and oleaginous fruits","1655267248","0.6901874239322464","12","Agriculture"
"Lac and other vegetable extracts","62445167","0.02603740815921039","13","Agriculture"
"Other vegetable materials","6996141","0.0029171413498883963","14","Agriculture"
"Animal or vegetable fats, oils or waxes","1212806772","0.5056971813498139","15","Agriculture"
"Preparations of meat or fish","29720459","0.012392371721290743","16","Agriculture"
"Sugar and candy","168294628","0.07017285933815307","17","Agriculture"
"Cocoa","499628148","0.20832712349550409","18","Agriculture"
"Preparations of cereals, flour, starch or milk","229846437","0.09583776906400517","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","126298675","0.052662044301081956","20","Agriculture"
"Miscellaneous edible preparations","553679695","0.23086469138888072","21","Agriculture"
"Beverages","383479149","0.1598971322001534","22","Agriculture"
"Food residues and animal feed","1310937744","0.5466142978181556","23","Agriculture"
"Tobacco","619738568","0.25840888610355645","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","409280641","0.17065543441304687","25","Minerals"
"Ores, slag and ash","1053036916","0.4390788479852755","26","Minerals"
"Mineral fuels, oils and waxes","19386067573","8.0832989685212","27","Minerals"
"Inorganic chemicals","1389551571","0.5793934607044772","28","Chemicals"
"Organic chemicals","5874411773","2.4494202574375654","29","Chemicals"
"Pharmaceutical products","4101080048","1.7100041561802555","30","Chemicals"
"Fertilisers","1033822754","0.43106722751140947","31","Chemicals"
"Dyes, paints, inks, etc.","1850741543","0.7716932353195216","32","Chemicals"
"Essential oils","1270700288","0.5298367133309483","33","Chemicals"
"Soaps, waxes, and paints","852011049","0.3552582290150654","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","420756596","0.17544049847335647","35","Chemicals"
"Explosives","56821132","0.023692386088940566","36","Chemicals"
"Photographic or cinematographic goods","120848435","0.050389488549158756","37","Chemicals"
"Miscellaneous chemical products","1982014303","0.8264292957148132","38","Chemicals"
