"Name","Gross Export","Share","Code","Sector"
"Diary products","3771097","0.04453695713644404","04","Agriculture"
"Animal products","146650","0.0017319482272822784","05","Agriculture"
"Vegetables","7956818","0.09397065686946965","07","Agriculture"
"Fruits and nuts","2791709","0.03297030653691089","08","Agriculture"
"Coffee, tea and spices","24597","0.000290492536968716","09","Agriculture"
"Cereals","10891","0.00012862358092963718","10","Agriculture"
"Flours, starches and malts","222787","0.0026311322857929557","11","Agriculture"
"Oil seeds and oleaginous fruits","1131692","0.013365373018953536","12","Agriculture"
"Lac and other vegetable extracts","33014234","0.38990074361665406","13","Agriculture"
"Other vegetable materials","2384848","0.028165245591119586","14","Agriculture"
"Animal or vegetable fats, oils or waxes","6662738","0.07868746858470012","15","Agriculture"
"Sugar and candy","564144","0.006662585753371522","17","Agriculture"
"Cocoa","263859","0.003116195890231672","18","Agriculture"
"Preparations of cereals, flour, starch or milk","688325","0.008129173293856626","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","922657","0.01089665295287818","20","Agriculture"
"Miscellaneous edible preparations","136732","0.0016148158541613399","21","Agriculture"
"Beverages","19298","0.00022791092321918448","22","Agriculture"
"Food residues and animal feed","10333","0.00012203355630758801","23","Agriculture"
"Salt, sulphur, lime, cement, etc.","78749351","0.9300361327247181","25","Minerals"
"Mineral fuels, oils and waxes","7726863510","91.25487595360806","27","Minerals"
"Inorganic chemicals","9480519","0.11196568752653228","28","Chemicals"
"Pharmaceutical products","337357","0.003984213147707246","30","Chemicals"
"Fertilisers","48079796","0.5678262355969559","31","Chemicals"
"Dyes, paints, inks, etc.","97309","0.0011492270715895753","32","Chemicals"
"Essential oils","38639","0.00045632967987698566","33","Chemicals"
"Soaps, waxes, and paints","28077","0.0003315916152567646","34","Chemicals"
"Miscellaneous chemical products","3020678","0.03567444873706497","38","Chemicals"
"Plastics","67400172","0.7960014211655005","39","Chemicals"
"Rubber","31498","0.00037199389882671123","40","Chemicals"
"Leather and skins","9130852","0.10783609229442104","41","Agriculture"
"Articles of leather","44092","0.000520730045941563","42","Agriculture"
"Wood","6369","0.00007521839931510965","44","Agriculture"
"Pulp of wood","13436","0.0001586802344477647","47","Agriculture"
"Paper and paperboard","556484","0.006572120540817943","48","Agriculture"
"Products of the printing industry","130300","0.0015388534198082567","49","Agriculture"
"Silk","125056","0.0014769213604569561","50","Textiles"
"Wool","6297319","0.07437184097293562","51","Textiles"
"Cotton","276376811","3.2640322391638548","52","Textiles"
"Man-made filaments","732763","0.008653989627467058","54","Textiles"
"Man-made staple fibres","282951","0.0033416739369774837","55","Textiles"
"Wadding, felt and nonwovens","274511","0.0032419968620489978","56","Textiles"
"Carpets","869640","0.010270517943223733","57","Textiles"
"Special woven fabrics","1434334","0.01693959924057756","58","Textiles"
"Impregnated, coated or laminated textile fabrics","21088","0.00024905096636160034","59","Textiles"
"Knitted fabrics","504177","0.005954370687940656","60","Textiles"
"Apparel, knit","1708330","0.020175513911443125","61","Textiles"
"Apparel, not knit","2811962","0.033209496086499354","62","Textiles"
"Other made up textile articles","19752371","0.2332770810642474","63","Textiles"
"Footwear","267358","0.0031575193600391093","64","Textiles"
"Headgear","24585","0.000290350816009102","65","Textiles"
"Articles of stone, plaster, cement, etc.","3313405","0.03913157801580796","68","Stone"
"Ceramic products","104822","0.0012379562023878826","69","Stone"
"Glass and glassware","3106578","0.03668893460630157","70","Stone"
"Precious metals and stones","3019514","0.03566070180398242","71","Stone"
"Iron and steel","26791","0.00031640385241813514","72","Metals"
"Articles of iron or steel","2072303","0.024474064147574137","73","Metals"
"Aluminium","97367","0.0011499120562277095","76","Metals"
"Metal tools and tableware","170014","0.0020078789356506596","82","Metals"
"Miscellaneous articles of base metal","11625","0.00013729217962602444","83","Metals"
"Industrial Machinery","12578101","0.14854837865344325","84","Machinery"
"Electrical machinery and equipment","3721155","0.04394713812269067","85","Electronics"
"Trains","131821","0.0015568165514393264","86","Vehicles"
"Vehicles","21649238","0.2556792320225853","87","Vehicles"
"Aircraft","133274","0.0015739765976325833","88","Vehicles"
"Ships","29541869","0.34889183528915985","89","Vehicles"
"Apparatuses (optical, medical, etc.)","31731387","0.37475021796016317","90","Machinery"
"Furniture","272991","0.003224045540497896","94","Textiles"
"Toys","222833","0.0026316755494714757","95","Machinery"
"Art","198602","0.0023455055017709853","97","Textiles"
"Other","39024380","0.460881048494988","99","Other"
