"Name","Gross Import","Share","Code","Sector"
"Live animals","10449558","0.4342334062226667","01","Agriculture"
"Meat","50111958","2.082412118754421","02","Agriculture"
"Fish","883688","0.036721825964131295","03","Agriculture"
"Diary products","13245551","0.5504214367752253","04","Agriculture"
"Animal products","730082","0.030338698888685716","05","Agriculture"
"Plants","8423301","0.350031904207699","06","Agriculture"
"Vegetables","3031352","0.1259684193742829","07","Agriculture"
"Fruits and nuts","17323235","0.7198703850292728","08","Agriculture"
"Coffee, tea and spices","9510830","0.3952243824001671","09","Agriculture"
"Cereals","46719048","1.9414190866752703","10","Agriculture"
"Flours, starches and malts","24279709","1.0089480092043257","11","Agriculture"
"Oil seeds and oleaginous fruits","10386541","0.4316147225845708","12","Agriculture"
"Lac and other vegetable extracts","213691","0.008879970885766447","13","Agriculture"
"Other vegetable materials","308014","0.012799581416196595","14","Agriculture"
"Animal or vegetable fats, oils or waxes","36017483","1.4967134807670326","15","Agriculture"
"Preparations of meat or fish","1580991","0.06569838716023971","16","Agriculture"
"Sugar and candy","26440328","1.098732950148183","17","Agriculture"
"Cocoa","11548278","0.47989092858724597","18","Agriculture"
"Preparations of cereals, flour, starch or milk","14433734","0.5997966114291069","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","5120545","0.21278523905666102","20","Agriculture"
"Miscellaneous edible preparations","25840537","1.0738085189950473","21","Agriculture"
"Beverages","16993142","0.706153306492529","22","Agriculture"
"Food residues and animal feed","7464105","0.31017232868161865","23","Agriculture"
"Tobacco","21567251","0.8962312917531263","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","16016060","0.6655504747728662","25","Minerals"
"Ores, slag and ash","249856","0.010382814464034804","26","Minerals"
"Mineral fuels, oils and waxes","33429470","1.3891680993893187","27","Minerals"
"Inorganic chemicals","21688278","0.9012605921747241","28","Chemicals"
"Organic chemicals","10476296","0.4353445089904184","29","Chemicals"
"Pharmaceutical products","87712345","3.6449034817671415","30","Chemicals"
"Fertilisers","6574632","0.2732101059222355","31","Chemicals"
"Dyes, paints, inks, etc.","22769076","0.9461733623587496","32","Chemicals"
"Essential oils","28344007","1.1778406996362056","33","Chemicals"
"Soaps, waxes, and paints","18835664","0.7827196650026402","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","5020158","0.20861363783195136","35","Chemicals"
"Explosives","953897","0.03963937455494128","36","Chemicals"
"Photographic or cinematographic goods","1342714","0.055796740283451385","37","Chemicals"
"Miscellaneous chemical products","80980801","3.365172867299261","38","Chemicals"
"Plastics","79459134","3.3019397004469764","39","Chemicals"
"Rubber","37515991","1.5589842708896307","40","Chemicals"
"Leather and skins","44456","0.0018473776888012748","41","Agriculture"
"Articles of leather","1286301","0.053452487144204794","42","Agriculture"
"Furskins","1430","0.00005942392691618281","43","Agriculture"
"Wood","39453613","1.6395025283156364","44","Agriculture"
"Cork","81961","0.0034059052265575235","45","Agriculture"
"Manufactues of plaiting materials","15175","0.0006306000636035483","46","Agriculture"
"Pulp of wood","1365209","0.05673152436455595","47","Agriculture"
"Paper and paperboard","29606220","1.230292205275825","48","Agriculture"
"Products of the printing industry","663330","0.02756480660231576","49","Agriculture"
"Silk","7965","0.0003309871174037735","50","Textiles"
"Wool","1496101","0.06217076677148812","51","Textiles"
"Cotton","406563","0.01689480419498184","52","Textiles"
"Other vegetable textile fibres","679563","0.02823937206079856","53","Textiles"
"Man-made filaments","9610701","0.3993745411449545","54","Textiles"
"Man-made staple fibres","2223912","0.09241509381539996","55","Textiles"
"Wadding, felt and nonwovens","3621762","0.15050302125580983","56","Textiles"
"Carpets","4620546","0.19200768378801455","57","Textiles"
"Special woven fabrics","1240587","0.05155283302179474","58","Textiles"
"Impregnated, coated or laminated textile fabrics","3067772","0.12748185952693145","59","Textiles"
"Knitted fabrics","1339544","0.05566501031958824","60","Textiles"
"Apparel, knit","8080784","0.33579854394507647","61","Textiles"
"Apparel, not knit","7891989","0.3279531311603627","62","Textiles"
"Other made up textile articles","4392789","0.18254319754839982","63","Textiles"
"Footwear","4509165","0.18737922476434227","64","Textiles"
"Headgear","675601","0.028074730383566445","65","Textiles"
"Umbrellas and walking-sticks","39703","0.0016498658533938505","66","Textiles"
"Feathers and down","83444","0.0034675315787370334","67","Textiles"
"Articles of stone, plaster, cement, etc.","14817965","0.6157634050395487","68","Stone"
"Ceramic products","9879503","0.41054466030783826","69","Stone"
"Glass and glassware","6098130","0.25340897303872856","70","Stone"
"Precious metals and stones","10511802","0.43681996769607295","71","Stone"
"Iron and steel","62170191","2.58349432611827","72","Metals"
"Articles of iron or steel","215366156","8.949582317736521","73","Metals"
"Copper","753188","0.03129887319310902","74","Metals"
"Nickel","233204","0.009690837379413633","75","Metals"
"Aluminium","15624723","0.6492883899563641","76","Metals"
"Lead","214250","0.0089032002390155","78","Metals"
"Zinc","36888","0.0015328879832756303","79","Metals"
"Tin","9297","0.0003863386353424836","80","Metals"
"Other base metals","200947","0.00835039149792041","81","Metals"
"Metal tools and tableware","8068314","0.3352803506802899","82","Metals"
"Miscellaneous articles of base metal","9651258","0.40105989513372353","83","Metals"
"Industrial Machinery","553423751","22.997631142030595","84","Machinery"
"Electrical machinery and equipment","184801065","7.67944404237255","85","Electronics"
"Trains","3124229","0.12982794109469853","86","Vehicles"
"Vehicles","135027101","5.611077329739884","87","Vehicles"
"Aircraft","6554652","0.2723798331531549","88","Vehicles"
"Ships","90403330","3.756727884545144","89","Vehicles"
"Apparatuses (optical, medical, etc.)","63827392","2.6523596345863996","90","Machinery"
"Clocks","1420022","0.05900928919396625","91","Machinery"
"Musical instruments","240546","0.009995935611174902","92","Machinery"
"Arms and ammunition","610148","0.02535481829374483","93","Machinery"
"Furniture","50687475","2.106327839136953","94","Textiles"
"Toys","4499047","0.18695876931501504","95","Machinery"
"Miscellaneous manufactured articles","1965400","0.08167257759515083","96","Machinery"
"Art","8350","0.00034698586695813035","97","Textiles"
"Other","15712229","0.6529247187316979","99","Other"
