"Name","Gross Export","Share","Code","Sector"
"Live animals","1355750","0.02547089551276713","01","Agriculture"
"Meat","5081987","0.09547686511100197","02","Agriculture"
"Fish","155423337","2.919986411191292","03","Agriculture"
"Diary products","94261409","1.7709183105478206","04","Agriculture"
"Animal products","609622","0.011453157487946985","05","Agriculture"
"Plants","61731295","1.1597649749679544","06","Agriculture"
"Vegetables","126637592","2.3791796967143166","07","Agriculture"
"Fruits and nuts","14568741","0.2737074532646628","08","Agriculture"
"Coffee, tea and spices","484649535","9.105261048346804","09","Agriculture"
"Cereals","178425483","3.352134858423757","10","Agriculture"
"Flours, starches and malts","61065414","1.1472548622075363","11","Agriculture"
"Oil seeds and oleaginous fruits","45713210","0.8588282466997468","12","Agriculture"
"Lac and other vegetable extracts","1340809","0.0251901943142746","13","Agriculture"
"Other vegetable materials","56226","0.0010563352912416337","14","Agriculture"
"Animal or vegetable fats, oils or waxes","77977366","1.4649849468905038","15","Agriculture"
"Preparations of meat or fish","1782771","0.03349347141006187","16","Agriculture"
"Sugar and candy","78525197","1.4752772177071403","17","Agriculture"
"Cocoa","52050415","0.9778872814760592","18","Agriculture"
"Preparations of cereals, flour, starch or milk","11751274","0.22077482736190088","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","7298148","0.13711256879565586","20","Agriculture"
"Miscellaneous edible preparations","9023074","0.16951928825960966","21","Agriculture"
"Beverages","38815190","0.7292330066739471","22","Agriculture"
"Food residues and animal feed","65501668","1.230600141279707","23","Agriculture"
"Tobacco","82934884","1.5581233743149274","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","60326372","1.133370251061273","25","Minerals"
"Ores, slag and ash","6030256","0.11329228876358996","26","Minerals"
"Mineral fuels, oils and waxes","122165753","2.2951658712163145","27","Minerals"
"Inorganic chemicals","4056597","0.07621254532502646","28","Chemicals"
"Organic chemicals","2228647","0.04187028203713217","29","Chemicals"
"Pharmaceutical products","22316914","0.41927478123651857","30","Chemicals"
"Fertilisers","306008","0.005749067154026071","31","Chemicals"
"Dyes, paints, inks, etc.","5819583","0.1093343098070263","32","Chemicals"
"Essential oils","14598039","0.27425788387261635","33","Chemicals"
"Soaps, waxes, and paints","33332208","0.6262225241953315","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","2834585","0.053254227075092773","35","Chemicals"
"Explosives","3167532","0.059509405572816754","36","Chemicals"
"Photographic or cinematographic goods","185304","0.00348136368954291","37","Chemicals"
"Miscellaneous chemical products","2354525","0.04423519104348002","38","Chemicals"
"Plastics","31197534","0.5861177420394617","39","Chemicals"
"Rubber","6919165","0.12999249769544194","40","Chemicals"
"Leather and skins","32096680","0.6030102766636346","41","Agriculture"
"Articles of leather","460021","0.00864255712681442","42","Agriculture"
"Furskins","8275","0.00015546499012955784","43","Agriculture"
"Wood","49246676","0.9252125677647774","44","Agriculture"
"Manufactues of plaiting materials","713216","0.013399410078579182","46","Agriculture"
"Pulp of wood","85216","0.001600979407719686","47","Agriculture"
"Paper and paperboard","22554589","0.42374005513730917","48","Agriculture"
"Products of the printing industry","1234844","0.023199397011666914","49","Agriculture"
"Wool","61478","0.0011550062432851911","51","Textiles"
"Cotton","50072802","0.9407332530138133","52","Textiles"
"Other vegetable textile fibres","3374","0.00006338838389089162","53","Textiles"
"Man-made filaments","579279","0.010883094141058626","54","Textiles"
"Man-made staple fibres","2932362","0.055091193883539634","55","Textiles"
"Wadding, felt and nonwovens","1068742","0.02007878724846452","56","Textiles"
"Carpets","34287","0.0006441604974709546","57","Textiles"
"Special woven fabrics","72530","0.00136264359324433","58","Textiles"
"Impregnated, coated or laminated textile fabrics","125999","0.0023671822708560917","59","Textiles"
"Knitted fabrics","61928","0.0011634605327786416","60","Textiles"
"Apparel, knit","3149304","0.05916695048640205","61","Textiles"
"Apparel, not knit","1464200","0.027508379280688652","62","Textiles"
"Other made up textile articles","9079310","0.17057581142395115","63","Textiles"
"Footwear","3996779","0.07508872601631711","64","Textiles"
"Headgear","102602","0.0019276155791266335","65","Textiles"
"Umbrellas and walking-sticks","37349","0.0007016872406463874","66","Textiles"
"Feathers and down","5452938","0.10244603653741279","67","Textiles"
"Articles of stone, plaster, cement, etc.","601616","0.011302746284203512","68","Stone"
"Ceramic products","3511538","0.06597235293166977","69","Stone"
"Glass and glassware","479611","0.00901060052942929","70","Stone"
"Precious metals and stones","911223054","17.11942998138194","71","Stone"
"Iron and steel","82461879","1.549236882755262","72","Metals"
"Articles of iron or steel","33966525","0.6381396343033691","73","Metals"
"Copper","152147","0.002858432852355509","74","Metals"
"Nickel","1496","0.0000281058157382258","75","Metals"
"Aluminium","4313104","0.08103162184746301","76","Metals"
"Lead","1896254","0.03562551170914013","78","Metals"
"Zinc","414869","0.007794272506351604","79","Metals"
"Other base metals","54893","0.0010312918070310355","81","Metals"
"Metal tools and tableware","1624456","0.030519158429716135","82","Metals"
"Miscellaneous articles of base metal","559958","0.010520104524829842","83","Metals"
"Industrial Machinery","21995192","0.41323049029338116","84","Machinery"
"Electrical machinery and equipment","17571875","0.33012826265049233","85","Electronics"
"Trains","1172329","0.022024908327926817","86","Vehicles"
"Vehicles","37546520","0.7053981101147125","87","Vehicles"
"Aircraft","13665942","0.25674628859711296","88","Vehicles"
"Ships","197837","0.0037168250455904936","89","Vehicles"
"Apparatuses (optical, medical, etc.)","2981994","0.05602364565273724","90","Machinery"
"Clocks","46684","0.000877066779360517","91","Machinery"
"Musical instruments","33658","0.0006323432794901097","92","Machinery"
"Furniture","10385026","0.19510670266890653","94","Textiles"
"Toys","166794","0.0031336105817123226","95","Machinery"
"Miscellaneous manufactured articles","836495","0.015715490866274863","96","Machinery"
"Art","242458","0.004555133604451037","97","Textiles"
"Other","50096624","0.9411808043122863","99","Other"
"Travel and tourism","1174394240","22.06370863200116","travel","Services"
"Transport","207238592","3.8934556688511734","transport","Services"
"ICT","551765056","10.36618114620845","ict","Services"
"Insurance and finance","32028876","0.6017364218973814","financial","Services"
