"Name","Gross Import","Share","Code","Sector"
"Live animals","7675247","0.10800017815642618","01","Agriculture"
"Meat","1574384","0.022153521897943725","02","Agriculture"
"Fish","10512539","0.14792437101716444","03","Agriculture"
"Diary products","6502932","0.09150426227835076","04","Agriculture"
"Animal products","465955","0.006556560722134097","05","Agriculture"
"Plants","790747","0.011126784177324787","06","Agriculture"
"Vegetables","8265011","0.11629888399224446","07","Agriculture"
"Fruits and nuts","6356238","0.08944009702940453","08","Agriculture"
"Coffee, tea and spices","11457140","0.16121607046172154","09","Agriculture"
"Cereals","106373235","1.496802426172785","10","Agriculture"
"Flours, starches and malts","10867850","0.15292403438968366","11","Agriculture"
"Oil seeds and oleaginous fruits","10874791","0.1530217028082484","12","Agriculture"
"Lac and other vegetable extracts","1437706","0.020230294104745146","13","Agriculture"
"Other vegetable materials","15151","0.00021319323003520448","14","Agriculture"
"Animal or vegetable fats, oils or waxes","85403995","1.2017393935687715","15","Agriculture"
"Preparations of meat or fish","3079122","0.043327038799581476","16","Agriculture"
"Sugar and candy","57903395","0.8147720817143628","17","Agriculture"
"Cocoa","3048225","0.04289227995670657","18","Agriculture"
"Preparations of cereals, flour, starch or milk","23622904","0.33240335334773624","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","5613912","0.07899465595758662","20","Agriculture"
"Miscellaneous edible preparations","30140851","0.4241188951686241","21","Agriculture"
"Beverages","32432616","0.456366851266019","22","Agriculture"
"Food residues and animal feed","19596740","0.2757502672272519","23","Agriculture"
"Tobacco","6113641","0.08602645845592091","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","84751832","1.1925626569520829","25","Minerals"
"Ores, slag and ash","2744593","0.03861980376226071","26","Minerals"
"Mineral fuels, oils and waxes","597835387","8.412280191662367","27","Minerals"
"Inorganic chemicals","36274717","0.5104299442837399","28","Chemicals"
"Organic chemicals","63889180","0.8989994487822972","29","Chemicals"
"Pharmaceutical products","301652508","4.244622304055202","30","Chemicals"
"Fertilisers","36235390","0.5098765649584416","31","Chemicals"
"Dyes, paints, inks, etc.","37574029","0.5287128643618536","32","Chemicals"
"Essential oils","60251096","0.8478071262227702","33","Chemicals"
"Soaps, waxes, and paints","27918744","0.39285111292231445","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","9748596","0.1371747521317586","35","Chemicals"
"Explosives","2045721","0.028785813988571617","36","Chemicals"
"Photographic or cinematographic goods","3036477","0.04272697112782045","37","Chemicals"
"Miscellaneous chemical products","112366743","1.581138465362399","38","Chemicals"
"Plastics","206104216","2.9001401579376593","39","Chemicals"
"Rubber","46875708","0.6595989438787588","40","Chemicals"
"Leather and skins","4717383","0.06637938875870655","41","Agriculture"
"Articles of leather","16271546","0.22896069232436217","42","Agriculture"
