"Name","Gross Export","Share","Code","Sector"
"Live animals","44500515","0.06976688239159823","01","Agriculture"
"Meat","623178124","0.9770043085147398","02","Agriculture"
"Fish","33435381","0.05241922018082887","03","Agriculture"
"Diary products","464241200","0.7278266600225733","04","Agriculture"
"Animal products","16556918","0.025957554668150147","05","Agriculture"
"Plants","4329712","0.006788022742961324","06","Agriculture"
"Vegetables","238189211","0.3734275585526274","07","Agriculture"
"Fruits and nuts","221104831","0.3466430611104433","08","Agriculture"
"Coffee, tea and spices","12232942","0.01917852469386573","09","Agriculture"
"Cereals","6817558511","10.68841119782044","10","Agriculture"
"Flours, starches and malts","163405550","0.2561834574045811","11","Agriculture"
"Oil seeds and oleaginous fruits","1915480210","3.0030457520436307","12","Agriculture"
"Lac and other vegetable extracts","1032992","0.0016195010636497538","13","Agriculture"
"Other vegetable materials","34175153","0.053579017682511644","14","Agriculture"
"Animal or vegetable fats, oils or waxes","4271210552","6.696305520309985","15","Agriculture"
"Preparations of meat or fish","25115340","0.03937525154495408","16","Agriculture"
"Sugar and candy","344085379","0.5394491315294103","17","Agriculture"
"Cocoa","193674085","0.3036377693717791","18","Agriculture"
"Preparations of cereals, flour, starch or milk","261658202","0.41022170205740427","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","161373856","0.25299821434944536","20","Agriculture"
"Miscellaneous edible preparations","126228417","0.19789800462571314","21","Agriculture"
"Beverages","226452125","0.35502642547400853","22","Agriculture"
"Food residues and animal feed","1227169847","1.9239286194814729","23","Agriculture"
"Tobacco","443934675","0.6959905578683163","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","548688692","0.8602214928156193","25","Minerals"
"Ores, slag and ash","2953310309","4.630131875864754","26","Minerals"
"Mineral fuels, oils and waxes","1161914259","1.8216224117130777","27","Minerals"
"Inorganic chemicals","893542337","1.4008750940835812","28","Chemicals"
"Organic chemicals","270148041","0.42353187608654985","29","Chemicals"
"Pharmaceutical products","206878666","0.32433960730910033","30","Chemicals"
"Fertilisers","84261846","0.13210378127041814","31","Chemicals"
"Dyes, paints, inks, etc.","101654551","0.1593716635456404","32","Chemicals"
"Essential oils","123997867","0.19440099971422886","33","Chemicals"
"Soaps, waxes, and paints","106721084","0.16731485728045786","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","10615648","0.016642968413435322","35","Chemicals"
"Explosives","11714930","0.018366397412160413","36","Chemicals"
"Photographic or cinematographic goods","395507","0.0006200667644869691","37","Chemicals"
"Miscellaneous chemical products","121457105","0.19041765157457158","38","Chemicals"
"Plastics","594497592","0.9320396310728616","39","Chemicals"
"Rubber","86053100","0.13491206803185177","40","Chemicals"
"Leather and skins","151740851","0.2378958109971992","41","Agriculture"
"Articles of leather","51657858","0.08098799988467283","42","Agriculture"
"Furskins","25353403","0.03974848123280806","43","Agriculture"
"Wood","1494328068","2.342773124639573","44","Agriculture"
"Cork","971851","0.001523645612172289","45","Agriculture"
"Manufactues of plaiting materials","1038458","0.0016280705325458435","46","Agriculture"
"Pulp of wood","2745535","0.004304386532313538","47","Agriculture"
"Paper and paperboard","566022177","0.8873965313389157","48","Agriculture"
"Products of the printing industry","61381890","0.09623311327080189","49","Agriculture"
"Silk","22443","0.00003518561844766603","50","Textiles"
"Wool","7458474","0.0116932237386195","51","Textiles"
"Cotton","2495318","0.003912102083214949","52","Textiles"
"Other vegetable textile fibres","1543881","0.0024204610700263368","53","Textiles"
"Man-made filaments","10466303","0.016408828762449864","54","Textiles"
"Man-made staple fibres","25617944","0.04016322251916746","55","Textiles"
"Wadding, felt and nonwovens","79568442","0.12474557058714275","56","Textiles"
"Carpets","14710911","0.023063427414497753","57","Textiles"
