"Name","Gross Import","Share","Code","Sector"
"Live animals","66188841","0.09408072295110533","01","Agriculture"
"Meat","266808057","0.37924058666837385","02","Agriculture"
"Fish","518850422","0.7374932400651356","03","Agriculture"
"Diary products","146204753","0.20781522464077873","04","Agriculture"
"Animal products","32992511","0.046895507459517156","05","Agriculture"
"Plants","60576113","0.08610279948258726","06","Agriculture"
"Vegetables","117966396","0.16767726480686343","07","Agriculture"
"Fruits and nuts","428966557","0.609732444240964","08","Agriculture"
"Coffee, tea and spices","209804453","0.29821574631592657","09","Agriculture"
"Cereals","171884378","0.24431620650739397","10","Agriculture"
"Flours, starches and malts","37333401","0.05306564223270685","11","Agriculture"
"Oil seeds and oleaginous fruits","364098892","0.517529638947091","12","Agriculture"
"Lac and other vegetable extracts","31814614","0.04522124636583918","13","Agriculture"
"Other vegetable materials","797633","0.001133754393579108","14","Agriculture"
"Animal or vegetable fats, oils or waxes","303939511","0.43201918172710463","15","Agriculture"
"Preparations of meat or fish","133009862","0.1890600256406779","16","Agriculture"
"Sugar and candy","93622055","0.13307425368829384","17","Agriculture"
"Cocoa","339388624","0.4824064997195049","18","Agriculture"
"Preparations of cereals, flour, starch or milk","141319279","0.20087101895694104","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","188854422","0.2684374025264037","20","Agriculture"
"Miscellaneous edible preparations","337871196","0.48024962975306673","21","Agriculture"
"Beverages","446680449","0.6349109447322749","22","Agriculture"
"Food residues and animal feed","213686454","0.30373361692763456","23","Agriculture"
"Tobacco","361740688","0.5141776911892177","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","254268695","0.36141715564159976","25","Minerals"
"Ores, slag and ash","722942792","1.027589839859117","26","Minerals"
"Mineral fuels, oils and waxes","11975120007","17.021418273282734","27","Minerals"
"Inorganic chemicals","493796303","0.7018813515230318","28","Chemicals"
"Organic chemicals","613057754","0.8713994056354739","29","Chemicals"
"Pharmaceutical products","1870373193","2.6585457537443093","30","Chemicals"
"Fertilisers","957394852","1.3608396591477783","31","Chemicals"
"Dyes, paints, inks, etc.","348680588","0.49561408392173695","32","Chemicals"
"Essential oils","694396296","0.9870138916958785","33","Chemicals"
"Soaps, waxes, and paints","298504239","0.42429349396055344","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","115526331","0.16420895994188342","35","Chemicals"
"Explosives","12990916","0.018465269229855245","36","Chemicals"
"Photographic or cinematographic goods","32598294","0.046335167985381086","37","Chemicals"
