"Name","Gross Export","Share","Code","Sector"
"Live animals","51403787","0.015483394696577108","01","Agriculture"
"Meat","291314738","0.08774725234512293","02","Agriculture"
"Fish","281224956","0.08470809732900672","03","Agriculture"
"Diary products","943061000","0.28406050484079515","04","Agriculture"
"Animal products","1476896","0.0004448575684471641","05","Agriculture"
"Plants","12383397","0.003730017468078935","06","Agriculture"
"Vegetables","314554190","0.09474723481427756","07","Agriculture"
"Fruits and nuts","1112230796","0.3350163366009616","08","Agriculture"
"Coffee, tea and spices","504337432","0.15191206671045693","09","Agriculture"
"Cereals","353083211","0.10635260621260872","10","Agriculture"
"Flours, starches and malts","99689300","0.03002753044100592","11","Agriculture"
"Oil seeds and oleaginous fruits","78173983","0.023546876688141847","12","Agriculture"
"Lac and other vegetable extracts","52368327","0.015773924916084796","13","Agriculture"
"Other vegetable materials","2663000","0.0008021253390724857","14","Agriculture"
"Animal or vegetable fats, oils or waxes","516135509","0.15546577925797037","15","Agriculture"
"Preparations of meat or fish","300456325","0.09050080043826436","16","Agriculture"
"Sugar and candy","486133876","0.14642895235490866","17","Agriculture"
"Cocoa","314577217","0.09475417080383174","18","Agriculture"
"Preparations of cereals, flour, starch or milk","438478157","0.13207451759650907","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","337206115","0.10157024758981999","20","Agriculture"
"Miscellaneous edible preparations","550747325","0.1658912447648853","21","Agriculture"
"Beverages","487671567","0.14689212205628444","22","Agriculture"
"Food residues and animal feed","190984588","0.05752669072741983","23","Agriculture"
"Tobacco","3846135809","1.158499057421312","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","2108848747","0.635208793180609","25","Minerals"
"Ores, slag and ash","233177843","0.0702357703269117","26","Minerals"
"Mineral fuels, oils and waxes","147477083844","44.421744605253444","27","Minerals"
"Inorganic chemicals","280269521","0.0844203096371792","28","Chemicals"
"Organic chemicals","1647948957","0.49638062933074517","29","Chemicals"
"Pharmaceutical products","929969717","0.280117264204194","30","Chemicals"
"Fertilisers","559806956","0.16862010679558248","31","Chemicals"
"Dyes, paints, inks, etc.","560422265","0.16880544473785034","32","Chemicals"
"Essential oils","1986531792","0.598365560359096","33","Chemicals"
"Soaps, waxes, and paints","501029458","0.15091566799983244","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","58620754","0.017657225752510244","35","Chemicals"
"Explosives","5126062","0.0015440271197358561","36","Chemicals"
"Photographic or cinematographic goods","90431132","0.027238866848745293","37","Chemicals"
"Miscellaneous chemical products","637585421","0.19204784904517408","38","Chemicals"
"Plastics","5843982890","1.760272909190783","39","Chemicals"
"Rubber","1123084526","0.3382856012860729","40","Chemicals"
"Leather and skins","32573641","0.009811544435580332","41","Agriculture"
"Articles of leather","188109141","0.05666057397944388","42","Agriculture"
"Furskins","5677536","0.0017101372471258899","43","Agriculture"
"Wood","244246966","0.07356991378902589","44","Agriculture"
"Cork","15585397","0.004694495626437966","45","Agriculture"
"Manufactues of plaiting materials","12296335","0.003703793421413396","46","Agriculture"
"Pulp of wood","156787848","0.04722625074706923","47","Agriculture"
"Paper and paperboard","833957080","0.25119718571794974","48","Agriculture"
"Products of the printing industry","367100220","0.11057468585846193","49","Agriculture"
"Silk","7976859","0.0024027190124327486","50","Textiles"
"Wool","14416645","0.004342454471991234","51","Textiles"
"Cotton","50907459","0.015333895160230444","52","Textiles"
"Other vegetable textile fibres","5700980","0.0017171988417369357","53","Textiles"
"Man-made filaments","798610673","0.2405504531982843","54","Textiles"
"Man-made staple fibres","144266623","0.04345471794619507","55","Textiles"
"Wadding, felt and nonwovens","80345926","0.0242010901749316","56","Textiles"
"Carpets","167441600","0.05043527982532465","57","Textiles"
"Special woven fabrics","30979191","0.009331278289547992","58","Textiles"
"Impregnated, coated or laminated textile fabrics","30283548","0.009121742849349568","59","Textiles"
"Knitted fabrics","46463278","0.013995258212605772","60","Textiles"
"Apparel, knit","840076838","0.2530405251699931","61","Textiles"
"Apparel, not knit","617152995","0.1858933741547034","62","Textiles"
"Other made up textile articles","329632767","0.09928907059679937","63","Textiles"
"Footwear","477470810","0.14381954013085407","64","Textiles"
"Headgear","14595003","0.004396177893405538","65","Textiles"
"Umbrellas and walking-sticks","3597814","0.0010837017554148466","66","Textiles"
"Feathers and down","9759302","0.0029396107494783284","67","Textiles"
"Articles of stone, plaster, cement, etc.","354789132","0.1068664486686943","68","Stone"
"Ceramic products","368352926","0.11095201489526559","69","Stone"
"Glass and glassware","561601741","0.16916071608085742","70","Stone"
"Precious metals and stones","35273139951","10.624663666296327","71","Stone"
"Iron and steel","2633213617","0.7931533478732301","72","Metals"
"Articles of iron or steel","2778874504","0.8370280337066789","73","Metals"
"Copper","2886596986","0.8694752482767051","74","Metals"
"Nickel","75431657","0.022720857471995662","75","Metals"
"Aluminium","6270517598","1.8887499265699357","76","Metals"
"Lead","215461503","0.0648994108715518","78","Metals"
"Zinc","210981200","0.0635498935741344","79","Metals"
"Tin","20805517","0.006266854066167243","80","Metals"
"Other base metals","9001144","0.0027112450931431734","81","Metals"
"Metal tools and tableware","274892241","0.08280061285036443","82","Metals"
"Miscellaneous articles of base metal","390110339","0.11750559066693855","83","Metals"
"Industrial Machinery","10646285646","3.2067801290500517","84","Machinery"
"Electrical machinery and equipment","16338715969","4.921403712596006","85","Electronics"
"Trains","54242982","0.01633859193730858","86","Vehicles"
"Vehicles","9561615093","2.8800652454199107","87","Vehicles"
"Aircraft","1465719234","0.4414910017113459","88","Vehicles"
"Ships","2146893547","0.6466683118061985","89","Vehicles"
"Apparatuses (optical, medical, etc.)","1455507599","0.43841514321083536","90","Machinery"
"Clocks","395394481","0.11909723324803399","91","Machinery"
"Musical instruments","54613163","0.016450094588507675","92","Machinery"
"Arms and ammunition","9995280","0.0030106899583644143","93","Machinery"
"Furniture","712324877","0.2145602078458099","94","Textiles"
"Toys","311674626","0.09387987797992497","95","Machinery"
"Miscellaneous manufactured articles","153692335","0.04629384766230457","96","Machinery"
"Art","52907629","0.015936368701143927","97","Textiles"
"Other","55173226496","16.61879196801617","99","Other"
