"Name","Gross Import","Share","Code","Sector"
"Live animals","144194745","0.0664277616379272","01","Agriculture"
"Meat","1514711170","0.6977984707491651","02","Agriculture"
"Fish","579090238","0.2667757989149641","03","Agriculture"
"Diary products","1390389738","0.6405259643802141","04","Agriculture"
"Animal products","9068006","0.0041774569600250945","05","Agriculture"
"Plants","75413710","0.03474165408809986","06","Agriculture"
"Vegetables","819286436","0.37742959414918276","07","Agriculture"
"Fruits and nuts","1681361185","0.7745709458721455","08","Agriculture"
"Coffee, tea and spices","609806667","0.2809262703761836","09","Agriculture"
"Cereals","1109152270","0.5109652408742487","10","Agriculture"
"Flours, starches and malts","100496189","0.04629667252029248","11","Agriculture"
"Oil seeds and oleaginous fruits","741801643","0.3417338317275485","12","Agriculture"
"Lac and other vegetable extracts","62689527","0.028879866299915447","13","Agriculture"
"Other vegetable materials","4710139","0.0021698709670279924","14","Agriculture"
"Animal or vegetable fats, oils or waxes","594558643","0.2739017973017911","15","Agriculture"
"Preparations of meat or fish","224171750","0.10327163847029935","16","Agriculture"
"Sugar and candy","734650470","0.33843942307572433","17","Agriculture"
"Cocoa","488605300","0.2250911182888663","18","Agriculture"
"Preparations of cereals, flour, starch or milk","786059072","0.36212238294915844","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","491590916","0.2264665344872193","20","Agriculture"
"Miscellaneous edible preparations","745722663","0.34354017066131165","21","Agriculture"
"Beverages","1153310628","0.5313081519806574","22","Agriculture"
"Food residues and animal feed","186680199","0.08599999786186949","23","Agriculture"
"Tobacco","978041472","0.45056500341967","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","374626317","0.17258318039933115","25","Minerals"
"Ores, slag and ash","770241693","0.3548356189138342","26","Minerals"
"Mineral fuels, oils and waxes","20506526963","9.446964833010323","27","Minerals"
"Inorganic chemicals","2191106963","1.0094010781139533","28","Chemicals"
"Organic chemicals","1945883160","0.8964311613972934","29","Chemicals"
"Pharmaceutical products","2397082546","1.1042900904060247","30","Chemicals"
"Fertilisers","169312323","0.07799894950823442","31","Chemicals"
"Dyes, paints, inks, etc.","599740377","0.27628892306717967","32","Chemicals"
"Essential oils","2351319148","1.0832077680642112","33","Chemicals"
"Soaps, waxes, and paints","764258358","0.35207921089646943","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","130973212","0.06033685421538563","35","Chemicals"
"Explosives","36603496","0.01686253065188209","36","Chemicals"
"Photographic or cinematographic goods","85814192","0.03953295726087188","37","Chemicals"
"Miscellaneous chemical products","1100880651","0.5071546641761052","38","Chemicals"
"Plastics","4191088597","1.9307543719776383","39","Chemicals"
"Rubber","1586994030","0.7310978021123689","40","Chemicals"
"Leather and skins","28895636","0.013311666944480592","41","Agriculture"
"Articles of leather","1037420708","0.4779198819573742","42","Agriculture"
"Furskins","70567789","0.03250923095018158","43","Agriculture"
"Wood","1078585191","0.4968835721020637","44","Agriculture"
"Cork","2680406","0.0012348117877726396","45","Agriculture"
"Manufactues of plaiting materials","17019891","0.007840738318525425","46","Agriculture"
"Pulp of wood","203017671","0.09352635879674481","47","Agriculture"
"Paper and paperboard","1664435125","0.766773433701024","48","Agriculture"
"Products of the printing industry","202599599","0.09333376102098336","49","Agriculture"
"Silk","28554105","0.013154330143753471","50","Textiles"
"Wool","25660885","0.011821479015745418","51","Textiles"
"Cotton","200339390","0.09229252595583656","52","Textiles"
"Other vegetable textile fibres","15509004","0.007144701569767049","53","Textiles"
"Man-made filaments","802556657","0.3697225048813512","54","Textiles"
"Man-made staple fibres","430380967","0.19826828147847284","55","Textiles"
"Wadding, felt and nonwovens","146316694","0.06740530296496959","56","Textiles"
"Carpets","283161900","0.13044727252815336","57","Textiles"
"Special woven fabrics","186545558","0.08593797132786027","58","Textiles"
"Impregnated, coated or laminated textile fabrics","114786076","0.052879750200889745","59","Textiles"
"Knitted fabrics","169879452","0.0782602149935332","60","Textiles"
"Apparel, knit","3172216410","1.4613794389483552","61","Textiles"
"Apparel, not knit","3023597941","1.3929137522568902","62","Textiles"
"Other made up textile articles","802916975","0.3698884964937214","63","Textiles"
"Footwear","1545156719","0.7118241529743241","64","Textiles"
"Headgear","62332946","0.028715596251983992","65","Textiles"
"Umbrellas and walking-sticks","13199792","0.006080891759586789","66","Textiles"
"Feathers and down","103434107","0.04765011516215696","67","Textiles"
"Articles of stone, plaster, cement, etc.","795954751","0.3666811330329943","68","Stone"
"Ceramic products","839718056","0.38684205077675754","69","Stone"
"Glass and glassware","727347538","0.33507510195463225","70","Stone"
"Precious metals and stones","44012261714","20.275607341194444","71","Stone"
"Iron and steel","4922566585","2.2677322932621804","72","Metals"
"Articles of iron or steel","4527323254","2.0856512487646963","73","Metals"
"Copper","2741366990","1.2628953501308384","74","Metals"
"Nickel","165507017","0.07624591780151464","75","Metals"
"Aluminium","1088020959","0.50123044998291","76","Metals"
"Lead","125263974","0.05770671744446381","78","Metals"
"Zinc","265670710","0.12238941577280699","79","Metals"
"Tin","27443511","0.0126427007254379","80","Metals"
"Other base metals","90977496","0.04191159267769068","81","Metals"
"Metal tools and tableware","573370465","0.2641408088709993","82","Metals"
"Miscellaneous articles of base metal","675823204","0.311338826561899","83","Metals"
"Industrial Machinery","21828028543","10.055755340323085","84","Machinery"
"Electrical machinery and equipment","24839493886","11.443079836688625","85","Electronics"
"Trains","69153939","0.03185789729172001","86","Vehicles"
"Vehicles","14549651479","6.70274620869108","87","Vehicles"
"Aircraft","4672888592","2.1527104163883726","88","Vehicles"
"Ships","4166300450","1.919334946669442","89","Vehicles"
"Apparatuses (optical, medical, etc.)","3184825384","1.4671881521533392","90","Machinery"
"Clocks","1282037942","0.5906103639349322","91","Machinery"
"Musical instruments","55035975","0.02535402124960185","92","Machinery"
"Arms and ammunition","831713495","0.3831545025923611","93","Machinery"
"Furniture","2546315028","1.1730386411450426","94","Textiles"
"Toys","926493104","0.42681765602273025","95","Machinery"
"Miscellaneous manufactured articles","406963501","0.18748030269594324","96","Machinery"
"Art","366324008","0.16875846540506131","97","Textiles"
"Other","5906380288","2.72095645312328","99","Other"
