"Name","Gross Export","Share","Code","Sector"
"Live animals","723286027","0.08341965941435638","01","Agriculture"
"Meat","2201342990","0.25389026695517913","02","Agriculture"
"Fish","2019315701","0.23289628409686158","03","Agriculture"
"Diary products","2380002291","0.274495805406466","04","Agriculture"
"Animal products","141793001","0.016353590985049536","05","Agriculture"
"Plants","112615938","0.012988475985847124","06","Agriculture"
"Vegetables","525387192","0.06059514352723016","07","Agriculture"
"Fruits and nuts","372653854","0.04297975685921455","08","Agriculture"
"Coffee, tea and spices","564055890","0.06505496923482204","09","Agriculture"
"Cereals","429198672","0.04950131165652127","10","Agriculture"
"Flours, starches and malts","470841795","0.054304190473382676","11","Agriculture"
"Oil seeds and oleaginous fruits","252339373","0.029103375105699693","12","Agriculture"
"Lac and other vegetable extracts","117398439","0.013540062204405194","13","Agriculture"
"Other vegetable materials","9415707","0.0010859536086204127","14","Agriculture"
"Animal or vegetable fats, oils or waxes","931772682","0.10746531369676439","15","Agriculture"
"Preparations of meat or fish","725727569","0.08370125285662242","16","Agriculture"
"Sugar and candy","570993098","0.06585506699289273","17","Agriculture"
"Cocoa","1055056955","0.12168421421591756","18","Agriculture"
"Preparations of cereals, flour, starch or milk","2382053426","0.27473237154589847","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","796389011","0.09185093805075834","20","Agriculture"
"Miscellaneous edible preparations","2907757168","0.3353640241334476","21","Agriculture"
"Beverages","10257944578","1.1830924572639419","22","Agriculture"
"Food residues and animal feed","1600684477","0.18461376124605705","23","Agriculture"
"Tobacco","141404720","0.016308808882854898","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","747782099","0.08624489577583465","25","Minerals"
"Ores, slag and ash","453040216","0.05225105851481692","26","Minerals"
"Mineral fuels, oils and waxes","47060259735","5.427660278918743","27","Minerals"
"Inorganic chemicals","2172703843","0.2505871921003158","28","Chemicals"
"Organic chemicals","12148682582","1.4011593276964602","29","Chemicals"
"Pharmaceutical products","28767631144","3.3178934786615355","30","Chemicals"
"Fertilisers","347912355","0.04012621435606228","31","Chemicals"
"Dyes, paints, inks, etc.","3589806453","0.4140276743832614","32","Chemicals"
"Essential oils","5847914656","0.6744649152301999","33","Chemicals"
"Soaps, waxes, and paints","2323519058","0.2679813534696228","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","604771328","0.06975085418776937","35","Chemicals"
"Explosives","84369416","0.009730684245208223","36","Chemicals"
"Photographic or cinematographic goods","203702380","0.02349386346087093","37","Chemicals"
"Miscellaneous chemical products","6825024407","0.787159146275903","38","Chemicals"
"Plastics","12520653740","1.4440603463170283","39","Chemicals"
"Rubber","2968656040","0.3423877505311905","40","Chemicals"
"Leather and skins","432986409","0.04993816750427174","41","Agriculture"
"Articles of leather","1206388619","0.13913793984898282","42","Agriculture"
"Furskins","51536759","0.005943954013506425","43","Agriculture"
"Wood","625192157","0.07210607540945461","44","Agriculture"
"Cork","7213452","0.0008319581556658607","45","Agriculture"
"Manufactues of plaiting materials","11312274","0.0013046927619989525","46","Agriculture"
"Pulp of wood","844435502","0.09739234458379915","47","Agriculture"
"Paper and paperboard","3458210232","0.3988501214840728","48","Agriculture"
"Products of the printing industry","3704844603","0.4272955144001093","49","Agriculture"
"Silk","32208808","0.003714779068312344","50","Textiles"
"Wool","511414521","0.05898361584327442","51","Textiles"
"Cotton","206840382","0.023855782602551744","52","Textiles"
"Other vegetable textile fibres","54079148","0.006237178569991332","53","Textiles"
"Man-made filaments","506443682","0.05841030780066848","54","Textiles"
