"Name","Gross Import","Share","Code","Sector"
"Live animals","848132425","0.09527911065930518","01","Agriculture"
"Meat","5685924539","0.6387561863960569","02","Agriculture"
"Fish","2743284136","0.3081802617838369","03","Agriculture"
"Diary products","4154817941","0.46675182636697976","04","Agriculture"
"Animal products","220564717","0.024778217951732396","05","Agriculture"
"Plants","1728547144","0.19418481095449444","06","Agriculture"
"Vegetables","3922951944","0.4407040237655251","07","Agriculture"
"Fruits and nuts","5667747015","0.6367141251923385","08","Agriculture"
"Coffee, tea and spices","1597091465","0.17941709329974836","09","Agriculture"
"Cereals","1515411885","0.1702412175614454","10","Agriculture"
"Flours, starches and malts","495504686","0.055664946201765916","11","Agriculture"
"Oil seeds and oleaginous fruits","1001005804","0.11245289056119126","12","Agriculture"
"Lac and other vegetable extracts","220177886","0.0247347613964009","13","Agriculture"
"Other vegetable materials","22231257","0.0024974571580593124","14","Agriculture"
"Animal or vegetable fats, oils or waxes","2235293235","0.2511126154545515","15","Agriculture"
"Preparations of meat or fish","4572414994","0.5136646369741048","16","Agriculture"
"Sugar and candy","1343730880","0.15095459086102683","17","Agriculture"
"Cocoa","2712509545","0.3047230473501547","18","Agriculture"
"Preparations of cereals, flour, starch or milk","4371509664","0.49109495256531194","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","3816983277","0.42879951445554076","20","Agriculture"
"Miscellaneous edible preparations","4106688784","0.46134500174788556","21","Agriculture"
"Beverages","8074016640","0.9070342109696271","22","Agriculture"
"Food residues and animal feed","2959476091","0.33246724409570466","23","Agriculture"
"Tobacco","731458256","0.08217194633973153","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","1094073911","0.1229081522683534","25","Minerals"
"Ores, slag and ash","2007221402","0.22549104885228707","26","Minerals"
"Mineral fuels, oils and waxes","64291717643","7.222525043520416","27","Minerals"
"Inorganic chemicals","2892450182","0.32493756027227166","28","Chemicals"
"Organic chemicals","9802884237","1.1012550215816608","29","Chemicals"
"Pharmaceutical products","29467452764","3.310370656739134","30","Chemicals"
"Fertilisers","1098744612","0.12343285834527944","31","Chemicals"
"Dyes, paints, inks, etc.","2751068532","0.30905476004146437","32","Chemicals"
"Essential oils","6688908832","0.7514313402109721","33","Chemicals"
"Soaps, waxes, and paints","2533122372","0.28457071051769967","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","900800872","0.10119587865690502","35","Chemicals"
"Explosives","94071303","0.010567960644119963","36","Chemicals"
"Photographic or cinematographic goods","609482191","0.06846916756090864","37","Chemicals"
"Miscellaneous chemical products","5801350066","0.6517230783999107","38","Chemicals"
"Plastics","19258757472","2.1635268623710604","39","Chemicals"
"Rubber","5477498709","0.6153416497795285","40","Chemicals"
"Leather and skins","230916048","0.02594108542707989","41","Agriculture"
"Articles of leather","3732267053","0.4192825024380666","42","Agriculture"
"Furskins","110775968","0.012444561017064818","43","Agriculture"
"Wood","6879947198","0.7728925708841029","44","Agriculture"
"Cork","42978055","0.00482815034252075","45","Agriculture"
"Manufactues of plaiting materials","99553802","0.011183864026083613","46","Agriculture"
"Pulp of wood","770154789","0.08651911093473974","47","Agriculture"
"Paper and paperboard","8432116764","0.9472631426033952","48","Agriculture"
"Products of the printing industry","2324479018","0.26113173727705913","49","Agriculture"
"Silk","49748006","0.005588685951670553","50","Textiles"
"Wool","488893544","0.05492225117957952","51","Textiles"
"Cotton","345894387","0.03885774037633985","52","Textiles"
"Other vegetable textile fibres","100317309","0.0112696363250759","53","Textiles"
"Man-made filaments","886599441","0.09960049133779683","54","Textiles"
"Man-made staple fibres","636709881","0.07152792349575839","55","Textiles"
"Wadding, felt and nonwovens","806275185","0.09057687256028062","56","Textiles"
"Carpets","1191466682","0.13384924629093525","57","Textiles"
"Special woven fabrics","312082279","0.03505929159075501","58","Textiles"
"Impregnated, coated or laminated textile fabrics","479331903","0.05384809739879045","59","Textiles"
"Knitted fabrics","239233880","0.026875509830879222","60","Textiles"
"Apparel, knit","12229911464","1.373907014263676","61","Textiles"
"Apparel, not knit","11591939174","1.302237271868813","62","Textiles"
"Other made up textile articles","2566898531","0.28836512079626825","63","Textiles"
"Footwear","6958356704","0.7817010868406948","64","Textiles"
"Headgear","464846411","0.05222079869573417","65","Textiles"
"Umbrellas and walking-sticks","88945850","0.009992167773606769","66","Textiles"
"Feathers and down","256692242","0.028836780448410686","67","Textiles"
"Articles of stone, plaster, cement, etc.","2081448526","0.23382971643891773","68","Stone"
"Ceramic products","1980828122","0.222526030452263","69","Stone"
"Glass and glassware","2396709121","0.2692460597269643","70","Stone"
"Precious metals and stones","38038586780","4.273250983341668","71","Stone"
"Iron and steel","6995171675","0.7858368769513349","72","Metals"
"Articles of iron or steel","9911622038","1.1134706151245308","73","Metals"
"Copper","2364741422","0.2656548116614934","74","Metals"
"Nickel","1437994202","0.1615441229001441","75","Metals"
"Aluminium","5978202012","0.671590608088152","76","Metals"
"Lead","462289403","0.05193354467618796","78","Metals"
"Zinc","422410976","0.04745360622901442","79","Metals"
"Tin","123293294","0.013850756151170908","80","Metals"
"Other base metals","1190319132","0.13372033064024888","81","Metals"
"Metal tools and tableware","1950230734","0.21908872298563986","82","Metals"
"Miscellaneous articles of base metal","2676199176","0.3006439441770492","83","Metals"
"Industrial Machinery","74483625919","8.367482986212552","84","Machinery"
"Electrical machinery and equipment","58756966556","6.600751667399366","85","Electronics"
"Trains","2951784747","0.3316031992903256","86","Vehicles"
"Vehicles","75108732628","8.437707410541906","87","Vehicles"
"Aircraft","10915234927","1.2262163853503725","88","Vehicles"
"Ships","4173064308","0.4688016213863405","89","Vehicles"
"Apparatuses (optical, medical, etc.)","17665865406","1.984581529129328","90","Machinery"
"Clocks","2005417463","0.2252883945278711","91","Machinery"
"Musical instruments","332882543","0.03739599114023723","92","Machinery"
