"Name","Gross Export","Share","Code","Sector"
"Live animals","1035804529","0.041688041803415544","01","Agriculture"
"Meat","16727537998","0.6732334951287376","02","Agriculture"
"Fish","4911633496","0.19767859356821177","03","Agriculture"
"Diary products","4448111038","0.17902319762726013","04","Agriculture"
"Animal products","1237569700","0.04980848793743828","05","Agriculture"
"Plants","451322976","0.01816440318956156","06","Agriculture"
"Vegetables","4385102955","0.1764873102812249","07","Agriculture"
"Fruits and nuts","14197696169","0.5714149097000759","08","Agriculture"
"Coffee, tea and spices","1118195836","0.045004046082495155","09","Agriculture"
"Cereals","20613440911","0.8296294931628013","10","Agriculture"
"Flours, starches and malts","937918586","0.03774842465606597","11","Agriculture"
"Oil seeds and oleaginous fruits","21409514126","0.861669064854517","12","Agriculture"
"Lac and other vegetable extracts","657995404","0.02648235177624648","13","Agriculture"
"Other vegetable materials","39537314","0.001591258922586509","14","Agriculture"
"Animal or vegetable fats, oils or waxes","3630316872","0.14610942246573316","15","Agriculture"
"Preparations of meat or fish","2433811394","0.09795364694210663","16","Agriculture"
"Sugar and candy","1958887036","0.07883935854555117","17","Agriculture"
"Cocoa","1875271665","0.07547408934266271","18","Agriculture"
"Preparations of cereals, flour, starch or milk","4058866707","0.16335727467736105","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","4987673168","0.20073896348966244","20","Agriculture"
"Miscellaneous edible preparations","8659393368","0.34851474637393026","21","Agriculture"
"Beverages","8528506096","0.3432469241990853","22","Agriculture"
"Food residues and animal feed","10684197805","0.43000708363460005","23","Agriculture"
"Tobacco","2219247056","0.08931807252470014","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","2940872551","0.11836134561312127","25","Minerals"
"Ores, slag and ash","7373405618","0.2967575763870048","26","Minerals"
"Mineral fuels, oils and waxes","188061571002","7.5689171209902835","27","Minerals"
"Inorganic chemicals","12157688641","0.4893106933875149","28","Chemicals"
"Organic chemicals","39485258235","1.5891638333619778","29","Chemicals"
"Pharmaceutical products","47581580736","1.9150166573513403","30","Chemicals"
"Fertilisers","4081257702","0.16425844541898854","31","Chemicals"
"Dyes, paints, inks, etc.","7785751896","0.31335328377529215","32","Chemicals"
"Essential oils","13038340736","0.5247543126445856","33","Chemicals"
"Soaps, waxes, and paints","7067083812","0.28442903765571126","34","Chemicals"
"Albuminoidals; modified starches; glues; enzymes","3427537368","0.1379481524548855","35","Chemicals"
"Explosives","730115683","0.029384977823584405","36","Chemicals"
"Photographic or cinematographic goods","2067743981","0.08322052578965781","37","Chemicals"
"Miscellaneous chemical products","29388486740","1.1827989060243271","38","Chemicals"
"Plastics","64880414096","2.6112430862492966","39","Chemicals"
"Rubber","13791144371","0.5550524128430288","40","Chemicals"
"Leather and skins","2350544687","0.09460241042492323","41","Agriculture"
"Articles of leather","1618865911","0.06515452277182733","42","Agriculture"
"Furskins","195118157","0.007852923652954405","43","Agriculture"
"Wood","7398099217","0.29775142006944416","44","Agriculture"
"Cork","23935251","0.00096332243809222","45","Agriculture"
"Manufactues of plaiting materials","20389297","0.0008206083695143362","46","Agriculture"
"Pulp of wood","8969862876","0.36101021773539005","47","Agriculture"
"Paper and paperboard","17217852841","0.6929672046265642","48","Agriculture"
