"Name","Gross Import","Share","Code","Sector"
"Live animals","2555237205","0.08710195533556644","01","Agriculture"
"Meat","7527978695","0.2566108785422862","02","Agriculture"
"Fish","15592355728","0.5315062999000595","03","Agriculture"
"Diary products","2435862814","0.08303276643492485","04","Agriculture"
"Animal products","975365276","0.03324788107334029","05","Agriculture"
"Plants","2167810048","0.07389548555703976","06","Agriculture"
"Vegetables","10379635456","0.35381707111922467","07","Agriculture"
"Fruits and nuts","17107028758","0.5831378988564652","08","Agriculture"
"Coffee, tea and spices","7245863545","0.24699424445966423","09","Agriculture"
"Cereals","2501789889","0.08528006352766367","10","Agriculture"
"Flours, starches and malts","1835749480","0.06257633103547791","11","Agriculture"
"Oil seeds and oleaginous fruits","2144009702","0.07308418840223686","12","Agriculture"
"Lac and other vegetable extracts","1352376824","0.046099307528243046","13","Agriculture"
"Other vegetable materials","91579684","0.003121733485174927","14","Agriculture"
"Animal or vegetable fats, oils or waxes","7052762784","0.24041189906058574","15","Agriculture"
"Preparations of meat or fish","5611664594","0.19128829130552974","16","Agriculture"
"Sugar and candy","4062538480","0.1384822687074095","17","Agriculture"
"Cocoa","4486882872","0.1529471591710258","18","Agriculture"
"Preparations of cereals, flour, starch or milk","7775856666","0.2650604486708304","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","8630787092","0.2942029923199116","20","Agriculture"
"Miscellaneous edible preparations","7456684200","0.2541806188751952","21","Agriculture"
"Beverages","23024849488","0.7848623242443419","22","Agriculture"
"Food residues and animal feed","3117492453","0.1062678986783818","23","Agriculture"
"Tobacco","1954596968","0.06662755906677932","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","4009172752","0.13666315804026263","25","Minerals"
"Ores, slag and ash","3966491403","0.1352082524264178","26","Minerals"
"Mineral fuels, oils and waxes","218228851908","7.438902218012499","27","Minerals"
"Inorganic chemicals","11995226592","0.40888872814310123","28","Chemicals"
"Organic chemicals","49185116933","1.6766035849391052","29","Chemicals"
"Pharmaceutical products","104574408096","3.5646927046137344","30","Chemicals"
"Fertilisers","6301482400","0.2148025386757227","31","Chemicals"
"Dyes, paints, inks, etc.","4393744627","0.1497722980504423","32","Chemicals"
"Essential oils","12530809984","0.42714549138886626","33","Chemicals"
"Soaps, waxes, and paints","3735406432","0.12733111570369907","34","Chemicals"
