"Name","Gross Export","Share","Code","Sector"
"Live animals","355940418","2.520666433767059","01","Agriculture"
"Meat","1505972642","10.66485989478412","02","Agriculture"
"Fish","104733342","0.7416910424475753","03","Agriculture"
"Diary products","645711213","4.572738857985248","04","Agriculture"
"Animal products","55942618","0.39616933699744344","05","Agriculture"
"Plants","1332496","0.009436348811415035","06","Agriculture"
"Vegetables","449016","0.003179800613214849","07","Agriculture"
"Fruits and nuts","84739228","0.6000985469510061","08","Agriculture"
"Coffee, tea and spices","1255320","0.008889810843668966","09","Agriculture"
"Cereals","378919105","2.683394806505385","10","Agriculture"
"Flours, starches and malts","215594162","1.5267751005156645","11","Agriculture"
"Oil seeds and oleaginous fruits","764954673","5.4171863325292735","12","Agriculture"
"Lac and other vegetable extracts","1312059","0.009291619926180942","13","Agriculture"
"Other vegetable materials","2460","0.000017421003947539796","14","Agriculture"
"Animal or vegetable fats, oils or waxes","132432839","0.9378508174808545","15","Agriculture"
"Preparations of meat or fish","40873953","0.2894574376278683","16","Agriculture"
"Sugar and candy","354479","0.0025103170968780323","17","Agriculture"
"Cocoa","6649942","0.0470929535906141","18","Agriculture"
"Preparations of cereals, flour, starch or milk","13490193","0.09553362012442021","19","Agriculture"
"Preparations of vegetables, fruit, or nuts","15817580","0.1120154974067181","20","Agriculture"
"Miscellaneous edible preparations","72802763","0.5155679762661806","21","Agriculture"
"Beverages","26180789","0.1854047270401246","22","Agriculture"
"Food residues and animal feed","87107346","0.6168688693193962","23","Agriculture"
"Tobacco","31359590","0.22207948828586563","24","Agriculture"
"Salt, sulphur, lime, cement, etc.","30052853","0.2128255572145663","25","Minerals"
"Ores, slag and ash","21238904","0.15040773594529216","26","Minerals"
"Mineral fuels, oils and waxes","105502632","0.7471389303039994","27","Minerals"
"Inorganic chemicals","33574672","0.23776605424770483","28","Chemicals"
"Organic chemicals","30931633","0.21904882138083426","29","Chemicals"
"Pharmaceutical products","170927982","1.2104622151085411","30","Chemicals"
"Fertilisers","21587100","0.15287355866501479","31","Chemicals"
